#,Unknown0,Unknown1,Unknown2
0,Kommandomenü 1,Komm1,komm1
1,Kommandomenü 2,Komm2,komm2
2,Kommandomenü 3,Komm3,komm3
3,Kommandomenü 4,Komm4,komm4
4,Kommandomenü 5,Komm5,komm5
5,Kommandomenü 6,Komm6,komm6
6,Kommandomenü 7,Komm7,komm7
7,Kommandomenü 8,Komm8,komm8
8,Kommandomenü 9,Komm9,komm9
9,Kommandomenü 10,Komm10,komm10
10,Helfer-Kommandomenü,familiar,famil
11,Kreuz-Kommandomenü,kreuzmenü,kreuz
12,Fortschrittsbalken,fort,balk
13,Details zum Ziel,Ziel,ziel
14,Details zum Fokusziel,Fokus,fokus
15,Gruppenliste,gruppe,gr
16,Gegnerliste,gegner,geg
17,Charakterparameter,Char,char
18,Benachrichtigungen,benachricht,benach
19,Minikarte,karte,mini
20,Hauptmenü,Haupt,haupt
21,Server-Info,Server,server
22,Gil,Gil,gil
23,Inventarschema,inventar,inv
24,Aufgabenliste,aufgaben,aufg
25,Details zum Gegenstand,gegenstand,gegen
26,Details zum Kommando,kommando,komm
27,Limitrausch-Balken,limitrausch,limit
28,Routinebalken,routine,rou
29,Statuseffekte,Status,buff
30,Allianzliste 1,Allianz 1,all1
31,Allianzliste 2,Allianz 2,all2
32,目的リスト,DutyList,dlist
33,コンテンツ情報,ContentsInfo,cinfo
34,,,
35,,,
36,,,
37,,,
38,Doppeltes Kreuz-Kommandomenü links,doppkreuzlinks,
39,Doppeltes Kreuz-Kommandomenü rechts,doppkreuzrechts,
40,Eidbalken,eidb,
41,Blitzbalken,blitzb,
42,Urkraftbalken,urkraftb,
43,Drachenbalken,drachenb,
44,Liedbalken,liedb,
45,Heilbalken,heilb,
46,Elementarbalken,elementarb,
47,Ätherstrombalken,ätherstromb,
48,Ätherstrombalken,ätherstromb,
49,Trancebalken,tranceb,
50,Feenbalken,feenb,
51,Ninki-Balken,ninkib,
52,Äthertransformator,äthert,
53,,,
54,Blutbalken,blutb,
55,Arkana-Balken,arkanab,
56,Kenki-Balken,kenkib,
57,Setsugekka-Balken,setsub,
58,Balancebalken,balanceb,
59,Inhaltsbalken,inhaltsb,
60,Spezialkommando,spezialk,
61,Chakra-Balken,chakrab,
62,Kazematoi-Balken,kazeb,
63,Szenarioführer,sführ,
64,Stahlschwingen: Turm- und Kernbalken,stahlbalken,
65,Stahlschwingen: Allianzliste,stahlallianz,
66,Stahlschwingen: Team-Info,stahlteam,
67,Status (positiv),statpos,
68,Status (negativ),statneg,
69,Status (andere),statand,
70,Ziel (Status),zielstat,
71,Ziel (Fortschrittsbalken),zielfort,
72,Ziel (LP),ziellp,
73,The Feast: Punkte,feastpunkt,
74,The Feast: Mitspielerinfo,feastmit,
75,The Feast: Gegnerinfo,feastgeg,
76,Stahlschwingen: Verladestation,stahlstation,
77,Stahlschwingen: Söldner,stahlsöld,
78,Dunkle Seite,dunkles,
79,Erda-Trommel,erdat,
80,Schrittindikator,schrittindi,
81,Tanzfächer,tanzf,
82,Kampfgeist,kampfg,
83,Szenarioführer: Neues Spiel+,ns+,
84,Komprimierter Äther,kompäther,käther
85,Auf großer Fahrt: Schiffsmissionen,schiffsmi,
86,Status (ausgelöst),stataus,
87,Seelenbalken,seelenb,
88,Lemurenmal,lemur,
89,Eukratisches Äthergramm,eukrat,
90,Humor-Balken,humor,
91,Tierchakra-Balken,blitzk,
92,Crystalline Conflict: Fortschrittsbalken,CConflictFor,ccfor
93,Crystalline Conflict: Verbündete,CConflictVer,ccver
94,,,
95,Crystalline Conflict: Gegner,CConflictGeg,ccgeg
96,PvP-Kampfverlauf,PvPKam,pvpkam
97,Crystalline Conflict: Karte,CConflictKar,cckar
98,PvP-Front: Punktzahl,PfrontPun,
99,Stolperville: Ziel,StolperZiel,
100,Stolperville: Fortschritt,StolperFortschritt,
101,Stolperville: Überblick,StolperÜberblick,
102,Stolperville: Wettkampfverlauf,StolperVerlauf,
103,Seelenzirkel,zirkel,
104,Zwillingsfänge,fänge,
105,Geistbalken,geist,
106,Leinwände,leinw,
107,Palettenbalken,palette,
108,Carteneauer Front: Schlachtinfo,FrontInfo,
109,Kosmo-Erkundung: Info,KosInfo,
110,,,
