#,Item,GatheringLog,FishingLog,Quantity[0],Quantity[1],Quantity[2],Quantity[3],Quantity[4]
0,0,0,0,0,0,0,0,0
1,5291,0,0,5,7,10,12,15
2,5318,0,0,5,7,10,12,15
3,4794,0,0,5,7,10,12,15
4,4850,0,0,5,7,10,12,15
5,5434,0,0,5,7,10,12,15
6,5492,0,0,5,7,10,12,15
7,4758,0,0,5,7,10,12,15
8,5292,0,0,5,7,10,12,15
9,4759,0,0,5,7,10,12,15
10,5442,0,0,5,7,10,12,15
11,5548,0,0,5,7,10,12,15
12,5319,0,0,5,7,10,12,15
13,4760,0,0,5,7,10,12,15
14,5556,0,0,5,7,10,12,15
15,4761,0,0,5,7,10,12,15
16,5550,0,0,5,7,10,12,15
17,5495,0,0,5,7,10,12,15
18,4773,0,0,5,7,10,12,15
19,5551,0,0,5,7,10,12,15
20,5435,0,0,5,7,10,12,15
21,5446,0,0,5,7,10,12,15
22,5454,0,0,5,7,10,12,15
23,5552,0,0,5,7,10,12,15
24,5557,0,0,5,7,10,12,15
25,5296,0,0,5,7,10,12,15
26,5355,0,0,5,7,10,12,15
27,5456,0,0,5,7,10,12,15
28,4765,0,0,5,7,10,12,15
29,4771,0,0,5,7,10,12,15
30,5496,0,0,5,7,10,12,15
31,5345,0,0,5,7,10,12,15
32,5436,0,0,5,7,10,12,15
33,5493,0,0,5,7,10,12,15
34,5444,0,0,5,7,10,12,15
35,5499,0,0,5,7,10,12,15
36,4766,0,0,5,7,10,12,15
37,5320,0,0,5,7,10,12,15
38,5300,0,0,5,7,10,12,15
39,5528,0,0,5,7,10,12,15
40,4774,0,0,5,7,10,12,15
41,6149,0,0,5,7,10,12,15
42,4770,0,0,5,7,10,12,15
43,5455,0,0,5,7,10,12,15
44,5468,0,0,5,7,10,12,15
45,5447,0,0,5,7,10,12,15
46,5549,0,0,5,7,10,12,15
47,5554,0,0,5,7,10,12,15
48,5497,0,0,5,7,10,12,15
49,4767,0,0,5,7,10,12,15
50,5321,0,0,5,7,10,12,15
51,5303,0,0,5,7,10,12,15
52,5306,0,0,5,7,10,12,15
53,5347,0,0,5,7,10,12,15
54,5494,0,0,5,7,10,12,15
55,5308,0,0,5,7,10,12,15
56,5526,0,0,5,7,10,12,15
57,5322,0,0,5,7,10,12,15
58,5555,0,0,5,7,10,12,15
59,5558,0,0,5,7,10,12,15
60,5263,0,0,5,7,10,12,15
61,4768,0,0,5,7,10,12,15
62,4775,0,0,5,7,10,12,15
63,5348,0,0,5,7,10,12,15
64,5553,0,0,5,7,10,12,15
65,4769,0,0,5,7,10,12,15
66,5310,0,0,5,7,10,12,15
67,5349,0,0,5,7,10,12,15
68,5439,0,0,5,7,10,12,15
69,5106,75,0,15,20,30,40,50
70,2,1,0,60,80,100,110,120
71,3,2,0,60,80,100,110,120
72,4,3,0,60,80,100,110,120
73,5,4,0,60,80,100,110,120
74,6,5,0,60,80,100,110,120
75,7,6,0,60,80,100,110,120
76,5488,73,0,15,20,30,40,50
77,5432,69,0,15,20,30,40,50
78,5107,71,0,15,20,30,40,50
79,5128,44,0,15,20,30,40,50
80,5133,61,0,15,20,30,40,50
81,5433,67,0,15,20,30,40,50
82,5110,63,0,15,20,30,40,50
83,5124,68,0,15,20,30,40,50
84,5513,217,0,15,20,30,40,50
85,5267,216,0,15,20,30,40,50
86,5268,95,0,15,20,30,40,50
87,5518,87,0,15,20,30,40,50
88,5228,89,0,15,20,30,40,50
89,5111,74,0,15,20,30,40,50
90,5269,82,0,15,20,30,40,50
91,5519,92,0,15,20,30,40,50
92,5130,58,0,15,20,30,40,50
93,5131,48,0,15,20,30,40,50
94,5132,55,0,15,20,30,40,50
95,5230,218,0,15,20,30,40,50
96,5129,51,0,15,20,30,40,50
97,5465,70,0,15,20,30,40,50
98,5524,38,0,15,20,30,40,50
99,28717,606,0,3,5,7,8,9
100,5229,93,0,15,20,30,40,50
101,5155,94,0,15,20,30,40,50
102,5270,80,0,15,20,30,40,50
103,5152,86,0,15,20,30,40,50
104,5153,96,0,15,20,30,40,50
105,5491,49,0,15,20,30,40,50
106,5154,97,0,15,20,30,40,50
107,5156,98,0,15,20,30,40,50
108,5113,66,0,15,20,30,40,50
109,5157,90,0,15,20,30,40,50
110,5528,84,0,15,20,30,40,50
111,8,7,0,30,60,100,110,120
112,9,8,0,30,60,100,110,120
113,10,9,0,30,60,100,110,120
114,11,10,0,30,60,100,110,120
115,12,11,0,30,60,100,110,120
116,13,12,0,30,60,100,110,120
117,5523,88,0,15,20,30,40,50
118,5125,76,0,15,20,30,40,50
119,5814,29,0,15,20,30,40,50
120,5815,30,0,15,20,30,40,50
121,5816,31,0,15,20,30,40,50
122,5817,32,0,15,20,30,40,50
123,5818,33,0,15,20,30,40,50
124,5819,34,0,15,20,30,40,50
125,5820,35,0,15,20,30,40,50
126,5527,99,0,15,20,30,40,50
127,28716,607,0,3,5,7,8,9
128,5231,83,0,15,20,30,40,50
129,7758,256,0,5,7,10,12,15
130,7761,259,0,5,7,10,12,15
131,7764,262,0,5,7,10,12,15
132,5134,41,0,15,20,30,40,50
133,7008,219,0,15,20,30,40,50
134,5137,56,0,15,20,30,40,50
135,5135,43,0,15,20,30,40,50
136,5136,57,0,15,20,30,40,50
137,5271,100,0,15,20,30,40,50
138,5114,77,0,15,20,30,40,50
139,5138,37,0,15,20,30,40,50
140,5139,36,0,15,20,30,40,50
141,5142,52,0,15,20,30,40,50
142,5144,47,0,15,20,30,40,50
143,5141,46,0,15,20,30,40,50
144,5168,45,0,15,20,30,40,50
145,5525,54,0,15,20,30,40,50
146,5526,81,0,15,20,30,40,50
147,7759,257,0,1,2,3,4,5
148,7762,260,0,1,2,3,4,5
149,7765,263,0,1,2,3,4,5
150,5145,50,0,15,20,30,40,50
151,5272,78,0,15,20,30,40,50
152,5115,72,0,15,20,30,40,50
153,5143,39,0,15,20,30,40,50
154,5140,62,0,15,20,30,40,50
155,7010,215,0,15,20,30,40,50
156,5263,53,0,15,20,30,40,50
157,5116,65,0,15,20,30,40,50
158,5458,64,0,15,20,30,40,50
159,5439,40,0,15,20,30,40,50
160,28719,0,808,1,2,3,4,5
161,5509,137,0,15,20,30,40,50
162,2,1,0,60,80,100,110,120
163,3,2,0,60,80,100,110,120
164,4,3,0,60,80,100,110,120
165,5,4,0,60,80,100,110,120
166,6,5,0,60,80,100,110,120
167,7,6,0,60,80,100,110,120
168,5050,105,0,15,20,30,40,50
169,5498,134,0,15,20,30,40,50
170,5380,133,0,15,20,30,40,50
171,4828,118,0,15,20,30,40,50
172,5516,141,0,15,20,30,40,50
173,5396,132,0,15,20,30,40,50
174,5534,124,0,15,20,30,40,50
175,5351,116,0,15,20,30,40,50
176,4809,138,0,15,20,30,40,50
177,7725,236,0,1,1,1,1,1
178,5383,104,0,15,20,30,40,50
179,5402,103,0,15,20,30,40,50
180,4803,113,0,15,20,30,40,50
181,5352,114,0,15,20,30,40,50
182,4831,115,0,15,20,30,40,50
183,5341,198,0,15,20,30,40,50
184,5538,159,0,15,20,30,40,50
185,4795,158,0,15,20,30,40,50
186,4808,206,0,15,20,30,40,50
187,4823,200,0,15,20,30,40,50
188,4824,211,0,15,20,30,40,50
189,4829,149,0,15,20,30,40,50
190,5385,110,0,15,20,30,40,50
191,4777,209,0,15,20,30,40,50
192,5539,202,0,15,20,30,40,50
193,5342,214,0,15,20,30,40,50
194,5560,153,0,15,20,30,40,50
195,5514,220,0,15,20,30,40,50
196,4778,154,0,15,20,30,40,50
197,4779,146,0,15,20,30,40,50
198,5540,148,0,15,20,30,40,50
199,4782,201,0,15,20,30,40,50
200,4804,147,0,15,20,30,40,50
201,5343,213,0,15,20,30,40,50
202,4783,162,0,15,20,30,40,50
203,4830,183,0,15,20,30,40,50
204,4780,204,0,15,20,30,40,50
205,4781,171,0,15,20,30,40,50
206,4784,175,0,15,20,30,40,50
207,4832,190,0,15,20,30,40,50
208,4785,178,0,15,20,30,40,50
209,4810,128,0,15,20,30,40,50
210,4834,151,0,15,20,30,40,50
211,7715,226,0,1,1,1,1,1
212,7727,238,0,1,1,1,1,1
213,4811,117,0,15,20,30,40,50
214,4820,205,0,15,20,30,40,50
215,7728,239,0,1,1,1,1,1
216,5541,185,0,15,20,30,40,50
217,4786,126,0,15,20,30,40,50
218,4787,187,0,15,20,30,40,50
219,7720,231,0,1,1,1,1,1
220,5386,136,0,15,20,30,40,50
221,4796,152,0,15,20,30,40,50
222,5405,135,0,15,20,30,40,50
223,7029,223,0,15,20,30,40,50
