#,BigFishOnReach,BigFishOnEnd,BigFishOnRefresh,Item[0],Item[1],Item[2],Item[3],Item[4],Item[5],Item[6],Item[7],Item[8],Item[9],TerritoryType,PlaceNameMain,PlaceNameSub,Radius,PlaceName,Order,X,Z,GatheringLevel,FishingSpotCategory,Unknown0,Rare
0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950,0,0,0,0,0,0,False
1,リーチ状態になった！（翻訳不要）,リーチ状態が終了した！（翻訳不要）,,4776,4869,4870,4876,4877,4936,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,False
2,,,,4925,4927,4932,4934,4935,4936,4952,7705,0,0,148,0,0,400,951,46,1094,1058,5,2,2,False
3,,,,4929,4932,4934,4935,4936,4947,4951,7700,0,0,148,0,0,400,952,47,1276,1398,15,2,2,False
4,,,,4958,4942,4975,4974,4968,4973,7920,0,0,0,148,0,0,400,101,48,730,1156,30,2,4,False
5,,,,4950,4958,4964,4942,4939,4979,4976,7934,0,0,148,0,0,400,104,49,690,1011,35,2,2,False
6,,,,4929,4927,4932,4936,4941,4945,4952,7694,0,0,152,0,0,400,155,51,401,1094,15,2,2,False
7,,,,4940,4941,4948,4958,4962,4967,4968,4992,7912,0,152,0,0,400,953,54,973,1025,25,2,2,False
8,,,,4935,4936,4940,4941,4942,4949,4952,7683,0,0,152,0,0,400,954,52,1150,1214,15,2,2,False
9,,,,4981,4982,4994,4995,4996,5022,8773,0,0,0,152,0,0,600,955,55,1250,986,45,2,2,False
10,,,,4929,4941,4944,4947,4951,4954,4959,7907,0,0,152,0,0,400,112,53,833,798,20,2,2,False
11,,,,4940,4941,4942,4943,4945,4952,4958,4982,7908,0,153,0,0,400,956,56,850,900,20,2,2,False
12,,,,4940,4945,4961,4967,4974,4976,4980,4982,7921,0,153,0,0,200,957,59,947,1076,30,2,1,True
13,,,,4940,4942,4943,4950,4952,4958,4962,4967,4982,7913,153,0,0,400,958,57,867,1190,25,2,4,False
14,,,,4940,4943,4945,4948,4950,4952,4958,4982,7914,0,153,0,0,400,959,58,1142,1067,25,2,4,False
15,,,,4942,4950,4959,4961,4964,4967,4973,4978,5000,7922,153,0,0,400,960,60,1324,1023,30,2,2,False
16,,,,4929,4962,4972,4974,4980,5023,7936,0,0,0,153,0,0,400,126,61,880,1401,35,2,3,False
17,"Du siehst einen Schatten unter der Was­ser­o­ber­flä­che, der sogar größer ist als der eines Riesen-Takitaros.",Der Schatten ist nicht mehr zu sehen.,"Erneut siehst du den Schatten unter der Was­ser­o­ber­flä­che, der sogar größer ist als der eines Riesen-Takitaros.",4942,4975,4973,4974,4982,4996,5008,5028,8774,8775,153,0,0,400,82,62,1576,1147,45,2,2,False
18,,,,4935,4936,4940,4941,4949,4951,7699,0,0,0,154,0,0,400,961,63,1268,1204,15,2,4,False
19,,,,4927,4935,4936,4940,4942,4943,4945,4963,7695,0,154,0,0,400,962,64,1000,1182,15,2,2,False
20,,,,4954,4974,4976,4984,4990,4994,4996,5029,7947,0,154,0,0,400,86,65,990,990,40,2,4,False
21,Du siehst ein außer­ge­wöhn­liches Prachtexemplar näherschwimmen! ,Der große Fang ist dir durch die Lappen gegangen ...,Du siehst das außer­ge­wöhn­liche Prachtexemplar erneut näherschwimmen! ,4950,4954,4973,4978,5002,5008,5011,5026,8760,0,154,0,0,400,963,66,840,940,50,2,1,True
22,,,,5544,4978,4989,5003,5002,5006,5011,5027,7951,0,156,0,0,400,410,99,1203,602,45,2,4,False
23,,,,5544,4978,4981,4989,4993,5002,5006,5011,5024,8759,156,0,0,200,414,102,886,833,50,2,2,True
24,,,,4929,4942,4978,5003,5002,5004,5006,5021,8761,0,156,0,0,400,413,103,670,615,50,2,4,False
25,,,,4942,4959,4974,4981,4989,4993,5008,4975,8758,0,156,0,0,200,966,100,595,528,45,2,2,False
26,,,,4927,4936,4940,4976,4981,4986,5009,7932,0,0,155,0,0,400,968,90,972,1478,35,2,2,False
27,,,,5038,5039,5040,5041,5042,5044,5046,8771,8772,0,155,0,0,600,389,98,1633,888,50,4,4,False
28,,,,4927,4937,4981,4986,4988,4997,5009,5025,7945,0,155,0,0,400,969,92,731,1019,40,2,2,False
29,Das Wasser verdunkelt sich ...,Ein leichter Schimmer kehrt auf das Wasser zurück.,Das Wasser verdunkelt sich erneut ...,5544,4937,4981,4986,4995,4997,5010,8769,0,0,155,0,0,400,392,95,1525,325,45,2,2,True
30,,,,4927,4940,4937,4976,4986,5009,7944,0,0,0,155,0,0,400,970,93,1344,796,40,2,2,False
31,,,,4927,4938,5544,4937,4984,5014,7933,0,0,0,155,0,0,300,398,91,612,1089,35,2,4,False
32,,,,5544,4937,4997,5009,7946,0,0,0,0,0,155,0,0,200,971,94,272,1080,40,2,4,False
33,,,,4940,4976,4986,5013,8770,0,0,0,0,0,155,0,0,400,404,96,108,1014,45,2,3,False
34,,,,5038,5039,5040,5041,5042,7949,0,0,0,0,155,0,0,600,972,97,660,620,45,4,2,False
35,,,,4869,4870,4776,4871,4872,4874,4876,4885,7707,0,129,0,0,3000,29,2,668,1120,1,1,2,False
36,,,,4869,4870,4776,4871,4872,4874,4876,4885,7685,0,128,0,0,3000,28,1,930,1032,1,1,2,False
37,,,,4869,4870,4871,4872,4873,4874,4876,4883,4885,7678,134,0,0,600,973,3,884,1049,1,1,1,False
38,,,,4869,4871,5460,4872,4874,4875,4885,4888,4903,7686,134,0,0,600,974,6,682,734,5,1,1,False
39,,,,4925,4926,4928,4930,4946,7679,0,0,0,0,134,0,0,400,182,4,1054,1058,1,2,3,False
40,,,,4925,4926,4928,4930,4934,4946,7688,0,0,0,134,0,0,400,975,5,960,850,1,2,4,False
41,,,,4926,4928,4930,4931,4934,4936,4946,7709,0,0,134,0,0,400,193,7,861,693,5,2,3,False
42,,,,4928,4931,4941,4946,4948,4952,4956,7682,0,0,134,0,0,200,192,8,989,558,15,2,2,True
43,,,,4925,4926,4928,4930,4931,4934,4936,7681,0,0,135,0,0,400,197,9,1188,1100,1,2,2,False
44,,,,4869,4776,4872,4873,4875,4877,4878,4885,7680,0,135,0,0,600,976,10,1294,1248,5,1,3,False
45,,,,4869,4872,4874,4877,4878,4879,4885,4897,7710,0,135,0,0,600,977,11,1712,850,10,1,2,False
46,,,,4872,4874,4877,4878,4879,4881,4882,4885,7712,0,135,0,0,600,337,14,1270,1672,15,1,3,False
47,,,,4873,4875,4877,4878,4879,4881,4915,7690,0,0,135,0,0,600,341,12,1174,1934,10,1,3,False
48,,,,4873,4878,4880,4884,4886,4890,4892,6185,7903,0,135,0,0,600,338,16,818,1752,20,1,1,True
49,,,,4870,4875,4877,4878,4879,4881,4914,7691,0,0,135,0,0,400,339,13,980,1900,10,1,1,False
50,,,,4931,4933,4943,4944,4947,4948,4952,4970,7697,0,135,0,0,400,340,15,1049,1699,15,2,2,False
51,,,,4869,4876,4885,5461,4890,4891,4898,4903,10123,7909,137,0,0,600,978,18,1595,1672,25,1,2,False
52,,,,4883,4886,4891,4895,4896,4898,4901,4903,4913,7915,137,0,0,800,206,19,1593,1414,30,1,4,False
53,,,,4874,4888,4892,4894,4896,4900,4902,5462,4917,7924,137,0,0,400,979,20,1600,1160,35,1,1,False
54,,,,4933,4945,4974,4983,4987,4998,7925,0,0,0,137,0,0,200,211,23,1490,1100,35,2,2,True
55,,,,4948,4965,4975,4974,4987,4990,4999,5001,7938,0,137,0,0,400,980,24,959,1247,40,2,2,False
56,,,,4948,4965,4974,4981,4987,4990,4991,4999,5001,7939,137,0,0,400,168,25,973,1462,40,2,2,False
57,,,,4948,4950,4965,4970,4978,5003,5012,7940,0,0,137,0,0,400,981,26,791,1550,40,2,4,False
58,Du siehst einen goldenen Schimmer unter der Was­ser­o­ber­flä­che!,Der goldene Schimmer ist in die schlammigen Tiefen verschwunden.,Du siehst den goldenen Schimmer erneut unter der Was­ser­o­ber­flä­che!,4974,4978,4979,4987,4993,5001,5011,5031,8752,0,137,0,0,200,214,27,717,1322,45,2,1,True
59,,,,4870,5460,4874,4877,4878,4879,4881,4885,4916,7687,138,0,0,600,218,28,1641,1542,10,1,4,False
60,,,,4869,4879,4881,4884,4885,4904,4912,7684,0,0,138,0,0,600,982,29,1283,1298,15,1,1,False
61,,,,4887,5461,4893,4894,4900,4901,4902,7926,0,0,138,0,0,600,983,31,827,998,35,1,2,False
62,,,,4869,4872,4898,4901,5462,4903,4904,4907,4921,7941,138,0,0,600,984,32,673,1444,40,1,2,False
63,,,,4898,5462,5466,4906,4908,4909,4910,4918,8755,8756,138,0,0,200,985,35,590,1760,50,1,1,True
64,,,,5460,4874,4880,4881,4882,4888,4920,7693,0,0,138,0,0,200,220,30,1456,1480,15,1,1,True
65,,,,4869,5462,4904,5466,4907,4908,4909,4919,4923,7950,138,0,0,400,228,33,728,1752,45,1,3,False
66,,,,4941,4943,4953,4954,4955,4957,4959,4995,5015,7905,139,0,0,600,174,37,629,1164,20,2,2,False
67,,,,4933,4941,4948,4949,4953,4955,4957,4959,4992,7904,139,0,0,400,234,38,402,1004,20,2,2,False
68,,,,4953,4954,4957,4973,4974,4978,4981,4988,5020,7927,139,0,0,600,987,40,1356,1091,35,2,2,False
69,,,,4870,4878,4879,4881,4893,4895,4899,4911,7910,0,140,0,0,600,266,71,678,1426,25,1,1,False
70,,,,4870,4874,4878,4879,4881,4885,7711,0,0,0,140,0,0,600,274,69,526,578,15,1,2,False
71,,,,4870,4884,4886,4887,4889,4983,4911,7906,0,0,140,0,0,600,272,70,728,910,20,1,1,False
72,,,,4929,4931,4934,4935,4936,4948,4952,7714,0,0,140,0,0,400,264,67,1174,1028,5,2,2,False
73,,,,4925,4939,4943,4950,4944,4948,4952,7706,0,0,140,0,0,600,245,68,808,734,10,2,2,False
74,Etwas Großes ist zum Fressen aus der Tiefe emporgestiegen!,Der Räuber ist in die Tiefe zurückgekehrt.,Das große Etwas ist erneut zum Fressen aus der Tiefe heraufgeschwommen!,4869,4899,4900,4903,4904,5466,4909,4910,4924,8764,140,0,0,600,246,72,446,318,45,1,4,False
75,,,,4929,4931,4935,4936,4959,7692,0,0,0,0,141,0,0,400,990,75,1120,860,5,2,2,False
76,,,,4929,4931,4935,4936,4959,4960,7698,0,0,0,141,0,0,400,991,76,806,1138,10,2,2,False
77,,,,4929,4936,4939,4950,4944,4959,4960,7689,0,0,141,0,0,400,297,78,1340,914,15,2,3,False
78,,,,4931,4939,4943,4944,4950,4971,7704,0,0,0,145,0,0,400,992,79,632,984,15,2,2,False
79,,,,4931,4939,4943,4944,4950,4971,7702,0,0,0,145,0,0,400,993,80,810,1190,15,2,2,False
80,,,,4955,4958,4959,4967,4974,4985,7918,0,0,0,145,0,0,400,308,81,1232,1082,30,2,2,False
81,,,,4925,4932,4934,4936,4947,4905,7708,0,0,0,133,0,0,600,1000,44,1553,530,5,2,2,False
82,,,,4967,4973,4987,4989,4990,4993,4996,6191,5017,7942,145,0,0,600,253,82,1406,1184,40,2,4,False
83,,,,4948,4955,4959,4965,4966,7911,0,0,0,0,146,0,0,400,314,83,1036,704,25,2,3,False
84,,,,4947,4950,4966,4979,4987,4989,5007,7928,0,0,146,0,0,400,995,84,1218,1000,35,2,2,False
85,,,,4948,4955,4965,4966,4969,4979,4984,7929,0,0,146,0,0,400,323,85,732,1496,35,2,4,False
86,,,,4977,5032,5034,5035,5036,5037,5043,7931,8768,0,146,0,0,600,996,86,568,1750,35,3,4,False
87,,,,5032,5033,5034,5035,5036,5037,5045,7930,0,0,146,0,0,600,997,87,1314,1796,35,3,4,True
88,,,,4970,4978,4989,5003,5004,5006,5011,5019,8767,0,147,0,0,600,330,89,986,1128,45,2,1,False
89,,,,4929,4978,4981,4984,4989,4993,4995,5005,5018,7943,147,0,0,400,998,88,1156,1249,40,2,3,False
90,,,,4925,4932,4934,4936,4947,4905,7713,0,0,0,132,0,0,600,964,42,1160,1361,5,2,4,False
91,,,,4925,4932,4934,4936,4947,7696,0,0,0,0,132,0,0,400,965,43,972,1065,5,2,1,False
92,,,,4939,4942,4950,4975,4978,7935,0,0,0,0,148,0,0,400,59,50,493,1107,35,2,2,False
93,,,,4950,5544,4973,4978,4981,4993,5005,5006,8776,0,156,0,0,600,417,101,1406,466,45,2,2,True
94,Du spürst etwas noch Unheimlicheres als Canavan in dem Gewässer vor dir!,Das unheimliche Gefühl ist verflogen.,Erneut spürst du etwas noch Unheimlicheres als Canavan in dem Gewässer vor dir!,5544,4978,4981,4989,5002,5006,5011,5030,8762,8763,156,0,0,200,967,104,1498,260,50,2,2,False
95,,,,4970,4978,4989,5003,5004,5006,5012,8766,0,0,140,0,0,200,276,74,702,269,50,2,2,True
96,,,,4929,4931,4935,4936,4959,7703,0,0,0,0,141,0,0,400,249,77,1426,1020,10,2,4,False
97,,,,4929,4944,4938,5544,7902,0,0,0,0,0,135,0,0,200,202,17,1321,734,20,2,2,False
98,,,,4933,4941,4943,4953,4954,7916,0,0,0,0,139,0,0,600,988,39,1627,1196,30,2,4,False
99,,,,4981,4989,4991,4955,4988,5016,7937,0,0,0,180,0,0,400,989,41,744,516,40,2,2,True
100,,,,4925,4932,4934,4936,4947,7701,0,0,0,0,133,0,0,600,999,45,790,700,5,2,2,False
101,,,,4898,4900,5462,5466,4906,4910,7948,0,0,0,138,0,0,600,363,34,806,738,45,1,4,False
102,,,,4870,4869,5462,4904,5466,4911,4922,8757,0,0,138,0,0,400,365,36,638,608,50,1,2,False
103,,,,4938,4970,4978,5002,5005,8765,0,0,0,0,140,0,0,400,275,73,850,303,45,2,3,False
104,,,,4874,4885,4886,4891,4895,4896,4898,4906,7917,0,339,0,0,3000,425,105,1000,1000,30,1,2,False
105,,,,4932,4945,4942,4951,4963,4968,4973,4975,7923,0,340,0,0,3000,426,106,1000,1000,30,2,2,False
106,,,,4935,4943,4948,4952,4959,4965,4978,5011,7919,0,341,0,0,3000,427,107,1000,1000,30,2,2,False
107,,,,4871,4874,4886,4902,4896,5462,4888,4917,4920,8753,137,0,0,200,1001,21,1830,1090,50,1,2,False
108,"Du hast das Gefühl, heute könnten neue Legenden geschrieben werden.",Dein gutes Gefühl ist verflogen ...,"Du hast wieder das Gefühl, heute könnten neue Legenden geschrieben werden.",4869,4886,4897,4911,4904,4913,4914,4923,4919,8754,137,0,0,200,1002,22,1810,1150,50,1,4,True
109,,,,4937,12718,12762,15626,0,0,0,0,0,0,397,0,0,200,2201,108,1512,1260,50,2,2,False
110,,,,12714,12716,12724,12799,12766,16745,0,0,0,0,397,0,0,300,2217,109,1640,1252,51,4,4,False
111,,,,4937,12713,12715,12726,12796,13728,16746,0,0,0,397,0,0,600,1003,110,1302,802,52,2,2,False
112,Es stinkt nach einer Ratte ...,Der Gestank ist verflogen.,Es stinkt wieder nach einer Ratte ...,4937,12715,12718,12727,12837,14216,17563,17577,17592,0,397,0,0,300,1004,111,1698,236,60,2,1,True
113,,,,12725,12824,12809,12823,29678,15627,0,0,0,0,397,0,0,300,2227,112,366,414,60,2,4,True
114,,,,4937,12713,12715,12720,12738,12737,12719,14219,15439,17578,397,0,0,300,1005,113,986,490,53,2,2,False
115,,,,4937,12715,12719,12720,12748,12817,24557,15628,0,0,397,0,0,300,2211,114,620,698,52,2,2,False
116,,,,12719,12720,12715,12765,12763,14217,23073,16756,0,0,397,0,0,600,1006,115,582,372,53,2,2,False
117,,,,12721,12741,12722,12740,12769,13729,17566,15629,0,0,398,0,0,400,2019,116,1442,432,52,2,2,False
118,,,,12721,12733,12741,12729,12761,12722,16747,0,0,0,398,0,0,600,2020,117,1406,656,52,2,2,False
119,,,,12721,12733,12722,12729,12767,12750,15630,0,0,0,398,0,0,600,2004,118,1152,1178,52,2,2,False
120,,,,12741,12722,12764,12802,12828,14211,17582,0,0,0,398,0,0,900,2029,119,1453,240,55,2,2,True
121,,,,12745,12754,12772,12787,12820,15631,0,0,0,0,398,0,0,600,2008,120,576,588,55,6,2,False
122,,,,12754,12755,12759,12772,12826,16751,0,0,0,0,398,0,0,300,1007,121,410,310,56,6,4,False
123,,,,12745,12754,12772,12755,12787,12786,30488,17583,0,0,398,0,0,200,2064,122,876,466,57,6,2,False
124,Du spürst etwas tief in der Magma ...,Du kannst nichts Außer­ge­wöhn­liches mehr spüren.,Du spürst erneut etwas tief in der Magma ...,12754,12759,12787,12800,12832,14215,17584,17588,0,0,398,0,0,200,2030,123,316,210,60,6,2,True
125,,,,12757,12780,12790,12756,12783,12804,12819,29673,15632,0,399,0,0,400,2039,124,1052,1070,57,2,2,False
126,,,,12722,12730,12757,12818,12781,12752,14212,33219,16748,0,399,0,0,1200,2035,125,490,1260,58,2,2,False
127,Etwas schimmert am Flussbett ...,Es ist kein Schimmern mehr zu sehen.,Wieder schimmert etwas am Flussbett ...,12757,12747,12780,12756,12818,12830,14220,17562,17585,17590,399,0,0,800,1008,126,1042,1678,58,2,2,False
128,,,,12790,12747,12780,12757,12730,12831,12836,13732,30492,16754,399,0,0,500,1009,127,931,1140,60,2,4,True
129,,,,12731,5544,12743,12768,15633,0,0,0,0,0,400,0,0,300,2013,128,1700,1400,54,2,4,False
130,,,,12758,16749,36662,0,0,0,0,0,0,0,400,0,0,600,2017,129,368,1584,54,2,2,False
131,,,,12731,12742,12792,12782,17565,23075,17586,0,0,0,400,0,0,500,2079,130,388,336,54,2,4,False
132,,,,12753,12795,12760,12771,12793,12797,13731,15634,0,0,400,0,0,1200,2014,131,1362,1156,54,5,2,False
133,,,,12753,12795,12760,12805,12770,12794,12821,16742,0,0,400,0,0,1000,1010,132,828,1868,55,5,4,False
134,"Du hast das Gefühl, der Herrscher dieser Lüfte ist zurückgekehrt ...",Du kannst nichts Außer­ge­wöhn­liches mehr fühlen.,"Du hast erneut das Gefühl, der Herrscher dieser Lüfte ist zurückgekehrt ...",12753,12760,12805,12784,12789,12813,12835,14214,17587,17593,400,0,0,400,2048,133,914,256,55,5,2,True
135,,,,12757,12731,12730,12728,12739,12802,33220,15635,0,0,401,0,0,1000,2103,134,1324,1610,52,2,2,False
136,,,,12757,12731,12730,12818,12749,12829,17564,17579,0,0,401,0,0,300,2120,135,1450,1832,60,2,2,True
137,,,,12723,12734,12732,12744,12736,14213,16750,0,0,0,401,0,0,300,2102,136,668,1784,53,5,2,False
138,,,,12734,12753,12735,12746,12822,12785,12798,30490,15636,0,401,0,0,1000,2105,137,316,500,56,5,2,False
139,Die Glücksfee ist an deiner Seite ...,Die Glücksfee ist wieder verschwunden.,Die Glücksfee ist wieder an deiner Seite ...,12723,12753,12810,12814,12834,13730,16743,17591,0,0,401,0,0,800,2129,138,680,220,56,5,2,True
140,,,,12776,12773,12812,12775,31134,15637,0,0,0,0,402,0,0,500,2109,139,752,524,58,7,2,False
141,,,,12776,12773,12812,12788,12801,16752,0,0,0,0,402,0,0,300,1011,140,1430,270,59,7,2,False
142,,,,12776,12778,12815,12807,14218,17580,0,0,0,0,402,0,0,200,2177,141,280,744,60,7,2,True
143,,,,12791,12811,12777,12818,12803,31771,15638,0,0,0,402,0,0,1000,2112,142,526,1462,59,2,2,False
144,,,,12791,12779,12777,12751,12774,31770,16753,0,0,0,402,0,0,300,2173,143,274,1630,60,2,3,True
145,,,,12753,12805,12808,12806,12785,12833,12825,12813,17581,0,402,0,0,300,2113,144,1860,840,60,5,1,True
146,Etwas Wundersames kommt dir entgegen ...,Du kannst nichts Außer­ge­wöhn­liches mehr wahrnehmen.,Das wundersame Etwas kommt dir erneut entgegen ...,12776,12778,12815,12816,12827,13727,16744,17589,0,0,402,0,0,300,2114,145,1000,1000,60,7,2,True
147,,,,12728,12731,0,0,0,0,0,0,0,0,0,0,0,0,2257,0,0,0,60,2,0,False
148,,,,12828,12768,0,0,0,0,0,0,0,0,0,0,0,0,2258,0,0,0,60,2,0,False
149,,,,12728,12730,12731,12818,0,0,0,0,0,0,0,0,0,0,2259,0,0,0,60,2,0,False
150,,,,12729,0,0,0,0,0,0,0,0,0,0,0,0,0,2260,0,0,0,60,2,0,False
151,,,,12731,0,0,0,0,0,0,0,0,0,0,0,0,0,2261,0,0,0,60,2,0,False
152,,,,12734,12732,12744,12736,0,0,0,0,0,0,0,0,0,0,2262,0,0,0,60,5,0,False
153,,,,12732,12735,12736,12744,0,0,0,0,0,0,0,0,0,0,2263,0,0,0,60,5,0,False
154,,,,12834,12814,0,0,0,0,0,0,0,0,0,0,0,0,2264,0,0,0,60,5,0,False
155,,,,4953,4954,4957,4973,4974,4978,4981,4988,5020,7927,180,0,0,500,1012,146,920,860,35,2,4,False
156,,,,4869,4886,4897,4904,4913,4914,4923,4919,20524,20143,137,0,0,400,1013,147,1750,1280,50,1,1,False
157,,,,20092,20112,20113,20110,20054,22396,23063,0,0,0,628,0,0,3000,2501,162,950,1000,63,1,4,False
158,,,,20092,20093,20037,20786,24214,24993,0,0,0,0,613,0,0,400,1027,163,1870,1870,62,1,4,False
159,,,,20092,20094,20112,20109,20018,21176,23054,24560,24882,0,613,0,0,2000,1028,164,1240,1630,62,1,4,False
160,,,,20092,20094,20112,20099,20110,20034,22393,30491,24883,0,613,0,0,2000,1029,165,1680,960,65,1,4,True
161,,,,20092,20095,20096,20097,20098,20048,24558,23065,0,0,613,0,0,1000,1030,166,1580,360,63,1,4,False
162,,,,20112,20101,20102,20022,20100,30489,24215,0,0,0,613,0,0,1000,1031,167,1050,500,64,1,4,False
