#,Objective,Description1,Description2,Description3,CompletionBonusExp,RewardExp,CompletionBonusGil,RewardGil,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,ENpcName
0,,,,,0,0,0,0,0,0,0,0,0,0,False,False,0
1,Knöpft euch ein Monster nach dem anderen vor!,"Mehrere Monster derselben Art schließen sich zu Gruppen zusammen. Achtet auf ihre Sichtfelder, um nicht zu viel Aufmerksamkeit zu erregen!
Einige Monster können euch allerdings durch die Gegend schleudern und euch so einen Strich durch die Rechnung machen.","Sobald euch die Goobbue bemerkt, greifen euch alle Monster an!
Erledigt erst die außen stehenden Monster, ohne dabei von der aufmerksamen Goobbue entdeckt zu werden!","Bei dieser militärischen Übung wird der Gruppenkampf gegen Monster trainiert. Um die ohne Pause erscheinenden Monster zu besiegen, müsst ihr gut zu­sammen­arbeiten und eure jeweiligen Stärken ausspielen!

Sobald die Monster euch bemerken, greifen sie an. Wenn ihr einen unkoordinierten Kampf gegen eine Übermacht vermeiden wollt, solltet ihr euch geschickt einen Gegner nach dem anderen vornehmen.",1640,330,1120,50,0,0,0,0,0,0,False,False,1004746
2,"Besiegt Bockmann, bevor er Verstärkung ruft!","Wenn Bockmann schwächer wird, ruft er nach Unterstützung. Der Verteidiger sollte alle Feinde auf sich lenken, um die Grup­pen­mit­glieder zu schützen.",Meidet zu lange Gefechte gegen eine Vielzahl von Feinden! Angreifer sollten die Gegner so schnell wie möglich dezimieren!,"Besiegt den furcht­ein­flößenden Bockmann! Achtet dabei auf seine enorme Reichweite! Außerdem ruft er Verstärkung, wenn er in Bedrängnis kommt, also seid flink!",1710,340,1160,50,0,0,0,0,0,0,False,False,1004742
3,Öffnet die Tore und besiegt Kliffspringer!,"Grundsätzlich öffnen sich die Tore, sobald ihr alle Monster davor aus dem Weg geräumt habt, doch manchmal müssen dafür Schalter betätigt werden.","In der hintersten Höhle versuchen Yarzons durch Felswände zu brechen, um über euch herzufallen. Das wird ein Wettlauf gegen die Zeit!","Bei dieser militärischen Übung wird die Erstürmung feindlicher Befestigungsanlagen erprobt. Bahnt euch einen Weg durch die von Monstern bewachten Tore und erschlagt die Kröte Kliffspringer, die hinter dem dritten Tor hockt!

Verliert euer Ziel nicht aus den Augen und beeilt euch, bevor sich die an den Felswänden lauernden Yarzons auf euch stürzen!",3110,620,1740,80,0,0,0,0,0,0,False,False,1004744
4,"Schwächt, betäubt und fangt die Gilkröte!","Die Räuber heilen die Gilkröte kontinuierlich, also solltet ihr das Reptil von den Halunken weglocken!","Besiegt die Feuer-Exergone und entzündet mit ihren Essenzen das Schlafkraut. Daraufhin lockt ihr die Kröte in das Schlafgas, um sie zu betäuben und dann einzufangen.","Das Lieblingstier des ebenso wohlhabenden wie einflussreichen Republikaners Teledji Adeledji wurde von gierigen Räubern entführt, um für sie Lösegeld zu fordern. Macht den Halunken einen Strich durch die Rechnung und bringt das geliebte Kriechtier unversehrt zurück!

Für diesen Einsatz haben wir ein Kraut besorgt, das bei Verbrennung ein einschläferndes Gas verströmt. Um die Gilkröte lebend zu fangen, geht ihr wie folgt vor:  Zuerst schwächt ihr sie, dann entzündet ihr das Kraut mit einer Feuer-Exergon-Essenz und schläfert mit dem so produzierten Schlafgas das kostbare Tier ein.",3240,640,1810,80,0,0,0,0,0,0,False,False,1004744
5,Bleibt den Pollen der Staubgefäße fern!,Pollen fügen anhaltenden Giftschaden zu!,"Lockt Feinde, die sich in giftigen Pollenwolken befinden, hervor und bekämpft sie an einem sicheren Ort!","Aggressive Karnivoren bedrohen die Tier- und Pflanzenwelt der Gegend mit ihren hochgiftigen Pollen.

Besiegt die giftige Fledermausfalle! Sie wird sich erst zeigen, wenn ihr das kleinere Unkraut beseitigt habt. Doch nehmt euch vor den Staubgefäßen in Acht. Bleibt in sicherer Entfernung, sodass ihr nicht in eine Pollenwolke geratet!",3760,750,2280,110,0,0,0,0,0,0,False,False,1004742
6,Besiegt den Anführer der Banditen!,"Sobald die Wachen euch bemerken, werden sie euch angreifen! Sorgt dafür, dass es nicht zu viele werden, sondern knüpft euch kleine Gruppen vor.","Wenn sich die Gegner heilen können, zieht sich die Schlacht in die Länge. Beseitigt daher zuerst die Druiden!","Bekämpft die Räuberbande der Rotbauch-Wespen, die sich in der Nähe von Toto-Rak ein neues Nest gesucht hat!

Wenn der Kopf der Bande angegriffen wird, ruft er Verstärkung, also beseitigt zuerst die Wachen und Druiden. Kämpft immer nur gegen eine kleine Zahl von Feinden!",4350,870,2500,120,0,0,0,0,0,0,False,False,1004742
7,Besiegt Briaxio und lasst euch nicht verhexen!,Negative Status von Grup­pen­mit­gliedern können mit Gegenständen oder dem Zauber „Medica“ aufgehoben werden.,"Es könnte helfen, deine Gruppe in zwei Einheiten aufzuteilen - eine, die es mit Briaxio aufnimmt, während die andere sich um die verhexten Kreaturen kümmert.","Bösartige Sylphen, die eher den Wald der Einkehr abfackeln würden, ehe sie Frieden mit den Gridaniern schließen, setzen ihre verbotenen Zauber ein, um die Kreaturen des Waldes zu unterwerfen. Diese sind dadurch in der Lage, weitreichende Angriffe auszuführen und ihre Opfer zu vergiften.

Die Kreaturen können nur befreit werden, indem die abtrünnige Anführerin Briaxio besiegt wird.",4400,880,2800,140,0,0,0,0,0,0,False,False,1004742
8,Durchbrecht die Barrikaden!,Die Bomben explodieren nach einigen Sekunden. Seid flink!,"Ihr könnt die Barrikaden wie normale Gegner angreifen. Bringt die LP auf Null, um sie zu durchbrechen. ","Goblin-Banditen haben Nophicas Lethe besetzt. Durchbrecht ihre Barrikaden und besiegt die Gesetzlosen!

Die hinterhältigen Goblins wehren sich mit Bomben, die mit einigen Sekunden Verzögerung explodieren. Weicht aus und nutzt die Explosionen zum Sprengen der Barrikaden!",4590,910,2920,140,0,0,0,0,0,0,False,False,1004742
9,Besiegt Toxin-Tamlyn!,"Aus den blauen ranzigen Blubberblasen schlüpfen Monster, wenn ihr sie nicht rechtzeitig zerstört.","Die lila Säure-Blubberblasen verspritzen ätzende Säure, wenn sie angegriffen werden.","Am Narrenfall verseucht der riesige Morbol Toxin-Tamlyn das sonst so klare Wasser. Haltet ihn auf, bevor sich die Verpestung weiter ausbreitet!

Gebt jedoch gut Acht! Die Blasen aus der verunreinigten Wasserquelle können Säure oder Monster enthalten.",7480,1490,3480,180,0,0,0,0,0,0,False,False,1004746
