#,Name,Unknown0,Icon,Sgb[0],Sgb[1],Sgb[2],Sgb[3],Sgb[4],Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Material[0],Material[1],Material[2],Material[3],Material[4],Amount[0],Amount[1],Amount[2],Amount[3],Amount[4]
0.0,2,47,53919,29953,29954,0,0,0,1,24,0,0,0,0,0,0,0,0,0,0,0,255,10,0,11,3,8,10,10,5,5,5
0.1,3,48,53920,29955,0,0,0,0,4,25,0,0,0,0,0,0,0,0,0,0,0,255,10,11,14,0,13,15,10,10,5,5
0.2,4,49,53921,29788,0,0,0,0,7,26,0,0,0,0,0,0,0,0,0,0,0,255,9,14,17,18,19,15,10,10,10,5
0.3,73,74,53928,32165,0,0,0,0,13,108,0,0,0,0,0,0,0,0,0,0,0,255,10,21,76,82,7,15,15,10,10,10
0.4,87,88,53936,33368,0,0,0,0,17,131,0,0,0,0,0,0,0,0,0,0,0,255,96,93,80,19,23,15,15,15,15,10
1.0,5,50,53916,29945,29948,29947,29946,29945,1,6,72,2,3,4,5,3,2,1,0,3,2,6,9,0,14,11,8,10,10,10,5,5
1.1,6,51,53917,29871,29922,29922,29922,29871,6,9,73,0,0,7,8,255,255,7,0,7,2,8,9,14,18,19,13,15,15,10,5,5
1.2,7,52,53918,30186,30185,30185,30185,30186,8,12,74,0,0,10,11,255,255,12,0,12,2,14,21,23,9,18,28,15,15,10,10,3
1.3,75,76,53929,32250,32290,32290,32290,32250,14,112,113,0,0,109,110,255,255,12,0,12,2,19,79,76,21,9,82,15,15,10,10,10
1.4,89,90,53937,32697,32935,32935,32935,32697,19,134,135,0,0,132,133,255,255,12,0,12,2,255,96,93,80,19,28,15,15,10,10,5
2.0,8,53,53922,29949,29952,29951,29950,29949,5,17,0,13,14,15,16,3,2,1,0,3,2,6,10,9,19,13,11,10,10,10,10,5
2.1,9,54,53923,29936,29937,29937,29937,29936,6,20,0,0,0,18,19,255,255,7,0,7,2,8,10,9,18,19,20,15,15,10,5,5
2.2,10,55,53924,30163,30162,30162,30162,30163,8,23,0,0,0,21,22,255,255,12,0,12,2,13,9,21,23,19,29,15,15,10,10,3
2.3,69,72,53930,32569,32571,32571,32571,32569,13,117,0,0,0,114,115,255,255,12,0,12,2,18,10,76,80,79,82,15,15,10,10,10
2.4,70,86,53938,33015,33389,33389,33389,33015,18,138,0,0,0,136,137,255,255,12,0,12,2,255,96,93,23,19,29,15,15,10,10,5
