#,Name,Plural,NameRelation,Adjective,PossessivePronoun,StartsWithVowel,Pronoun,Article,DEF,IconReputation,Icon,IntersocietalQuest,Level,CurrencyItem,MinLevel,BeastRankBonus,MaxRank,Expansion,DisplayOrder,Unknown0
0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
1,Amalj'aa,Amalj'aa,Verbundenheit zu den Amalj'aa,3,1,0,1,0,0,61901,65016,0,4496854,21076,0,0,4,0,1,True
2,Sylphe,Sylphen,Verbundenheit zu den Sylphen,3,1,0,1,1,0,61902,65017,0,4494851,21075,0,0,4,0,2,True
3,Kobold,Kobolde,Verbundenheit zu den Kobolden,4,2,0,1,0,0,61904,65019,0,4618734,21078,0,0,4,0,3,True
4,Sahagin,Sahagin,Verbundenheit zu den Sahagin,3,1,0,1,0,0,61905,65020,0,4618738,21077,0,0,4,0,4,True
5,Ixal,Ixal,Verbundenheit zu den Ixal,3,1,0,1,0,0,61903,65018,0,4889077,21073,50,0,7,0,5,False
6,Vanu Vanu,Vanu Vanu,Verbundenheit zu den Vanu Vanu,3,1,0,1,0,0,61906,65036,67921,6085422,21074,0,1,8,1,1,False
7,Gnath,Gnath,Verbundenheit zu den Gnath,3,1,0,1,0,0,61907,65037,67921,6209461,21079,0,1,8,1,2,False
8,Mogry,Mogrys,Verbundenheit zu den Mogrys,4,1,0,1,0,0,61908,65039,67921,6254017,21080,60,2,8,1,3,False
9,Kojin,Kojin,Verbundenheit zu den Kojin,3,1,0,1,0,0,61910,65048,68700,7091589,21081,0,3,8,2,1,False
10,Ananta,Ananta,Verbundenheit zu den Ananta,3,1,0,1,1,0,61909,65047,68700,7186922,21935,0,3,8,2,2,False
11,Namazuo,Namazuo,Verbundenheit zu den Namazuo,3,1,0,1,0,0,61911,65063,68700,7380346,22525,70,4,8,2,3,False
12,Pixie,Pixies,Verbundenheit zu den Pixies,3,1,0,1,1,0,61912,65072,0,8141642,28186,0,5,8,3,1,False
13,Qitari,Qitari,Verbundenheit zu den Qitari,3,1,0,1,0,0,61913,65076,0,8261555,28187,80,6,8,3,2,False
14,Zwerg,Zwerge,Verbundenheit zu den Zwergen,4,2,0,1,0,0,61914,65079,0,8368176,28188,80,7,8,3,3,False
15,Arkasodara,Arkasodara,Verbundenheit zu den Arkasodara,3,1,0,1,0,0,61915,65092,70324,9160152,36657,0,8,8,4,1,False
16,Omikron,Omikron,Verbundenheit zu den Omikron,4,1,0,1,0,0,61916,65093,70324,9308276,37854,90,9,8,4,2,False
17,Loporrit,Loporrit,Verbundenheit zu den Loporrit,3,1,0,1,0,0,61917,65101,70324,9527714,38952,90,10,8,4,3,False
18,Pelupelu,Pelupelu,Verbundenheit zu den Pelupelu,3,1,0,1,0,0,61918,65113,0,10958050,44472,0,11,8,5,3,False
19,Mamool Ja,Mamool Ja,Verbundenheit zu den Mamool Ja,3,1,0,1,1,0,61919,65115,0,11400860,48084,100,12,8,5,2,False
20,Yok Huy,Yok Huy,Verbundenheit zu den Yok Huy,3,1,0,1,1,0,61990,65131,0,11859412,46178,100,13,8,5,1,False
