#,Name,TextString,Unknown0,Unknown1,Unknown2,Unknown3,Color,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8
0,,,-1,-1,0,0,0,0,0,1,1,True
1,,,0,0,0,0,0,0,0,0,0,False
2,,,0,0,0,0,0,0,0,0,0,False
3,Denaturierter Äther,ContentGaugeMax_negative,80,-1,0,0,4,2,0,1,1,True
4,Gesammelter Äther,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
5,Pakt mit der Erde,ContentGaugeMax_negative,-1,-1,0,0,3,0,0,1,1,True
6,Gold,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
7,Lockende Umarmung,ContentGaugeMax_negative,-1,-1,0,0,4,0,0,1,1,True
8,Hashmallims Mana,ContentGaugeMax_negative,-1,-1,0,0,3,0,0,1,1,True
9,Bahamut-Äther,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
10,Leere,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
11,Fordolas Barriere,ContentGaugeMax_negative,-1,-1,0,0,1,0,0,1,1,True
12,Mateus' Äther,ContentGaugeMax_negative,-1,-1,0,0,1,0,0,1,1,True
13,Ätherbeschleunigung,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
14,Genbus Geist,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
15,Liebe,,60,90,0,0,2,3,1,1,1,False
16,Zu Boden gehen,ContentGaugeMax_positive,30,-1,0,0,3,2,0,-1,1,False
17,Hass,ContentGaugeMax_negative,50,80,0,0,1,3,2,1,1,True
18,Qitian Dashengs Zauberkraft,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
19,Ultima-Äther,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
20,Magie,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
21,Magie,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
22,Göttliche Kraft,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
23,Dunkelrote Melodie,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
24,Midgardsormrs Äther,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
25,Meteoreinschlag,ContentGaugeMax_negative,80,-1,0,0,3,2,0,1,1,True
26,Dunkler Äther,ContentGaugeMax_negative,50,80,0,0,1,3,2,1,1,False
27,Elektrische Kraftkonzentration,ContentGaugeMax_negative,-1,-1,0,0,1,0,0,1,1,True
28,Heilige Klinge,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
29,Seiryus göttliche Gabe,ContentGaugeMax_negative,60,80,0,0,1,3,2,1,1,True
30,Magische Barriere,,30,50,0,0,2,3,1,1,1,False
31,Gesammelter Äther,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
32,Schwertkunst,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
33,Titanias Naturmagie,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
34,Innozenz' Einfluss,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
