#,Name,Image,Icon,UnlockCondition,Unknown_70_1,Unknown_70_2,Unknown0,SortKey,Category
0,Nichts,0,82092,0,0,0,0,0,0
1,Nichts,191001,82092,1,0,0,0,1,1
2,Abgestuftes Schwarz,191002,82092,1,0,0,0,3,1
3,Abgestuftes Weiß,191003,82092,1,0,0,0,2,1
4,Schlichtes Weiß,191004,82092,1,0,0,0,7,1
5,Schlichtes Silber,191005,82092,1,0,0,0,5,1
6,Schlichtes Gold,191006,82092,1,0,0,0,4,1
7,Archiv,191007,82092,1,0,0,0,10,1
8,Schlichtes Beige,191008,82092,1,0,0,0,8,1
9,Schlichte Prägung,191009,82092,1,0,0,0,9,1
10,Antik,191010,82092,1,0,0,0,20,1
11,Verzierte Ecken,191011,82092,1,0,0,0,21,1
12,Paladin,191301,82092,124,0,0,0,2150,2
13,Krieger,191302,82092,125,0,0,0,2151,2
14,Dunkelritter,191303,82092,126,0,0,0,2152,2
15,Revolverklinge,191304,82092,127,0,0,0,2153,2
16,Weißmagier,191305,82092,128,0,0,0,2154,2
17,Gelehrter,191306,82092,129,0,0,0,2155,2
18,Astrologe,191307,82092,130,0,0,0,2156,2
19,Weiser,191308,82092,131,0,0,0,2157,2
20,Mönch,191309,82092,132,0,0,0,2158,2
21,Dragoon,191310,82092,133,0,0,0,2159,2
22,Ninja,191311,82092,134,0,0,0,2160,2
23,Samurai,191312,82092,135,0,0,0,2161,2
24,Schnitter,191313,82092,136,0,0,0,2162,2
25,Barde,191314,82092,137,0,0,0,2164,2
26,Maschinist,191315,82092,138,0,0,0,2165,2
27,Tänzer,191316,82092,139,0,0,0,2166,2
28,Schwarzmagier,191317,82092,140,0,0,0,2167,2
29,Beschwörer,191318,82092,141,0,0,0,2168,2
30,Rotmagier,191319,82092,142,0,0,0,2169,2
31,Team Astra,191401,82092,143,0,0,0,3000,10
32,Team Umbra,191402,82092,144,0,0,0,3001,10
33,Kristallkönig (1. Saison),191403,82092,145,0,0,0,3200,5
34,Kristallfürst (1. Saison),191404,82092,146,0,0,0,3201,5
35,Kristallkämpfer (1. Saison),191405,82092,147,0,0,0,3202,5
36,Crystalline Conflict: Bronze (1. Saison),191406,82092,148,0,0,0,3208,5
37,Crystalline Conflict: Silber (1. Saison),191407,82092,149,0,0,0,3207,5
38,Crystalline Conflict: Gold (1. Saison),191408,82092,150,0,0,0,3206,5
39,Crystalline Conflict: Platin (1. Saison),191409,82092,151,0,0,0,3205,5
