#,Name,Example,Caster,Target,LogKind,Category,DisplayOrder,Preset
0,None,,65535,65535,0,0,0,0
1,Sagen,Nachrichten an alle Spieler in einem kleinen Umkreis.,65535,65535,10,1,1,1
2,Schreien,Nachrichten an alle Spieler im gesamten Areal.,65535,65535,11,1,3,1
3,Flüstern,Nachrichten an einen bestimmten Spieler.,65535,65535,12,1,4,1
4,Gruppe,Nachrichten an die Grup­pen­mit­glieder.,65535,65535,14,1,5,1
5,Emotes,Nachrichten über Emotes.,65535,65535,29,1,30,1
6,Persönliche Emotes,"Nachrichten über Spieler-Emotes, bei denen keine Bewegung ausgeführt wird.",65535,65535,28,1,31,1
7,Freie Gesellschaft,Nachrichten an die Mitglieder der Freien Ge­sell­schaft.,65535,65535,24,1,7,1
8,Kontaktkreis 1,Nachrichten an die Mitglieder von Kontaktkreis 1.,65535,65535,16,1,20,1
9,Kontaktkreis 2,Nachrichten an die Mitglieder von Kontaktkreis 2.,65535,65535,17,1,21,1
10,Kontaktkreis 3,Nachrichten an die Mitglieder von Kontaktkreis 3.,65535,65535,18,1,22,1
11,Kontaktkreis 4,Nachrichten an die Mitglieder von Kontaktkreis 4.,65535,65535,19,1,23,1
12,Kontaktkreis 5,Nachrichten an die Mitglieder von Kontaktkreis 5.,65535,65535,20,1,24,1
13,Kontaktkreis 6,Nachrichten an die Mitglieder von Kontaktkreis 6.,65535,65535,21,1,25,1
14,Kontaktkreis 7,Nachrichten an die Mitglieder von Kontaktkreis 7.,65535,65535,22,1,26,1
15,Kontaktkreis 8,Nachrichten an die Mitglieder von Kontaktkreis 8.,65535,65535,23,1,27,1
16,Rufen,Nachrichten an alle Spieler in einem großen Umkreis.,65535,65535,30,1,2,1
17,Allianz,Nachrichten an die Mitglieder deiner Allianz.,65535,65535,15,1,6,1
18,Neulinge,Nachrichten an die Teilnehmer am Neulings-Chat.,65535,65535,27,1,28,1
19,PvP-Team,Nachrichten an die Mitglieder des PvP-Teams.,65535,65535,36,1,8,1
20,Welten-Kontaktkreis [1],Nachrichten an die Mitglieder von Welten-Kontaktkreis 1.,65535,65535,37,1,10,1
21,Systemnachrichten,"Nachrichten, die automatisch vom System generiert werden.",65535,65535,57,2,1,1
22,,,0,0,0,0,0,0
23,Systemnachrichten - Sammeln,"Auf das Sammeln bezogene Nachrichten, die automatisch vom System generiert werden.",65535,65535,59,2,4,1
24,System-Fehlermeldungen,"Fehlermeldungen, die automatisch vom System generiert werden.",65535,65535,60,2,5,1
25,Echo,Eigene Nachrichten.,65535,65535,56,2,6,1
26,NPC-Gespräche,"Sagen-Nachrichten, die von NPCs gesprochen werden.",65535,65535,61,2,16,4
27,Beutegut erhalten,"Mitteilungen, die beim Erhalt von Beutegut angezeigt werden.",65535,65535,62,2,20,1
28,Charakterentwicklung - Eigene,Du hast Er­fah­rungs­stufe 50 erreicht!,258,65535,64,2,25,1
29,Charakterentwicklung - Andere,Shantotto hat Er­fah­rungs­stufe 50 erreicht!,2289,65535,64,2,27,1
30,Würfelergebnisse - Eigene,Du würfelst auf Bedarf eine 50!,2,65535,65,2,30,1
31,Würfelergebnisse - Andere,Shantotto würfelt auf Bedarf eine 50!,65532,65535,65,2,31,1
32,Synthese - Eigene,Du stellst eine Flasche Äther her.,2,65535,66,2,35,1
33,Synthese - Andere,Shantotto stellt eine Flasche Äther her.,28,65535,66,2,36,1
