#,Unknown0,Unknown1,Unknown2,Unknown3
0,,0,0,0
1,1: Immer schön innen,44,0,41
2,"2: Vorsicht, Flächenangriff",45,0,61
3,3: Fähigkeiten sind nicht alles,46,0,81
4,4: Ein gewichtiges Rennen,47,310,101
5,5: Hiergeblieben!,48,0,121
6,6: Rivale auf Trab,49,311,141
7,7: Feld der Träume,50,0,161
8,8: Der lachende Dritte,51,312,181
9,9: Der längere Atem,52,0,201
10,10: Zwei Temperamente,53,313,221
11,11: Volle Kraft voraus,54,0,231
12,12: Fähigkeiten ohne Wenn und Extra,55,314,241
13,13: Ein unschlagbares Gespann,56,0,251
14,14: Ein äußerst gewichtiges Rennen,57,0,261
15,15: Rennen der Superlative,58,0,271
