#,Singular,Plural,Adjective,PossessivePronoun,StartsWithVowel,Unknown0,Pronoun,Article,Model,Action,Icon,Transient,Order,AttachmentPoint,Unknown3,Unknown4
0,,,0,0,0,1,0,0,0,0,0,0,-1,0,0,0
1,Sonnenschirm,Sonnenschirme,4,2,0,1,0,0,2939,2,8001,1,0,1,1,1
2,Himmlischer Sonnenschirm,Himmlische Sonnenschirme,4,2,0,1,0,0,2940,2,8002,2,1,1,1,1
3,Roter Ölpapierschirm,Rote Ölpapierschirme,4,2,0,1,0,0,3007,2,8003,3,2,1,1,1
4,Violetter Ölpapierschirm,Violette Ölpapierschirme,4,2,0,1,0,0,3008,2,8004,4,3,1,1,1
5,Gelber Ölpapierschirm,Gelbe Ölpapierschirme,4,2,0,1,0,0,3009,2,8005,5,4,1,1,1
6,Blau karierter Sonnenschirm,Blau karierter Sonnenschirme,4,2,0,1,0,0,3010,2,8006,6,5,1,1,1
7,Rot karierter Sonnenschirm,Rot karierter Sonnenschirme,4,2,0,1,0,0,3011,2,8007,7,6,1,1,1
8,Schwarz karierter Sonnenschirm,Schwarz karierter Sonnenschirme,4,2,0,1,0,0,3012,2,8008,8,7,1,1,1
9,Engelsflügel,Engelsflügel,4,2,0,1,0,0,3042,0,8013,100,8,2,0,2
10,Gold Saucer-Sonnenschirm,Gold Saucer-Sonnenschirme,4,2,0,1,0,0,3169,2,8012,9,9,1,1,1
11,Blau-weiß gepunkteter Sonnenschirm,Blau-weiß gepunktete Sonnenschirme,4,2,0,1,0,0,3166,2,8009,10,10,1,1,1
12,Rosa-weiß gepunkteter Sonnenschirm,Rosa-weiß gepunktete Sonnenschirme,4,2,0,1,0,0,3167,2,8010,11,11,1,1,1
13,Hellblau-weiß gepunkteter Sonnenschirm,Hellblau-weiß gepunktete Sonnenschirme,4,2,0,1,0,0,3168,2,8011,12,12,1,1,1
14,Dicke-Katze-Sonnenschirm,Dicke-Katze-Sonnenschirme,4,2,0,1,0,0,3286,2,8014,13,13,1,1,1
15,Wasserschlange-Sonnenschirm,Wasserschlange Ronka-Sonnenschirme,4,2,0,1,0,0,3287,2,8015,14,14,1,1,1
16,Dalamud-Papierschirm,Dalamud-Papierschirme,4,2,0,1,0,0,3288,2,8016,15,15,1,1,1
17,Gefallener-Engel-Flügel,Gefallener-Engel-Flügel,4,2,0,1,0,0,3426,0,8017,100,16,2,0,2
18,Erzengel-Flügel,Erzengel-Flügel,4,2,0,1,0,0,3427,0,8018,100,17,2,0,2
19,Diabolos-Flügel,Diabolos-Flügel,4,2,0,1,0,0,3428,0,8019,101,18,3,0,2
20,Pixie-Flügel,Pixie-Flügel,4,2,0,1,0,0,3429,0,8020,102,19,6,0,2
21,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Ovale Brille,Ovale Brillen,3,1,0,1,1,0,3431,0,786,200,21,5,0,2
23,Weißer Rüschen-Sonnenschirm,Weiße Rüschen-Sonnenschirme,4,2,0,1,0,0,3611,2,8023,16,22,1,1,1
24,Blauer Blüten-Sonnenschirm,Blaue Blüten-Sonnenschirme,4,2,0,1,0,0,3612,2,8024,17,23,1,1,1
25,Getönte Brille,Getönte Brillen,3,1,0,1,1,0,3613,0,786,201,24,5,0,2
26,Klassische Brille,Klassische Brillen,3,1,0,1,1,0,3614,0,786,202,25,7,0,2
27,Sabotender-Sonnenschirm,Sabotender-Sonnenschirme,4,2,0,1,0,0,3701,2,8027,18,26,1,1,1
28,Blaue Pixie-Flügel,Blaue Pixie-Flügel,4,2,0,1,0,0,3702,0,8028,102,27,6,0,2
29,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Miaurizius-Schirm,Miaurizius-Schirme,4,2,0,1,0,0,3815,2,8029,19,28,1,1,1
