#,Text,Unknown6,BalloonTime,Unknown0,Unknown7,Unknown8,OutputType,Unknown_70,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,IsBalloonSlow,BattleTalkTime
0,0,0,1,0,0,0,1,0,1,25,False,False,False,False,False
1,0,0,1,0,0,0,3,0,1,25,False,False,False,False,False
2,0,0,5,0,0,0,3,0,1,25,False,False,False,False,False
3,Psst! Die Anolis kommen immer näher ...!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
4,Kein einziger Imp darf entkommen!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
5,"Verdammt, es sind zu viele!",0,5,0,0,0,3,0,1,25,False,False,False,False,False
6,Die Schnaken! Sie sind überall!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
7,"Die Sylphen kommen, haltet euch bereit!",0,5,0,0,0,3,0,1,25,False,False,False,False,False
8,"Oh nein, es werden immer mehr!",0,5,0,0,0,3,0,1,25,False,False,False,False,False
9,Wir werden für Sicherheit auf den Straßen sorgen!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
10,Denen werden wir's zeigen ... ,0,5,0,0,0,3,0,1,25,False,False,False,False,False
11,Sie sind hinter den Bohnen her!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
12,Die Ixal! Zu Hilfe!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
13,Seit wann kommen die Ziz in diese Gegend?!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
14,Da kommen sie schon wieder!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
15,"Sieh dich vor, die Opo-Opos drehen durch!",0,5,0,0,0,3,0,1,25,False,False,False,False,False
16,"Bei den Höllen ... Zeit, die Taktik zu ändern!",0,5,0,0,0,3,0,1,25,False,False,False,False,False
17,Bringt sie um! ,0,5,0,0,0,3,0,1,25,False,False,False,False,False
18,Kann uns vielleicht jemand helfen?!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
19,Meine Waren! Die Goblins haben meine Waren!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
20,Sieh dir all diese Golems an!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
21,Noch mehr Imps. Das gibt's doch nicht!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
22,"Wenn das so weitergeht, sind bald gar keine Blüten mehr übrig!",0,5,0,0,0,3,0,1,25,False,False,False,False,False
23,Haltet sie auf!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
24,Schaff mir einer diesen Typen vom Hals!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
25,Aus dem Weeeg!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
26,Ngaaah!,0,5,0,0,0,2,0,1,25,False,False,False,False,False
27,Haah!,0,5,0,0,0,2,0,1,25,False,False,False,False,False
28,Stirb schon!,0,5,0,0,0,2,0,1,25,False,False,False,False,False
29,Hngg ...,0,5,0,0,0,2,0,1,25,False,False,False,False,False
30,"Versuch das nicht
noch mal, du ...!",0,5,0,0,0,2,0,1,25,False,False,False,False,False
31,Du gehörst mir!,0,5,0,0,0,2,0,1,25,False,False,False,False,False
32,"Na los, wer will es mit mir aufnehmen?!",0,5,0,0,0,2,0,1,25,False,False,False,False,False
33,"Was ist, willst du mehr?",0,5,0,0,0,2,0,1,25,False,False,False,False,False
34,Raaaaaaaah!,0,5,0,0,0,2,0,1,25,False,False,False,False,False
35,"Das war's, mieses Gesindel!",0,5,0,0,0,2,0,1,25,False,False,False,False,False
36,Aus dem Weg!,0,5,0,0,0,2,0,1,25,False,False,False,False,False
37,Ich mach dich fertig!,0,5,0,0,0,2,0,1,25,False,False,False,False,False
38,Lass uns ein wenig Spaß haben!,0,5,0,0,0,2,0,1,25,False,False,False,False,False
39,Du wünschst eine Audienz beim König der Könige?,0,5,0,0,0,2,0,1,25,False,False,False,False,False
40,Knie nieder vor deinem König!,0,3,0,0,0,2,0,1,25,False,False,False,False,False
41,Ich will dich singen hören!,0,3,0,0,0,2,0,1,25,False,False,False,False,False
42,Komm doch näher!,0,3,0,0,0,2,0,1,25,False,False,False,False,False
