#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4
0,0,0,0,0,0
1,1,2,0,0,0
2,3,0,0,0,0
3,4,0,0,0,0
4,5,6,0,0,0
5,7,8,10,0,0
6,9,10,0,0,0
7,11,12,0,0,0
8,13,14,0,0,0
9,15,16,0,0,0
10,17,0,0,0,0
11,26,0,0,0,0
12,49,0,0,0,0
13,54,0,0,0,0
14,2,4,0,0,0
15,2,5,0,0,0
16,4,5,0,0,0
17,2,4,5,49,0
18,4,49,0,0,0
19,2,5,49,0,0
20,6,0,0,0,0
21,16,0,0,0,0
22,9,0,0,0,0
23,14,0,0,0,0
24,2,0,0,0,0
25,49,0,0,0,0
26,15,0,0,0,0
27,116,0,0,0,0
28,8,0,0,0,0
29,9,0,0,0,0
30,7,0,0,0,0
31,11,0,0,0,0
32,5,0,0,0,0
33,15,0,0,0,0
34,1,0,0,0,0
35,3,0,0,0,0
36,7,0,0,0,0
37,190,0,0,0,0
38,191,0,0,0,0
