#,Name,Icon,StartAnimation,LoopAnimation,EndAnimation,CastTime
0,,1,0,0,0,0
1,Interagieren,19603,80,81,82,2
2,Interagieren,19603,80,81,82,2
3,Interagieren,19603,80,81,82,5
4,Interagieren,19603,80,81,82,10
5,Interagieren,19603,80,81,82,15
6,Interagieren,19603,80,81,82,2
7,Interagieren,19603,80,81,82,5
8,Interagieren,19603,80,81,82,10
9,Interagieren,19603,80,81,82,15
10,Warten,19604,175,176,177,2
11,Warten,19604,175,176,177,2
12,Warten,19604,175,176,177,5
13,Warten,19604,175,176,177,10
14,Interagieren,19603,80,81,82,2
15,Interagieren,19603,80,81,82,2
16,Interagieren,19603,80,81,82,5
17,Interagieren,19603,80,81,82,10
18,Interagieren,19603,80,81,82,2
19,Harmonisieren,19605,169,170,171,5
20,Interagieren,19603,80,81,82,1
21,Interagieren,19603,80,81,82,2
22,Interagieren,19603,80,81,82,5
23,Interagieren,19603,172,173,174,1
24,Interagieren,19603,172,173,174,2
25,Interagieren,19603,172,173,174,5
26,Helfen,19603,184,185,186,2
27,Pfeifen,19604,178,179,180,2
28,Ausschau halten,19604,175,176,177,10
29,Vermerken,19603,172,173,174,1
30,Pfeifen,19603,178,179,180,2
31,Interagieren,19603,181,182,183,2
32,Interagieren,19603,181,182,183,5
33,Interagieren,19603,181,182,183,10
34,Helfen,19603,184,185,186,2
35,Helfen,19603,184,185,186,5
36,Helfen,19603,184,185,186,10
37,Interagieren,19603,178,179,180,2
38,Helfen,19603,172,173,174,2
39,Helfen,19603,172,173,174,5
40,Helfen,19603,172,173,174,10
41,Ausschau halten,19604,175,176,177,10
42,Fesseln lösen,19603,181,182,183,10
43,Besänftigen,19603,172,173,174,10
44,Besänftigen,19603,184,185,186,10
45,Interagieren,19603,172,173,174,2
46,Interagieren,19603,172,173,174,5
47,Interagieren,19603,172,173,174,10
48,Ärgern,19603,181,182,183,5
49,Ventil schließen,19603,181,182,183,5
50,Ausschau halten,19604,175,176,177,5
51,Ventil schließen,19603,181,182,183,5
52,Interagieren,19603,80,81,82,1
53,Interagieren,19603,181,182,183,2
54,Interagieren,19603,181,182,183,5
55,Interagieren,19603,181,182,183,10
56,Ausschau halten,19604,175,176,177,5
57,Erobern,19603,172,173,174,2
58,Erobern,19603,172,173,174,5
59,Erobern,19603,172,173,174,10
60,Harmonisieren,19603,172,173,174,5
61,Interagieren,19603,0,0,0,2
62,Interagieren,19603,80,81,82,8
63,Interagieren,19603,0,0,0,5
64,Interagieren,19603,0,0,0,0
65,Erdseim aufnehmen,19603,80,81,82,3
66,Erobern,19603,172,173,174,5
67,Steuern,19603,172,173,174,2
68,Ausschau halten,19603,175,176,177,2
69,Interagieren,19603,172,173,174,1
70,Untersuchen,19603,181,182,183,5
71,Anrufen,19603,172,173,174,2
72,Pflegen,19603,184,185,186,5
73,Heilen,19673,0,5704,5705,5
74,Aufheben,19603,80,81,82,3
75,Sammeln,19603,80,81,82,4
76,Verarbeiten,19603,0,7347,151,7
77,Montieren,19603,0,7346,151,10
78,Nachlegen,19603,172,173,174,10
79,Vereinigen,19603,80,81,82,6
80,Abkippen,19603,0,4189,12632,3
81,Zerkleinern,19603,0,7364,151,10
82,Sieben,19603,0,7365,151,7
83,Auffegen,19603,0,7366,151,10
84,Sammeln,19603,184,185,186,4
85,Pflastern,19603,0,7399,151,10
86,Statue berühren,19603,172,173,174,2
87,Bauen,19603,0,7394,151,10
88,Nachlegen,19603,181,182,183,7
89,Sammeln,19603,80,81,82,10
90,Nähen,19603,0,7421,150,10
91,Transportieren,19603,80,81,82,3
92,Aufladen,19603,0,4189,12632,2
93,Untersuchen,19603,80,81,82,5
94,Besteigen,19603,172,173,174,2
95,Überreichen,19603,0,4189,12632,3
96,Sprengladung anbringen,19603,181,182,183,5
97,Essen,19603,0,8436,0,9
98,Essen,19603,0,8436,0,3
99,Betanken,19603,0,208,12632,3
100,Wachen,19603,0,155,0,5
101,Beruhigen,19603,172,173,174,5
102,Äther austauschen,19603,172,173,174,5
103,Pfeifen,19603,178,179,180,3
104,Helfen,19603,181,182,183,5
105,Interagieren,19603,181,182,183,3
106,Pflegen,19603,172,173,174,5
107,Äther ablassen,19603,169,170,171,5
108,Besänftigen,19603,11987,11988,11989,5
109,Transportieren,19603,0,0,0,1
110,Liefern,19603,172,173,174,3
111,Senkrecht bohren,19603,0,12261,12481,6
112,Waagerecht bohren,19603,0,12260,12474,6
113,Saugen,19603,0,12259,12474,6
114,Schweißen,19603,0,12258,12474,6
115,Auflesen,19603,172,173,12473,4
116,Verarbeiten,19603,181,182,12480,5
117,Schleppen,19603,80,81,82,6
118,Abladen,19603,0,4189,12474,3
119,Einsammeln,19603,181,182,12470,4
120,Laden,19603,172,173,12471,6
121,Anbringen,19603,181,182,12472,4
122,Werkeln,19603,0,7394,12474,6
123,Sammeln,19603,181,182,183,1
124,Interagieren,19612,181,182,183,2
125,Schweißen,19603,0,12425,12474,6
126,Glas kühlen,19603,0,12424,12468,5
127,Kühlmittel nachfüllen,19603,172,173,174,5
128,Glas kühlen,19603,0,12467,12469,5
129,Bohren,19603,0,12261,12482,6
130,Zerlegen,19603,12483,12484,12485,3
131,,0,0,0,0,0
132,Piktomantisch helfen,19730,12520,12521,12522,3
133,Piktomantisch helfen,19730,12523,12524,12525,3
134,Abtragen,19603,0,12534,151,5
135,Behandeln,19603,0,12537,12538,5
136,Hochhieven,19603,80,81,12535,6
137,Aufnehmen,19603,181,182,12539,4
138,Aufnehmen,19603,181,182,12542,4
139,Weiterleiten,19603,12557,12558,12541,5
140,Weiterleiten,19603,12559,12560,12544,5
141,Bohren,19603,0,12261,12545,6
142,Nachfüllen,19603,172,173,174,5
143,,0,0,0,0,0
144,,0,0,0,0,0
