#,Singular,Plural,NameRank,Unknown0,Adjective,PossessivePronoun,StartsWithVowel,Unknown1,Pronoun,Article
0,,,,,0,0,0,0,0,0
1,Legionär 3. Klasse,Legionäre 3. Klasse,Legionär,Legionär 3. Klasse,4,2,0,1,0,0
2,Legionär 2. Klasse,Legionäre 2. Klasse,Legionär,Legionär 2. Klasse,4,2,0,1,0,0
3,Legionär 1. Klasse,Legionäre 1. Klasse,Legionär,Legionär 1. Klasse,4,2,0,1,0,0
4,Phönixlegionär,Phönixlegionäre,Phönixlegionär,Phönixlegionär,4,2,0,1,0,0
5,Legionsgefreiter 3. Klasse,Legionsgefreite 3. Klasse,Legionsgefreiter,Legionsgefreiter 3. Klasse,8,2,0,1,0,0
6,Legionsgefreiter 2. Klasse,Legionsgefreite 2. Klasse,Legionsgefreiter,Legionsgefreiter 2. Klasse,8,2,0,1,0,0
7,Legionsgefreiter 1. Klasse,Legionsgefreite 1. Klasse,Legionsgefreiter,Legionsgefreiter 1. Klasse,8,2,0,1,0,0
8,Phönixgefreiter,Phönixgefreite,Phönixgefreiter,Phönixgefreiter,8,2,0,1,0,0
9,Zweiter Legionsfähnrich,Zweite Legionsfähnriche,Legionsfähnrich,Zweiter Legionsfähnrich,4,2,0,1,0,0
10,Erster Legionsfähnrich,Erste Legionsfähnriche,Legionsfähnrich,Erster Legionsfähnrich,4,2,0,1,0,0
11,Phönixfähnrich,Phönixfähnriche,Phönixfähnrich,Phönixfähnrich,4,2,0,1,0,0
12,Zweiter Legionshauptmann,Zweite Legionshauptmänner,Legionshauptmann,Zweiter Legionshauptmann,4,2,0,1,0,0
13,Erster Legionshauptmann,Erste Legionshauptmänner,Legionshauptmann,Erster Legionshauptmann,4,2,0,1,0,0
14,Phönixhauptmann,Phönixhauptmänner,Phönixhauptmann,Phönixhauptmann,4,2,0,1,0,0
15,Major der Legion,Majore der Legion,Major,Major der Legion,4,2,0,1,0,0
16,Oberst der Legion,Obersts der Legion,Oberst,Oberst der Legion,4,1,0,1,0,0
17,Generalmajor der Legion,Generalmajore der Legion,Generalmajor,Generalmajor der Legion,4,2,0,1,0,0
18,General der Legion,Generäle der Legion,General,General der Legion,4,2,0,1,0,0
19,Phönixgeneral,Phönixgeneräle,Phönixgeneral,Phönixgeneral,4,2,0,1,0,0
