#,Name,Reward,MonsterNoteTarget[0],MonsterNoteTarget[1],MonsterNoteTarget[2],MonsterNoteTarget[3],Count[0],Count[1],Count[2],Count[3]
10001,Gladiator 01,75,1,0,0,0,3,0,0,0
10002,Gladiator 02,180,206,0,0,0,3,0,0,0
10003,Gladiator 03,360,208,0,0,0,3,0,0,0
10004,Gladiator 04,410,209,0,0,0,3,0,0,0
10005,Gladiator 05,530,211,0,0,0,3,0,0,0
10006,Gladiator 06,980,213,0,0,0,3,0,0,0
10007,Gladiator 07,1100,210,0,0,0,3,0,0,0
10008,Gladiator 08,1300,217,0,0,0,3,0,0,0
10009,Gladiator 09,1600,220,0,0,0,3,0,0,0
10010,Gladiator 10,1700,223,224,0,0,3,3,0,0
10011,Gladiator 11,2300,228,229,0,0,3,3,0,0
10012,Gladiator 12,3200,227,0,0,0,3,0,0,0
10013,Gladiator 13,4000,230,0,0,0,3,0,0,0
10014,Gladiator 14,4500,232,0,0,0,3,0,0,0
10015,Gladiator 15,5000,234,0,0,0,3,0,0,0
10016,Gladiator 16,5300,235,0,0,0,3,0,0,0
10017,Gladiator 17,5500,237,0,0,0,3,0,0,0
10018,Gladiator 18,5700,240,0,0,0,3,0,0,0
10019,Gladiator 19,5900,238,0,0,0,3,0,0,0
10020,Gladiator 20,6100,242,244,0,0,3,3,0,0
10021,Gladiator 21,6300,32,137,0,0,4,3,0,0
10022,Gladiator 22,6500,245,0,0,0,4,0,0,0
10023,Gladiator 23,6700,138,0,0,0,4,0,0,0
10024,Gladiator 24,6900,34,0,0,0,4,0,0,0
10025,Gladiator 25,7100,150,0,0,0,4,0,0,0
10026,Gladiator 26,7600,252,0,0,0,4,0,0,0
10027,Gladiator 27,8600,255,0,0,0,4,0,0,0
10028,Gladiator 28,9400,158,0,0,0,4,0,0,0
10029,Gladiator 29,9700,161,0,0,0,4,0,0,0
10030,Gladiator 30,10000,37,38,0,0,4,3,0,0
10031,Gladiator 31,11000,165,42,0,0,4,3,0,0
10032,Gladiator 32,12000,39,166,0,0,4,3,0,0
10033,Gladiator 33,12500,265,0,0,0,4,0,0,0
10034,Gladiator 34,13000,171,0,0,0,4,0,0,0
10035,Gladiator 35,13500,64,0,0,0,4,0,0,0
10036,Gladiator 36,14000,271,0,0,0,4,0,0,0
10037,Gladiator 37,14500,294,0,0,0,4,0,0,0
10038,Gladiator 38,15000,176,0,0,0,4,0,0,0
10039,Gladiator 39,16000,301,0,0,0,4,0,0,0
10040,Gladiator 40,16500,306,66,0,0,4,3,0,0
10041,Gladiator 41,17000,67,72,0,0,5,2,0,0
10042,Gladiator 42,17500,179,184,0,0,5,2,0,0
10043,Gladiator 43,18000,73,187,0,0,5,2,0,0
10044,Gladiator 44,18500,319,0,0,0,5,0,0,0
10045,Gladiator 45,19000,311,0,0,0,5,0,0,0
10046,Gladiator 46,19500,313,0,0,0,3,0,0,0
10047,Gladiator 47,20000,280,0,0,0,5,0,0,0
10048,Gladiator 48,20500,200,0,0,0,5,0,0,0
10049,Gladiator 49,21000,290,0,0,0,5,0,0,0
10050,Gladiator 50,21500,332,90,0,0,5,5,0,0
20001,Faustkämpfer 01,75,207,0,0,0,4,0,0,0
20002,Faustkämpfer 02,180,206,0,0,0,4,0,0,0
20003,Faustkämpfer 03,360,208,0,0,0,4,0,0,0
20004,Faustkämpfer 04,410,209,0,0,0,4,0,0,0
20005,Faustkämpfer 05,530,214,0,0,0,4,0,0,0
20006,Faustkämpfer 06,980,9,0,0,0,4,0,0,0
20007,Faustkämpfer 07,1100,217,0,0,0,4,0,0,0
20008,Faustkämpfer 08,1300,218,0,0,0,4,0,0,0
20009,Faustkämpfer 09,1600,219,0,0,0,4,0,0,0
20010,Faustkämpfer 10,1700,225,226,222,0,2,2,2,0
20011,Faustkämpfer 11,2300,228,0,0,0,4,0,0,0
20012,Faustkämpfer 12,3200,227,0,0,0,4,0,0,0
20013,Faustkämpfer 13,4000,233,0,0,0,4,0,0,0
20014,Faustkämpfer 14,4500,232,0,0,0,4,0,0,0
20015,Faustkämpfer 15,5000,115,234,235,0,2,2,2,0
20016,Faustkämpfer 16,5300,237,0,0,0,4,0,0,0
20017,Faustkämpfer 17,5500,241,0,0,0,4,0,0,0
20018,Faustkämpfer 18,5700,239,0,0,0,4,0,0,0
20019,Faustkämpfer 19,5900,238,0,0,0,4,0,0,0
20020,Faustkämpfer 20,6100,243,242,244,0,2,2,2,0
20021,Faustkämpfer 21,6300,134,0,0,0,5,0,0,0
20022,Faustkämpfer 22,6500,136,0,0,0,5,0,0,0
20023,Faustkämpfer 23,6700,33,0,0,0,5,0,0,0
20024,Faustkämpfer 24,6900,34,0,0,0,5,0,0,0
20025,Faustkämpfer 25,7100,139,149,258,0,3,3,3,0
20026,Faustkämpfer 26,7600,157,0,0,0,5,0,0,0
20027,Faustkämpfer 27,8600,260,0,0,0,5,0,0,0
20028,Faustkämpfer 28,9400,156,0,0,0,5,0,0,0
20029,Faustkämpfer 29,9700,160,0,0,0,5,0,0,0
20030,Faustkämpfer 30,10000,37,169,167,0,3,3,3,0
20031,Faustkämpfer 31,11000,41,0,0,0,5,0,0,0
20032,Faustkämpfer 32,12000,264,0,0,0,5,0,0,0
20033,Faustkämpfer 33,12500,269,0,0,0,5,0,0,0
20034,Faustkämpfer 34,13000,171,0,0,0,5,0,0,0
20035,Faustkämpfer 35,13500,51,56,58,0,3,3,3,0
20036,Faustkämpfer 36,14000,64,0,0,0,5,0,0,0
20037,Faustkämpfer 37,14500,296,0,0,0,5,0,0,0
20038,Faustkämpfer 38,15000,298,0,0,0,5,0,0,0
20039,Faustkämpfer 39,16000,300,0,0,0,5,0,0,0
20040,Faustkämpfer 40,16500,303,177,178,0,3,3,3,0
20041,Faustkämpfer 41,17000,275,0,0,0,6,0,0,0
20042,Faustkämpfer 42,17500,73,0,0,0,6,0,0,0
20043,Faustkämpfer 43,18000,189,0,0,0,2,0,0,0
20044,Faustkämpfer 44,18500,190,0,0,0,6,0,0,0
20045,Faustkämpfer 45,19000,334,309,317,0,3,3,3,0
20046,Faustkämpfer 46,19500,312,0,0,0,6,0,0,0
20047,Faustkämpfer 47,20000,321,0,0,0,6,0,0,0
20048,Faustkämpfer 48,20500,193,0,0,0,6,0,0,0
20049,Faustkämpfer 49,21000,326,0,0,0,6,0,0,0
20050,Faustkämpfer 50,21500,282,290,88,0,3,3,4,0
30001,Marodeur 01,75,1,0,0,0,3,0,0,0
30002,Marodeur 02,180,2,0,0,0,3,0,0,0
30003,Marodeur 03,360,3,0,0,0,3,0,0,0
30004,Marodeur 04,410,7,0,0,0,3,0,0,0
30005,Marodeur 05,530,6,0,0,0,3,0,0,0
30006,Marodeur 06,980,8,0,0,0,3,0,0,0
30007,Marodeur 07,1100,11,0,0,0,3,0,0,0
30008,Marodeur 08,1300,12,0,0,0,3,0,0,0
30009,Marodeur 09,1600,15,0,0,0,3,0,0,0
30010,Marodeur 10,1700,17,0,0,0,3,0,0,0
30011,Marodeur 11,2300,18,0,0,0,4,0,0,0
30012,Marodeur 12,3200,20,0,0,0,4,0,0,0
30013,Marodeur 13,4000,21,0,0,0,4,0,0,0
30014,Marodeur 14,4500,22,0,0,0,4,0,0,0
30015,Marodeur 15,5000,23,0,0,0,4,0,0,0
30016,Marodeur 16,5300,24,0,0,0,4,0,0,0
30017,Marodeur 17,5500,25,26,27,0,4,3,2,0
30018,Marodeur 18,5700,29,0,0,0,4,0,0,0
30019,Marodeur 19,5900,28,0,0,0,4,0,0,0
30020,Marodeur 20,6100,30,0,0,0,4,0,0,0
30021,Marodeur 21,6300,32,0,0,0,4,0,0,0
30022,Marodeur 22,6500,135,0,0,0,4,0,0,0
30023,Marodeur 23,6700,246,0,0,0,4,0,0,0
30024,Marodeur 24,6900,145,0,0,0,4,0,0,0
30025,Marodeur 25,7100,149,0,0,0,4,0,0,0
