#,Objective,Requirement,Image,Unknown0,Order
0,,,0,100,0
1,Silberfischer,Bedingung: 2.500 Punkte erreicht.,65901,110,4
2,Goldfischer,Bedingung: 5.000 Punkte erreicht.,65902,120,5
3,Seltener Fang,Bedingung: Einen ★★★★-Fisch gefangen.,65903,110,6
4,Legendärer Fang,Bedingung: Einen ★★★★★-Fisch gefangen.,65904,120,7
5,Blitzfischer,Bedingung: In der Phantomströmung 15 Fische gefangen.,65905,110,8
6,König der Fischer,Bedingung: In der Phantomströmung 35 Fische gefangen.,65906,120,9
7,Reicher Fang: Galadion-Bucht,Bedingung: In der Galadion-Bucht als Gruppe 10 Fischarten gefangen.,65907,110,10
8,Reicher Fang: Südliche Straße von Merlthor,Bedingung: In der südlichen Straße von Merlthor als Gruppe 10 Fischarten gefangen.,65908,110,13
9,Reicher Fang: Nördliche Straße von Merlthor,Bedingung: In der nördlichen Straße von Merlthor als Gruppe 10 Fischarten gefangen.,65909,110,19
10,Reicher Fang: Rhotano-See,Bedingung: In der Rhotano-See als Gruppe 10 Fischarten gefangen.,65910,110,22
11,Legendäre Fangmannschaft,Bedingung: Als Gruppe 4 ★★★★★-Fische gefangen.,65911,150,31
12,Llymlaen-Gesegneter,Bedingung: Phantomströmung selbst ausgelöst.,65912,110,32
13,Oktopussreiter,Bedingung: Als Gruppe 150 Oktopusse gefangen.,65913,120,33
14,Haijäger,Bedingung: Als Gruppe 200 Haie gefangen.,65914,130,34
15,Quallenfänger,Bedingung: Als Gruppe 150 Quallen gefangen.,65915,120,35
16,Seepferdchenbändiger,Bedingung: Als Gruppe 100 Seepferdchen gefangen.,65916,110,36
17,Hochseefischer-Anfänger,Bedingung: Eine Schiffsmission bei einer großen Fahrt abgeschlossen.,65923,105,1
18,Hochseefischer-Enthusiast,Bedingung: Zwei Schiffsmissionen bei einer großen Fahrt abgeschlossen.,65924,110,2
19,Hochseefischer-Fanatiker,Bedingung: Drei Schiffsmissionen bei einer großen Fahrt abgeschlossen.,65925,120,3
20,Ballonfänger,Bedingung: Als Gruppe 250 Kugelfische gefangen.,65917,130,37
21,Krabbenschiffsbesatzung,Bedingung: Als Gruppe 250 Krabben gefangen.,65918,130,38
22,Manta! Manta!,Bedingung: 25 Mantas gefangen.,65919,120,39
23,Reicher Fang: Galadion-Bucht,"Bedingung: In der Galadion-Bucht als Gruppe 9 Fischarten gefangen (erforderliche Anzahl hängt von Gruppengröße ab).
",65907,110,11
24,Reicher Fang: Galadion-Bucht,"Bedingung: In der Galadion-Bucht als Gruppe 8 Fischarten gefangen (erforderliche Anzahl hängt von Gruppengröße ab).
",65907,110,12
25,Reicher Fang: Südliche Straße von Merlthor,Bedingung: In der südlichen Straße von Merlthor als Gruppe 9 Fischarten gefangen (erforderliche Anzahl hängt von Gruppengröße ab).,65908,110,14
26,Reicher Fang: Südliche Straße von Merlthor,Bedingung: In der südlichen Straße von Merlthor als Gruppe 8 Fischarten gefangen (erforderliche Anzahl hängt von Gruppengröße ab).,65908,110,15
27,Reicher Fang: Nördliche Straße von Merlthor,Bedingung: In der nördlichen Straße von Merlthor als Gruppe 9 Fischarten gefangen (erforderliche Anzahl hängt von Gruppengröße ab).,65909,110,20
28,Reicher Fang: Nördliche Straße von Merlthor,Bedingung: In der nördlichen Straße von Merlthor als Gruppe 8 Fischarten gefangen (erforderliche Anzahl hängt von Gruppengröße ab).,65909,110,21
29,Reicher Fang: Rhotano-See,Bedingung: In der Rhotano-See als Gruppe 9 Fischarten gefangen (erforderliche Anzahl hängt von Gruppengröße ab).,65910,110,23
30,Reicher Fang: Rhotano-See,Bedingung: In der Rhotano-See als Gruppe 8 Fischarten gefangen (erforderliche Anzahl hängt von Gruppengröße ab).,65910,110,24
31,Reicher Fang: Cieldaläen,Bedingung: Auf den Cieldaläen als Gruppe 10 Fischarten gefangen.,65920,110,16
32,Reicher Fang: Cieldaläen,Bedingung: Auf den Cieldaläen als Gruppe 9 Fischarten gefangen (erforderliche Anzahl hängt von Gruppengröße ab).,65920,110,17
33,Reicher Fang: Cieldaläen,Bedingung: Auf den Cieldaläen als Gruppe 8 Fischarten gefangen (erforderliche Anzahl hängt von Gruppengröße ab).,65920,110,18
34,Reicher Fang: Schwerblütiges Meer,Bedingung: Im Schwerblütigen Meer als Gruppe 10 Fischarten gefangen.,65921,110,25
35,Reicher Fang: Schwerblütiges Meer,Bedingung: Im Schwerblütigen Meer als Gruppe 9 Fischarten gefangen (erforderliche Anzahl hängt von Gruppengröße ab).,65921,110,26
36,Reicher Fang: Schwerblütiges Meer,Bedingung: Im Schwerblütigen Meer als Gruppe 8 Fischarten gefangen (erforderliche Anzahl hängt von Gruppengröße ab).,65921,110,27
37,Reicher Fang: Rothlyt-Meerbusen,Bedingung: Im Rothlyt-Meerbusen als Gruppe 10 Fischarten gefangen.,65922,110,28
38,Reicher Fang: Rothlyt-Meerbusen,Bedingung: Im Rothlyt-Meerbusen als Gruppe 9 Fischarten gefangen (erforderliche Anzahl hängt von Gruppengröße ab).,65922,110,29
39,Reicher Fang: Rothlyt-Meerbusen,Bedingung: Im Rothlyt-Meerbusen als Gruppe 8 Fischarten gefangen (erforderliche Anzahl hängt von Gruppengröße ab).,65922,110,30
40,Muschelmeister,Bedingung: Als Gruppe mehr als 350 Schalentiere gefangen.,65930,130,52
41,Tintenfischfanatiker,Bedingung: Als Gruppe mehr als 400 Kopffüßer gefangen.,65931,130,53
42,Garnelengenießer,Bedingung: Als Gruppe mehr als 50 Garnelen gefangen.,65932,120,54
43,Reicher Fang: Sirenen-See,Bedingung: In der Sirenen-See als Gruppe 10 Fischarten gefangen.,65926,110,40
44,Reicher Fang: Sirenen-See,Bedingung: In der Sirenen-See als Gruppe 9 Fischarten gefangen (erforderliche Anzahl hängt von Gruppengröße ab).,65926,110,41
45,Reicher Fang: Sirenen-See,Bedingung: In der Sirenen-See als Gruppe 8 Fischarten gefangen (erforderliche Anzahl hängt von Gruppengröße ab).,65926,110,42
46,Reicher Fang: Kugane-Gewässer,Bedingung: In den Kugane-Gewässern als Gruppe 10 Fischarten gefangen.,65927,110,43
47,Reicher Fang: Kugane-Gewässer,Bedingung: In den Kugane-Gewässern als Gruppe 9 Fischarten gefangen (erforderliche Anzahl hängt von Gruppengröße ab).,65927,110,44
48,Reicher Fang: Kugane-Gewässer,Bedingung: In den Kugane-Gewässern als Gruppe 8 Fischarten gefangen (erforderliche Anzahl hängt von Gruppengröße ab).,65927,110,45
49,Reicher Fang: Rubinsee,Bedingung: In der Rubinsee als Gruppe 10 Fischarten gefangen.,65928,110,46
50,Reicher Fang: Rubinsee,Bedingung: In der Rubinsee als Gruppe 9 Fischarten gefangen (erforderliche Anzahl hängt von Gruppengröße ab).,65928,110,47
51,Reicher Fang: Rubinsee,Bedingung: In der Rubinsee als Gruppe 8 Fischarten gefangen (erforderliche Anzahl hängt von Gruppengröße ab).,65928,110,48
52,Reicher Fang: Einzig,Bedingung: Im Einzig als Gruppe 10 Fischarten gefangen.,65929,110,49
53,Reicher Fang: Einzig,Bedingung: Im Einzig als Gruppe 9 Fischarten gefangen (erforderliche Anzahl hängt von Gruppengröße ab).,65929,110,50
54,Reicher Fang: Einzig,Bedingung: Im Einzig als Gruppe 8 Fischarten gefangen (erforderliche Anzahl hängt von Gruppengröße ab).,65929,110,51
