#,Singular,Plural,Adjective,PossessivePronoun,StartsWithVowel,Unknown0,Pronoun,Article,Unknown1,Unknown2,Unknown3,ModelChara,EquipHead,EquipBody,EquipLeg,EquipFoot,MoveControl,RideBGM,Icon,UIPriority,MountAction,Unknown_70_1,Unknown_70_2,Unknown16,Unknown17,Order,FlyingCondition,Unknown5,Unknown6,Unknown7,IsFlying,Unknown8,MountCustomize,ExitMoveDist,ExitMoveSpeed,RadiusRate,BaseMotionSpeed_Run,BaseMotionSpeed_Walk,Unknown9,ExtraSeats,Unknown10,Unknown11,Unknown12,IsEmote,Unknown20,IsAirborne,ExHotbarEnableConfig,UseEP,Unknown13,IsImmobile,Unknown14,HideHeadgear,Unknown18,Unknown19
0,,,0,0,0,1,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,45,15,15,0,0,0,10,10,100,0,0,100,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
1,Gesellschafts-Chocobo,Gesellschafts-Chocobos,4,1,0,1,0,0,SE_Bt_Etc_ChocoboWhistle,SE_Bt_Etc_ChocoboWhistle_only,SE_Bt_Etc_ChocoboBye,1,65536,65536,65537,0,2,62,4001,100,0,10,21,41,40,0,2,45,15,15,1,0,1,20,20,100,0,0,55,0,0,0,False,True,True,False,False,False,False,False,False,False,False,False
2,,,0,0,0,1,0,0,,,SE_Bt_Etc_ChocoboBye,1,65537,65537,65537,65537,3,61,0,0,0,10,21,41,40,-1,0,45,15,15,0,0,1,20,20,100,0,0,55,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
3,,,0,0,0,1,0,0,,,SE_Bt_Etc_ChocoboBye,1,65552,65552,65537,0,3,61,0,0,0,10,21,41,40,-1,0,45,15,15,0,0,1,2,9,100,0,0,55,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
4,Goobbue,Goobbuen,3,1,0,1,1,0,SE_Bt_Etc_GuuBooWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_GuuBooBye,200,0,0,0,0,4,121,4003,1000,1,8,19,39,40,1,1,45,15,15,1,2,0,15,9,100,0,0,60,0,0,0,False,True,True,False,True,False,False,False,False,False,False,False
5,Legacy-Chocobo,Legacy-Chocobos,4,1,0,1,0,0,SE_Bt_Etc_ChocoboWhistle,SE_Bt_Etc_ChocoboWhistle_only,SE_Bt_Etc_ChocoboBye,1,65545,65545,65545,65545,2,62,4002,101,0,10,21,41,40,2,1,45,15,15,1,0,1,20,20,100,0,0,55,0,0,0,False,True,True,False,False,False,False,False,False,False,False,False
6,Magitek-Kampfmaschine,Magitek-Kampfmaschinen,3,1,0,1,1,0,SE_Bt_Etc_MadoWhistle,SE_Bt_Etc_MadoWhistle_only,SE_Bt_Etc_MadoBye,2,0,131073,0,0,2,262,4006,10000,2,30,23,41,40,3,1,45,0,15,1,2,0,0,10,77,0,0,70,0,0,0,False,True,True,False,True,False,False,False,False,False,False,False
7,,,0,0,0,1,0,0,,,,311,0,0,0,0,5,121,0,0,0,9,19,39,40,-1,0,45,15,15,0,0,2,0,0,100,0,0,100,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
8,Coeurl,Coeurl,4,1,0,1,0,0,SE_Bt_Etc_CuahrWhistle,SE_Bt_Etc_ChocoboWhistle_only,SE_Bt_Etc_CuahrBye,2047,0,0,0,0,2,121,4005,3200,0,10,21,41,42,4,1,45,70,70,1,2,3,20,10,60,0,0,60,0,0,0,False,True,True,False,False,False,False,False,False,False,False,False
9,Ahriman,Ahriman,4,1,0,1,0,0,SE_Bt_Etc_AhrimanWhistle,SE_Bt_Etc_ChocoboWhistle_only,SE_Bt_Etc_AhrimanBye,167,0,0,0,0,2,121,4004,5000,0,19,23,41,44,5,1,45,15,70,1,2,4,20,10,100,0,0,50,0,0,0,False,True,True,True,False,False,False,False,False,False,False,False
10,,,0,0,0,1,0,0,,,SE_Bt_Etc_ChocoboBye,1,65536,65536,65537,0,3,121,0,0,0,10,21,41,40,-1,0,45,15,15,0,0,1,20,20,100,0,0,55,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
11,,,0,0,0,1,0,0,,,SE_Bt_Etc_ChocoboBye,1,65538,65541,65537,65538,3,121,0,0,0,10,21,41,40,-1,0,45,15,15,0,0,1,20,20,100,0,0,55,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
12,,,0,0,0,1,0,0,,,SE_Bt_Etc_ChocoboBye,1,65538,131077,65537,65538,3,121,0,0,0,10,21,41,40,-1,0,45,15,15,0,0,1,20,20,100,0,0,55,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
13,,,0,0,0,1,0,0,,,SE_Bt_Etc_ChocoboBye,1,65538,196613,65537,65538,3,121,0,0,0,10,21,41,40,-1,0,45,15,15,0,0,1,20,20,100,0,0,55,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
14,,,0,0,0,1,0,0,SE_Bt_Etc_MadoWhistle,SE_Bt_Etc_MadoWhistle_only,SE_Bt_Etc_MadoBye,2,0,65537,0,0,2,121,0,0,0,30,23,41,40,-1,0,45,0,15,0,0,0,0,10,77,0,0,70,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
15,Einhorn,Einhörner,4,2,0,1,2,0,SE_Bt_Etc_UnicornWhistle,SE_Bt_Etc_ChocoboWhistle_only,SE_Bt_Etc_UnicornBye,2553,0,0,0,0,2,121,4007,3000,0,9,19,41,42,6,1,45,70,70,1,2,5,20,10,65,0,0,70,0,0,0,False,True,True,False,False,False,False,False,False,False,False,False
16,,,0,0,0,1,0,0,SE_Bt_Etc_MadoWhistle,SE_Bt_Etc_MadoWhistle_only,SE_Bt_Etc_MadoBye,2,0,196609,0,0,2,121,0,0,0,30,23,41,40,-1,0,45,0,15,0,0,0,0,10,77,0,0,70,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
17,,,0,0,0,1,0,0,SE_Bt_Etc_MadoWhistle,SE_Bt_Etc_MadoWhistle_only,SE_Bt_Etc_MadoBye,2,0,131073,0,0,2,121,0,0,3,30,23,41,40,-1,0,45,0,15,0,0,0,0,10,77,0,0,70,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
18,Behemoth,Behemoth,3,1,0,1,0,0,SE_Bt_Etc_BehemothWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_BehemothBye,588,0,0,0,0,2,121,4008,3210,0,31,19,37,37,7,1,45,85,85,1,2,6,20,10,55,0,0,70,0,0,0,False,True,True,False,False,False,False,False,False,False,False,False
19,Reit-Drakon,Reit-Drakons,4,1,0,1,0,0,SE_Bt_Etc_TokageWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_TokageBye,592,0,0,0,0,2,121,4009,3220,4,32,21,43,42,8,1,45,85,85,1,2,7,20,10,100,0,0,70,0,0,0,False,True,True,False,True,False,False,False,False,False,False,False
20,Lorbeer-Goobbue,Lorbeer-Goobbuen,3,1,0,1,1,0,SE_Bt_Etc_GuuBooWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_GuuBooBye,593,0,0,0,0,4,121,4010,1001,5,8,19,39,40,9,1,45,15,15,1,2,0,15,9,100,0,0,60,0,0,0,False,True,True,False,True,False,False,False,False,False,False,False
21,Typ C-Magitek-Kampfmaschine,Typ C-Magitek-Kampfmaschinen,3,1,0,1,1,0,SE_Bt_Etc_MadoWhistle,SE_Bt_Etc_MadoWhistle_only,SE_Bt_Etc_MadoBye,2,0,262145,0,0,2,262,4011,10001,2,30,23,41,40,10,1,45,0,15,1,2,0,0,10,77,0,0,70,0,0,0,False,True,True,False,True,False,False,False,False,False,False,False
