#,Name,Description,Icon
0,Kein Extra,"Du hast kein Extra. Berühre eine Schatztruhe, um eins aufzunehmen.",70101
1,Chocobo-Trank,Du erhältst bis zu 10 % deiner Puste zurück.,70102
2,Halt-die-Luft-an,"Für 10 Sekunden verbraucht dein Chocobo keine Puste. Ist sie bereits 0, wird eine geringe Menge regeneriert.",70104
3,Schwing-die-Hufe,"Dein Chocobo legt einen kurzen, aber schnellen Sprint ein.",70105
4,Chocobo-Äther,Eine bereits eingesetzte Fähigkeit kann noch einmal benutzt werden.,70108
5,Bacchus-Wasser,Belegt den Chocobo vor dir mit dem Statuseffekt „Raserei“.,70107
6,Fußfessel,Belegt den Chocobo vor dir mit dem Statuseffekt „Gewicht“.,70109
7,Dornengestrüpp,"Erzeugt um dich herum ein Dornengestrüpp, das Gegnern die Puste nimmt.",70103
8,Regenbogensaft,Für 15 Sekunden verbessern sich alle Attribute deines Chocobos. Außerdem werden negative Statuseffekte entfernt.,70106
9,Chocobo-Meteor,Lässt auf den Chocobo vor dir einen Chocobo-Meteor niedergehen.,70110
10,Puste-Tausch,"Tauscht deine Puste mit einem Chocobo vor dir, der mehr Puste als du hat.",70111
11,Spinnennetz,Hindert den hinter dir laufenden Chocobo am Benutzen von Extras.,70112
