#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4
0,,0,0,0,False
1,Allagische Steine: Tradition → Poesie,5,1,50,False
2,Allagische Steine: Theologie → Poesie,4,1,50,False
3,Allagische Steine: Wahrheit → Schöpfung,4,2,25,False
4,Allagische Steine: Schöpfung → Verlogenheit,4,2,25,False
5,Allagische Steine: Verlogenheit → Poesie,5,1,50,False
6,Allagische Steine: Ursprung → Poesie,4,1,50,False
7,Allagische Steine: Goëtie → Phantasmagorie,4,2,25,False
8,Allagische Steine: Phantasmagorie → Fantastik,4,2,25,False
9,Allagische Steine: Fantastik → Poesie,5,1,50,False
10,Allagische Steine: Offenbarung → Poesie,4,1,50,False
11,Allagische Steine: Aphorismus → Astronomie,4,2,25,False
12,Allagische Steine: Astronomie → Kausalität,4,2,25,False
13,Allagische Steine: Kausalität → Poesie,5,1,50,False
14,Allagische Steine: Komödie → Poesie,4,1,50,False
15,Allagische Steine: Ästhetik → Heliometrie,4,2,25,False
16,Allagische Steine: Heliometrie → Mathematik,4,2,25,True
