#,Text,Unknown_70_1,Unknown_70_2,Unknown_70_3,AchievementCredit,Item,GatheringItemLevel,Unknown1,FishingSpot,GatheringSubCategory,OceanStars,FishingRecordType,IsHidden,IsInLog
0,,,,,0,0,0,0,0,0,0,0,False,True
1,Mündlichen Über­lie­fe­run­gen zufolge können diese schleimigen Algen auf hoher See angeblich bis zu einem Malm lang werden.,,,,0,4776,4,2000,36,0,0,0,False,True
2,"Diesen braunen Krustentieren wird nachgesagt, dass sie so leicht zu fangen sind, dass man nicht einmal einen Köder braucht. Sie schnappen nach allem, was ihnen vor die Scheren kommt.",,,,0,4925,2,2000,2,0,0,2,False,True
3,"Kopf, Bauch und Schwanzflosse dieses Fisches nehmen während der Brutzeit hell leuchtende Farben an. Er ist daher vor allem als Zierfisch überaus beliebt.",,,,0,4926,3,2000,39,0,0,2,False,True
4,"Dieser Fisch ist wesentlicher Bestandteil des Speiseplans vieler Raubfische, die in der Nahrungskette über ihm angesiedelt sind. Besonders Hochseeangler kennen sich daher sehr gut mit seinen Eigenheiten aus.",,,,0,4869,3,2000,36,0,0,0,False,True
5,"Seitdem ein Qiqirn auf dem Deck eines Schiffes ein verwestes Exemplar dieses kleinen Salz­was­ser­fisches gefunden und für exquisit befunden hat, steigt dessen Nachfrage unaufhörlich. Mittlerweile aber eher die in Salz eingelegte Variante.",,,,0,4870,3,2000,36,0,0,0,False,True
6,"Wenn man einem Volksmärchen aus Coerthas Glauben schenken mag, war dieser Süßwasserfisch früher ein wahrer Sonnenanbeter, wurde aber aufgrund seiner Arroganz von den Göttern zu einem Leben nahe dem dunklen Seeboden verbannt, wo er seither sein Dasein fristet.",,,,0,4927,4,2000,2,0,0,2,False,True
7,"Dieser Katfisch reibt seine Rückenflosse an seinen Gräten, wenn er von einem Angler gefangen wird, was einen leisen aber distinktiven Ton verursacht, der sich wie ein Klagegeräusch anhört. Er löst damit bei so manchem Angler ein starkes Gefühl des Mitleids aus. ",,,,0,4928,4,2000,41,0,0,2,False,True
8,Diesen kleinen Krebs findet man sehr oft als Zutat in Eintöpfen oder als Köder an Angelhaken vor.,,,,0,4871,4,2000,36,0,0,0,False,True
9,"Diese weißen Krustentiere leben für gewöhnlich dort, wo sie nicht der Sonne ausgesetzt sind. Speziell nach der Häutung sind ihre Körper sogar fast durchsichtig. ",,,,0,4929,5,2000,72,0,0,2,False,True
10,"Obwohl diese weiße Koralle oft aussieht wie ein Teil des Riffgesteins, ist sie doch eindeutig ein lebender Organismus. Aufgrund ihres entzückenden, weißen Glanzes wird sie oft als Juwel der See bezeichnet.",,,,0,5460,5,2000,59,0,0,0,False,True
11,"Diese Süßwasserforelle ist ein perfekter Einstieg in die Welt des Forellenfischens. Das heißt aber noch lange nicht, dass erfahrene Angler sie nicht genauso zu schätzen wissen.",,,,0,4930,5,2000,39,0,0,2,False,True
12,Laut Naturforschern aus Sharlayan durchlebt diese Qualle neun verschiedene Entwicklungsstadien.,,,,0,4872,6,2000,37,0,0,0,False,True
