#,Name,BasePlate,Backing,PatternOverlay,PortraitFrame,PlateFrame,Accent,SortKey,TopBorder,BottomBorder
0,Benutzerdefiniert,0,0,0,0,0,0,0,0,0
1,Einfach,2,11,1,0,0,0,1,1,0
2,Modern,3,11,2,0,0,0,2,3,3
3,Stilvoll,9,18,0,0,0,0,3,8,8
4,Popart,4,13,3,0,0,0,4,3,3
5,Verteidiger,5,11,10,24,0,0,5,0,1
6,Angreifer,6,11,10,25,0,0,7,0,1
7,Heiler,7,11,10,26,0,0,6,0,1
8,Limsa Lominsa,6,20,4,28,35,42,8,5,5
9,Gridania,10,20,4,28,36,42,9,7,7
10,Ul'dah,9,20,4,28,37,42,10,4,4
11,Entdecker,8,19,9,28,38,49,11,9,9
12,Abenteurer,8,14,9,30,38,44,12,10,10
13,Schatten von Bahamut (fatal),54,160,0,161,162,163,2500,11,0
14,Heldenlied von Ultima (fatal),55,164,0,165,166,167,2501,12,0
15,Alexander (fatal),56,168,0,169,170,171,2502,13,0
16,Drachenkrieg (fatal),57,172,0,173,174,175,2503,14,0
17,Unstetes Gewölbe: Die Unterstadt von Sil'dih,3,0,176,177,0,0,2402,0,0
18,Aufträge der Omikron,58,0,0,0,0,179,2315,15,15
19,Geometrisch: Kreise,60,0,0,0,191,0,13,0,0
20,Café,59,0,180,0,0,194,14,0,0
21,Musik,61,0,0,0,0,196,15,16,16
22,Aufträge der Pixies,63,0,0,0,0,257,2311,21,21
23,Aufträge der Qitari,64,0,0,0,0,258,2312,22,22
24,Aufträge der Zwerge,65,0,0,0,0,259,2313,23,23
25,Aufträge der Arkasodara,66,0,0,0,0,260,2314,24,24
26,Aufträge der Loporrit,67,0,0,0,0,261,2316,25,25
27,Omega (fatal),68,262,0,263,264,265,2504,26,0
28,Tiefes Gewölbe: Eureka Orthos 1,69,0,0,296,0,0,2358,0,0
29,Tiefes Gewölbe: Eureka Orthos 2,70,0,0,297,0,0,2359,0,0
30,Die vier Tierheiligen,71,0,0,0,298,0,2251,0,0
31,Inselparadies 1,72,0,0,0,299,301,2340,0,0
32,Inselparadies 2,73,0,0,0,300,302,2341,0,0
33,Aufträge der Kojin,74,0,0,0,0,333,2308,27,27
34,Aufträge der Ananta,75,0,0,0,0,334,2309,28,28
35,Aufträge der Namazuo,76,0,0,0,0,335,2310,29,29
36,Das Ende einer Ära,77,354,0,336,337,338,2250,0,0
37,10. Jubiläum,78,0,0,0,339,340,3950,30,0
38,Unstetes Gewölbe: Der Rokkon,3,0,341,342,0,0,2403,0,0
39,Fischer auf großer Fahrt,79,343,0,344,345,346,2346,31,0
40,Kapitalbeschaffung,80,347,0,348,349,350,2347,32,0
41,Mahjong-Profi,81,351,0,0,352,353,2350,33,33
42,Aufträge der Vanu Vanu,82,0,0,0,0,388,2305,34,34
43,Aufträge der Gnath,83,0,0,0,0,389,2306,35,35
44,Aufträge der Mogrys,84,0,0,0,0,390,2307,36,36
45,Mythen Eorzeas: Halone,85,0,0,391,392,393,2252,37,0
46,Mythen Eorzeas: Menphina,86,0,0,391,392,393,2253,37,0
47,Mythen Eorzeas: Thaliak,87,0,0,391,392,393,2254,37,0
48,Mythen Eorzeas: Nymeia,88,0,0,391,392,393,2255,37,0
49,Mythen Eorzeas: Llymlaen,89,0,0,391,392,393,2256,37,0
50,Mythen Eorzeas: Oschon,90,0,0,391,392,393,2257,37,0
51,Mythen Eorzeas: Byregot,91,0,0,391,392,393,2258,37,0
52,Mythen Eorzeas: Rhalgr,92,0,0,391,392,393,2259,37,0
53,Mythen Eorzeas: Azeyma,93,0,0,391,392,393,2260,37,0
54,Mythen Eorzeas: Nald'thal,94,0,0,391,392,393,2261,37,0
