#,Materia[0],Materia[1],Materia[2],Materia[3],UpgradeItem,Image,UpgradeCost,Unknown7,MateriaBigValueIndex[0],MateriaBigValueIndex[1],MateriaBigValueIndex[2],MateriaBigValueIndex[3],MateriaSmallValueIndex[0],MateriaSmallValueIndex[1],MateriaSmallValueIndex[2],MateriaSmallValueIndex[3]
39920,1403,1405,1406,1408,40322,80851,1,1,5,5,5,5,1,1,1,1
39921,1404,1403,1405,1406,40322,80852,1,1,7,7,7,7,2,2,2,2
39922,1403,1405,1406,1408,40322,80853,1,1,7,7,7,7,2,2,2,2
39923,1404,1403,1405,1406,40322,80854,1,1,7,7,7,7,2,2,2,2
39924,1404,1403,1405,1406,40322,80855,1,1,7,7,7,7,2,2,2,2
39925,1404,1403,1405,1406,40322,80860,1,1,7,7,7,7,2,2,2,2
39926,1403,1405,1406,1408,40322,80862,1,1,7,7,7,7,2,2,2,2
39927,1404,1403,1405,1406,40322,80861,1,1,7,7,7,7,2,2,2,2
39928,1403,1405,1407,1409,40322,80856,1,1,7,7,7,7,2,2,2,2
39929,1404,1403,1405,1407,40322,80857,1,1,7,7,7,7,2,2,2,2
39930,1404,1403,1405,1407,40322,80858,1,1,7,7,7,7,2,2,2,2
39931,1403,1405,1407,1409,40322,80859,1,1,7,7,7,7,2,2,2,2
39932,1403,1405,1407,1409,40322,80863,1,1,7,7,7,7,2,2,2,2
39933,1404,1403,1405,1406,40322,80864,1,1,7,7,7,7,2,2,2,2
39934,1404,1403,1405,1407,40322,80865,1,1,7,7,7,7,2,2,2,2
39935,1403,1405,1406,1408,40322,80866,1,1,7,7,7,7,2,2,2,2
39936,1404,1403,1405,1406,40322,80867,1,1,7,7,7,7,2,2,2,2
39937,1403,1405,1407,1409,40322,80868,1,1,7,7,7,7,2,2,2,2
39938,1404,1403,1405,1406,40322,80869,1,1,7,7,7,7,2,2,2,2
39939,1403,1405,1406,1408,0,0,0,1,3,3,3,3,0,0,0,0
40932,1403,1405,1406,1408,41032,80871,1,2,6,6,6,6,1,1,1,1
40933,1404,1403,1405,1406,41032,80872,1,2,8,8,8,8,2,2,2,2
40934,1403,1405,1406,1408,41032,80873,1,2,8,8,8,8,2,2,2,2
40935,1404,1403,1405,1406,41032,80874,1,2,8,8,8,8,2,2,2,2
40936,1404,1403,1405,1406,41032,80875,1,2,8,8,8,8,2,2,2,2
40937,1404,1403,1405,1406,41032,80880,1,2,8,8,8,8,2,2,2,2
40938,1403,1405,1406,1408,41032,80882,1,2,8,8,8,8,2,2,2,2
40939,1404,1403,1405,1406,41032,80881,1,2,8,8,8,8,2,2,2,2
40940,1403,1405,1407,1409,41032,80876,1,2,8,8,8,8,2,2,2,2
40941,1404,1403,1405,1407,41032,80877,1,2,8,8,8,8,2,2,2,2
40942,1404,1403,1405,1407,41032,80878,1,2,8,8,8,8,2,2,2,2
40943,1403,1405,1407,1409,41032,80879,1,2,8,8,8,8,2,2,2,2
40944,1403,1405,1407,1409,41032,80883,1,2,8,8,8,8,2,2,2,2
40945,1404,1403,1405,1406,41032,80884,1,2,8,8,8,8,2,2,2,2
40946,1404,1403,1405,1407,41032,80885,1,2,8,8,8,8,2,2,2,2
40947,1403,1405,1406,1408,41032,80886,1,2,8,8,8,8,2,2,2,2
40948,1404,1403,1405,1406,41032,80887,1,2,8,8,8,8,2,2,2,2
40949,1403,1405,1407,1409,41032,80888,1,2,8,8,8,8,2,2,2,2
40950,1404,1403,1405,1406,41032,80889,1,2,8,8,8,8,2,2,2,2
40951,1403,1405,1406,1408,41032,0,0,2,4,4,4,4,0,0,0,0
