#,PlaceName,TargetLocations[0],TargetLocations[1],TargetLocations[2],TargetLocations[3],TargetLocations[4],TargetLocations[5],TargetLocations[6],TargetLocations[7]
1179648,Reginald Eventman I,1,0,0,0,0,0,0,0
1179649,Reginald Eventman II,0,0,0,0,0,0,0,0
1179650,Gridania,16,2,4,18,8,12,0,0
1179651,Jagdhütte der Hawthornes,6,0,0,0,0,0,0,0
1179652,Buscarrons Horst,21,24,0,0,0,0,0,0
1179653,Mühlenbruch,10,25,23,0,0,0,0,0
1179654,Camp Seelenruhe,14,20,22,108,0,0,0,0
1179655,Mühlenhain,17,27,0,0,0,0,0,0
1179656,Herbstkürbis-See,19,26,94,0,0,0,0,0
1179657,Gut Zwieselgrund,3,0,0,0,0,0,0,0
1179658,Ul'dah,42,32,44,30,48,52,38,28
1179659,Horizont,33,36,34,0,0,0,0,0
1179660,Bucht des Abendsterns,31,37,0,0,0,0,0,0
1179661,Silberbasar,29,35,0,0,0,0,0,0
1179662,Kohlenstaub-Bahnhof,43,0,0,0,0,0,0,0
1179663,Camp Knochenbleich,46,56,110,0,0,0,0,0
1179664,Klein-Ala Mhigo,50,58,0,0,0,0,0,0
1179665,Vergessene Oase,54,59,0,0,0,0,0,0
1179666,Camp Blauer Dunst,40,60,0,0,0,0,0,0
1179667,Goldbasar,57,0,0,0,0,0,0,0
1179668,Erdseim-Fabrik,61,0,0,0,0,0,0,0
1179669,Limsa Lominsa,62,88,64,86,68,72,76,82
1179670,Sommerfurt-Höfe,63,0,0,0,0,0,0,0
1179671,Tölpelturm-Siedlung,66,93,0,0,0,0,0,0
1179672,Bierhafen,70,92,0,0,0,0,0,0
1179673,Weinhafen,74,0,0,0,0,0,0,0
1179674,Camp Bronzesee,79,0,0,0,0,0,0,0
1179675,Moraby-Trockendocks,87,90,0,0,0,0,0,0
1179676,Gockelburg,89,91,0,0,0,0,0,0
1179677,Sonnenküste,84,0,0,0,0,0,0,0
1179678,（空き）,0,0,0,0,0,0,0,0
1179679,Observatorium,98,0,0,0,0,0,0,0
1179680,Camp Drachenkopf,99,101,102,96,0,0,0,0
1179681,Weißenfels,100,0,0,0,0,0,0,0
1179682,Geisterzoll,104,106,0,0,0,0,0,0
1179683,Sankt Coinach-Forschungslager,107,0,0,0,0,0,0,0
1179684,Fundamente,140,0,0,0,0,0,0,0
1179685,Falkenhorst,141,112,114,0,0,0,0,0
1179686,Urteilsfels,113,118,0,0,0,0,0,0
1179687,Fiederhag,116,120,122,124,0,0,0,0
1179688,Trinär-Annex,123,128,0,0,0,0,0,0
1179689,Großwest Kurzrast,126,130,0,0,0,0,0,0
1179690,Moglingen,132,134,0,0,0,0,0,0
1179691,Asha-Wolkenweg,135,136,0,0,0,0,0,0
1179692,Kreidetempel,137,133,0,0,0,0,0,0
1179693,Ok' Zundo,138,0,0,0,0,0,0,0
1179694,Camp Wolkenwipfel,139,0,0,0,0,0,0,0
1179695,Rhalgrs Wacht,145,148,151,152,0,0,0,0
1179696,Castrum Oriens,146,155,0,0,0,0,0,0
1179697,Die Spähenden Steine,149,156,157,0,0,0,0,0
1179698,Ala Gannha,143,161,163,0,0,0,0,0
1179699,Ala Ghiri,153,159,162,166,0,0,0,0
1179700,Porta Praetoria,165,168,169,0,0,0,0,0
1179701,Mhigisches Wohnviertel,170,0,0,0,0,0,0,0
1179702,Kugane,171,174,0,0,0,0,0,0
1179703,Onokoro,172,177,179,195,0,0,0,0
1179704,Tamamizu,175,178,183,0,0,0,0,0
1179705,Namai,181,185,187,0,0,0,0,0
1179706,Klause der Grimmigen,188,189,201,0,0,0,0,0
1179707,Reunion,191,193,197,206,0,0,0,0
1179708,Mol Iloh,198,203,0,0,0,0,0,0
1179709,Morgenthron,199,205,204,0,0,0,0,0
1179710,Tomra,207,212,213,0,0,0,0,0
1179711,Werfting,208,209,216,0,0,0,0,0
1179712,Stillwasser,210,211,219,0,0,0,0,0
1179713,Eulmore,215,218,221,0,0,0,0,0
1179714,Pla Enni,222,224,0,0,0,0,0,0
1179715,Wolekdorf,223,227,0,0,0,0,0,0
1179716,Lydha Lran,225,226,236,251,0,0,0,0
1179717,Fanow,229,0,0,0,0,0,0,0
1179718,Schlangenzweig,228,240,255,0,0,0,0,0
1179719,Pfotenschlag,230,247,262,267,0,0,0,0
1179720,Mordh Souq,231,265,0,0,0,0,0,0
1179721,Crystarium,244,259,0,0,0,0,0,0
1179722,Ostalls Befehl,233,249,253,257,260,0,0,0
1179723,Jobb-Feste,232,234,238,242,245,0,0,0
1179724,Ruhstatt vor der Langen Reise,264,266,0,0,0,0,0,0
1179725,Radz-at-Han,288,291,294,0,0,0,0,0
1179726,Yedlihmad,280,283,286,0,0,0,0,0
1179727,Daemirs Werk,281,285,289,0,0,0,0,0
1179728,Palakas Ruh,282,284,292,0,0,0,0,0
1179729,Camp Splitterglas,295,0,0,0,0,0,0,0
1179730,Tertium,296,0,0,0,0,0,0,0
1179731,Halle der Kunstfertigkeit,305,308,311,0,0,0,0,0
1179732,Archeion,297,301,303,0,0,0,0,0
1179733,Klein-Sharlayan,298,299,306,0,0,0,0,0
1179734,Aporia,302,300,309,0,0,0,0,0
1179735,Tuliyollal,312,315,0,0,0,0,0,0
1179736,Wachunpelo,313,318,0,0,0,0,0,0
1179737,Worlars Echo,319,0,0,0,0,0,0,0
1179738,Ok'hanu,316,320,322,0,0,0,0,0
1179739,Viele Flammen,321,324,0,0,0,0,0,0
1179740,Irdehalde,323,325,0,0,0,0,0,0
