#,Name,SeparateType,DataType,JournalSection,MapCondition
0,Ungültige Kategorie,0,0,255,0
1,A Realm Reborn,1,1,0,0
2,7. Ära des Lichts,1,1,0,0
3,Heavensward,1,1,0,0
4,Drachenkrieg - Epilog,1,1,0,0
5,Nach dem Drachenkrieg,1,1,0,0
6,Stormblood,1,1,0,0
7,Nach dem Befreiungskampf,1,1,0,0
8,Shadowbringers,1,1,0,0
9,Die Heimreise der Exegeten,1,1,0,0
10,Geflüster des Untergangs,1,1,0,0
11,Endwalker,1,1,0,0
12,Neu entdecktes Abenteuer,1,1,0,0
13,Dawntrail,1,1,1,0
14,Dawntrail - Epilog,1,1,1,0
15,Ränke der Winterer,1,1,1,0
16,Primae (A Realm Reborn),1,1,2,0
17,Bahamut,1,1,2,0
18,Kristallturm,1,1,2,0
19,Alexander,1,1,2,0
20,Primae (Heavensward),1,1,2,0
21,Schatten von Mhach,1,1,2,0
22,Omega,2,1,2,0
23,Rückkehr nach Ivalice,1,1,2,0
24,Der Mythos der vier Tierheiligen,1,1,2,0
25,Eden,1,1,2,0
26,YoRHa: Dark Apocalypse,1,1,2,0
27,Schlacht um Werlyt,1,1,2,0
28,Pandæmonium,2,1,2,0
29,Mythen Eorzeas,1,1,2,0
30,Arkadion,1,1,2,0
31,Echos aus Vana'diel,1,1,2,0
32,Aufträge der Yok Huy,2,1,5,0
33,Aufträge der Mamool Ja,2,1,5,0
34,Aufträge der Pelupelu,2,1,5,0
35,Zusatzaufträge der Freundesvölker,2,1,5,0
36,Aufträge der Amalj'aa,2,1,4,0
37,Aufträge der Sylphen,2,1,4,0
38,Aufträge der Kobolde,2,1,4,0
39,Aufträge der Sahagin,2,1,4,0
40,Aufträge der Ixal,2,1,4,0
41,Aufträge der Vanu Vanu,2,1,4,0
42,Aufträge der Gnath,2,1,4,0
43,Aufträge der Mogrys,2,1,4,0
44,Aufträge der Kojin,2,1,4,0
45,Aufträge der Ananta,2,1,4,0
46,Aufträge der Namazuo,2,1,4,0
47,Aufträge der Pixies,2,1,4,0
48,Aufträge der Qitari,2,1,4,0
49,Aufträge der Zwerge,2,1,4,0
50,Aufträge der Arkasodara,2,1,4,0
51,Aufträge der Omikron,2,1,4,0
52,Aufträge der Loporrit,2,1,4,0
53,Zusatzaufträge der Freundesvölker,2,1,4,0
54,Hauptszenario (Epilog),2,1,3,0
55,Hildibrands Fälle,2,1,3,0
56,Waffenverstärkung,2,1,3,0
57,Sonderinhalte,2,1,3,0
58,Szenario-Nebenaufträge,2,1,3,0
59,Aufträge La Noscea,3,1,3,0
60,Aufträge Finsterwald,3,1,3,0
61,Aufträge Thanalan,3,1,3,0
62,Aufträge Coerthas,3,1,3,0
63,Aufträge Mor Dhona,3,1,3,0
64,Aufträge Ishgard,3,1,3,0
65,Aufträge Abalathia,3,1,3,0
66,Aufträge Dravania,3,1,3,0
67,Aufträge Azys Lla,3,1,3,0
68,Aufträge Gyr Abania,3,1,3,0
69,Aufträge Othard,3,1,3,0
70,Aufträge Hingashi,3,1,3,0
71,Aufträge Seenland,3,1,3,0
