#,Key,WeaponTimeline,KillUpper,Unknown_70,Type,Priority,Stance,Slot,LookAtMode,ActionTimelineIDMode,LoadType,StartAttach,ResidentPap,Unknown6,Unknown1,Pause,Resident,IsMotionCanceledByMoving,Unknown2,Unknown3,IsLoop,Unknown4
0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,True,False
1,battle/battle_start,0,0,0,1,0,1,0,0,0,2,2,2,0,0,False,False,False,True,False,True,False
2,battle/battle_end,0,0,0,1,0,1,0,0,0,1,2,2,0,0,False,False,False,True,False,True,False
3,normal/idle,2,55,0,0,0,0,0,0,0,2,2,0,0,0,True,False,False,True,False,True,False
4,normal/idle_inactive1,2,0,0,1,0,0,0,0,0,2,2,0,0,0,False,False,False,True,False,True,False
5,normal/idle_inactive2,2,0,0,1,0,0,0,0,0,2,2,0,0,0,False,False,False,True,False,True,False
6,normal/idle_inactive3,2,0,0,1,0,0,0,0,0,2,2,0,0,0,False,False,False,True,False,True,False
7,normal/turn_loop_l,2,0,0,0,0,0,0,0,0,2,2,0,0,0,True,False,False,True,False,True,False
8,normal/turn_loop_r,2,0,0,0,0,0,0,0,0,2,2,0,0,0,True,False,False,True,False,True,False
9,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False
10,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False
11,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False
12,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False
13,normal/walk,2,0,0,0,0,0,0,0,0,2,2,0,0,0,True,False,False,True,False,True,False
14,normal/walk_l,2,0,0,0,0,0,0,0,0,2,2,0,0,0,True,False,False,True,False,True,False
15,normal/walk_r,2,0,0,0,0,0,0,0,0,2,2,0,0,0,True,False,False,True,False,True,False
16,normal/walk_b,2,0,0,0,0,0,0,0,0,2,2,0,0,0,True,False,False,True,False,True,False
17,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False
18,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False
19,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False
20,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False
21,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False
22,normal/run,2,0,0,0,0,0,0,0,0,2,2,0,0,0,True,False,False,True,False,True,False
23,normal/run_l,2,0,0,0,0,0,0,0,0,2,2,0,0,0,True,False,False,True,False,True,False
24,normal/run_r,2,0,0,0,0,0,0,0,0,2,2,0,0,0,True,False,False,True,False,True,False
25,normal/run_start,2,0,0,1,0,0,0,0,0,2,2,0,0,0,False,False,False,True,False,True,False
26,normal/run_start_br,2,0,0,1,0,0,0,0,0,2,2,0,0,0,False,False,False,True,False,True,False
27,normal/run_start_bl,2,0,0,1,0,0,0,0,0,2,2,0,0,0,False,False,False,True,False,True,False
28,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False
29,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False
30,normal/sprint,2,0,0,0,0,0,0,0,0,2,2,0,0,0,True,False,False,True,False,True,False
31,normal/jump_start,2,0,0,1,0,0,0,0,0,2,2,0,0,0,False,False,False,True,False,True,False
32,normal/jump_falling,2,0,0,0,0,0,0,0,0,2,2,0,0,0,False,False,False,True,False,True,False
33,normal/jump_landing,2,0,0,1,0,0,0,0,0,2,2,0,0,0,False,False,False,True,False,True,False
34,battle/idle,1,0,0,0,0,0,2,0,0,1,2,0,0,0,True,False,False,True,False,True,False
35,battle/turn_loop_l,1,0,0,0,0,0,0,0,0,1,2,0,0,0,True,False,False,True,False,True,False
36,battle/turn_loop_r,1,0,0,0,0,0,0,0,0,1,2,0,0,0,True,False,False,True,False,True,False
37,event_base/event_base_knee_suffering,2,0,0,3,0,0,1,1,1,2,0,0,0,0,True,True,False,True,False,True,False
38,mount/mount_dead,2,0,0,7,0,0,1,0,0,2,1,0,0,0,False,False,False,True,False,True,False
39,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False
40,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False
41,battle/walk,1,0,0,0,0,0,0,0,0,1,2,0,0,0,True,False,False,True,False,True,False
42,battle/walk_l,1,0,0,0,0,0,0,0,0,1,2,0,0,0,True,False,False,True,False,True,False
43,battle/walk_r,1,0,0,0,0,0,0,0,0,1,2,0,0,0,True,False,False,True,False,True,False
44,battle/walk_b,1,0,0,0,0,0,0,0,0,1,2,0,0,0,True,False,False,True,False,True,False
45,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False
46,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False
47,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False
48,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False
