#,SnipeData[0].DataEventNPC,SnipeData[0].Unknown0,SnipeData[0].Unknown1,SnipeData[0].Unknown2,SnipeData[0].Unknown3,SnipeData[0].Unknown4,SnipeData[0].Unknown5,SnipeData[1].DataEventNPC,SnipeData[1].Unknown0,SnipeData[1].Unknown1,SnipeData[1].Unknown2,SnipeData[1].Unknown3,SnipeData[1].Unknown4,SnipeData[1].Unknown5,SnipeData[2].DataEventNPC,SnipeData[2].Unknown0,SnipeData[2].Unknown1,SnipeData[2].Unknown2,SnipeData[2].Unknown3,SnipeData[2].Unknown4,SnipeData[2].Unknown5,SnipeData[3].DataEventNPC,SnipeData[3].Unknown0,SnipeData[3].Unknown1,SnipeData[3].Unknown2,SnipeData[3].Unknown3,SnipeData[3].Unknown4,SnipeData[3].Unknown5,SnipeData[4].DataEventNPC,SnipeData[4].Unknown0,SnipeData[4].Unknown1,SnipeData[4].Unknown2,SnipeData[4].Unknown3,SnipeData[4].Unknown4,SnipeData[4].Unknown5,SnipeData[5].DataEventNPC,SnipeData[5].Unknown0,SnipeData[5].Unknown1,SnipeData[5].Unknown2,SnipeData[5].Unknown3,SnipeData[5].Unknown4,SnipeData[5].Unknown5,SnipeData[6].DataEventNPC,SnipeData[6].Unknown0,SnipeData[6].Unknown1,SnipeData[6].Unknown2,SnipeData[6].Unknown3,SnipeData[6].Unknown4,SnipeData[6].Unknown5,SnipeData[7].DataEventNPC,SnipeData[7].Unknown0,SnipeData[7].Unknown1,SnipeData[7].Unknown2,SnipeData[7].Unknown3,SnipeData[7].Unknown4,SnipeData[7].Unknown5,EventNPC[0],EventNPC[1],EventNPC[2],EventNPC[3],EventNPC[4],EventNPC[5],EventNPC[6],EventNPC[7],Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Objective0,Hint0,Objective1,Hint1,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16,Unknown17,Unknown18,ActionText,Unknown19,Unknown20,VFXFire,VFXHit,VFXMiss,VFXAdditional,LGBTargetMarker,Unknown21,Unknown22,Unknown23,Unknown24,Unknown25,Unknown26,Unknown27,Unknown28,Unknown29,Unknown30,Unknown31,Unknown32
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,False,False
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,False,False
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,False,False
4,6913443,19,0,1200,2200,0,1,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,6913444,6913445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beobachte den Dhalmel!,"Die Beobachtung am lebenden
Objekt ist für die Herstellung
eines Tierpräparats unverzichtbar.
Sieh dir den Dhalmel von
Kopf bis Fuß gründlich an,
um dir seine anatomischen Details einzuprägen.",,Den großen Dhalmel von Kopf bis Fuß betrachten,,,,,,,,Beobachten,15,15,ev_snipe_clic0f,,,,6913467,0,8300,0,0,8,5,20,20,0,20,False,False
5,6958463,20,0,0,20000,0,1,6958464,20,0,0,20000,0,1,6958465,20,0,0,20000,0,1,6958466,20,0,0,20000,0,1,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Triff alle Ziele!,"Ermittle die Effektivität des
Blasrohrs, indem du versuchst,
alle Ziele zu treffen.",,Die Zielscheiben treffen,,,,,,,,Betäubungspfeil verschießen,35,26,ev_snipe0cf,ev_snipe_hit0f,ev_snipe_mis0f,,6958636,0,900,0,0,20,14,35,35,2,20,False,False
6,6969739,21,0,0,1500,0,1,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Suche den Strand ab!,"Der Späher hat dir erzählt,
dass jemand reglos am Strand
liegt. Sieh nach, ob du diese
Behauptung bestätigen kannst.",,Die reglose Person am Strand finden,,,,,,,,Bestätigen,15,15,ev_snipe_clic0f,,,,6969729,0,13200,0,0,30,17,20,20,0,20,False,False
7,6971552,22,0,0,20000,0,1,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Betäube den Foper!,"Visiere den Foper an
und betäube ihn mit einem Pfeil
aus dem Blasrohr.",,Foper mit Betäubungspfeil treffen,,,,,,,,Betäubungspfeil verschießen,35,26,ev_snipe0cf,ev_snipe_hit0f,ev_snipe_mis0f,,6971567,0,2600,0,0,25,3,95,95,2,20,False,False
8,6977195,24,0,0,5600,0,1,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Betäube den garleischen Soldaten!,"Visiere den garleischen Soldaten an
und betäube ihn mit einem Pfeil
aus dem Blasrohr.",,Soldat mit Betäubungspfeil treffen,,,,,,,,Betäubungspfeil verschießen,35,26,ev_snipe0cf,ev_snipe_hit0f,ev_snipe_mis0f,,6977220,0,7600,0,0,5,9,14,16,2,20,False,False
9,6977196,23,0,0,5000,0,1,7010933,23,0,0,5000,0,1,7010934,24,0,0,6600,0,1,7010935,23,0,0,5000,0,1,7010936,24,0,0,6000,0,1,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Betäube die garleischen Soldaten!,"Visiere die garleischen Soldaten an
und betäube sie mit Pfeilen
aus dem Blasrohr.",,Soldaten mit Betäubungspfeilen treffen,,,,,,,,Betäubungspfeil verschießen,35,26,ev_snipe0cf,ev_snipe_hit0f,ev_snipe_mis0f,,6977227,0,7600,0,0,15,2,11,24,2,20,False,False
10,6977197,25,0,0,3100,0,1,6977198,26,0,0,2100,0,1,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Betäube die garleischen Soldaten!,"Das Tor von Castrum Fluminis wird
von garleischen Soldaten bewacht.
Betäube sie mit Pfeilen aus dem Blasrohr.",,Soldaten mit Betäubungspfeilen treffen,,,,,,,,Betäubungspfeil verschießen,35,26,ev_snipe0cf,ev_snipe_hit0f,ev_snipe_mis0f,,6977228,0,6700,0,0,3,4,8,5,2,20,False,False
