#,Singular,Plural,Adjective,PossessivePronoun,StartsWithVowel,Unknown0,Pronoun,Article
2000000,,,0,0,0,1,0,0
2000001,透明君※α未使用,,0,0,0,1,0,0
2000002,草むらテスト※α未使用,,0,0,0,1,0,0
2000003,クエストツールテスト※α未使用,,0,0,0,1,0,0
2000004,クエストツールテスト２※α未使用,,0,0,0,1,0,0
2000005,,,0,0,0,0,0,0
2000006,草むら※α未使用,,0,0,0,1,0,0
2000007,草むら※α未使用,,0,0,0,1,0,0
2000008,Hagebaum,Hagebäume,4,2,0,1,0,0
2000009,Zielort,Zielorte,4,2,0,1,0,0
2000010,Anolis-Ei,Anolis-Eier,2,2,0,1,2,0
2000011,Anolis-Ei,Anolis-Eier,2,2,0,1,2,0
2000012,Anolis-Ei,Anolis-Eier,2,2,0,1,2,0
2000013,Anolis-Ei,Anolis-Eier,2,2,0,1,2,0
2000014,Anolis-Ei,Anolis-Eier,2,2,0,1,2,0
2000015,parfümiert[a] Brief,parfümiert[a] Briefe,4,2,0,1,0,0
2000016,zerfressen[a] Baum,zerfressen[a] Bäume,4,2,0,1,0,0
2000017,zerfressen[a] Baum,zerfressen[a] Bäume,4,2,0,1,0,0
2000018,zerfressen[a] Baum,zerfressen[a] Bäume,4,2,0,1,0,0
2000019,hölzern[a] Haarschmuck,hölzern[a] Haarschmuckstücke,4,2,0,1,0,0
2000020,Bündel[p] verstreuten Wildgemüses,Bündel[p] verstreuten Wildgemüses,4,2,0,1,2,0
2000021,Bündel[p] verstreuten Wildgemüses,Bündel[p] verstreuten Wildgemüses,4,2,0,1,2,0
2000022,Bündel[p] verstreuten Wildgemüses,Bündel[p] verstreuten Wildgemüses,4,2,0,1,2,0
2000023,Bündel[p] verstreuten Wildgemüses,Bündel[p] verstreuten Wildgemüses,4,2,0,1,2,0
2000024,Bündel[p] verstreuten Wildgemüses,Bündel[p] verstreuten Wildgemüses,4,2,0,1,2,0
2000025,Bündel[p] verstreuten Wildgemüses,Bündel[p] verstreuten Wildgemüses,4,2,0,1,2,0
2000026,Samen[p] der Azeyma-Rose,Samen[p] der Azeyma-Rose,4,1,0,1,0,0
2000027,Samen[p] der Azeyma-Rose,Samen[p] der Azeyma-Rose,4,1,0,1,0,0
2000028,Samen[p] der Azeyma-Rose,Samen[p] der Azeyma-Rose,4,1,0,1,0,0
2000029,Samen[p] der Azeyma-Rose,Samen[p] der Azeyma-Rose,4,1,0,1,0,0
2000030,Samen[p] der Azeyma-Rose,Samen[p] der Azeyma-Rose,4,1,0,1,0,0
2000031,Samen[p] der Azeyma-Rose,Samen[p] der Azeyma-Rose,4,1,0,1,0,0
2000032,,,0,0,0,1,0,0
2000033,埋門,,0,0,0,1,0,0
2000034,,,0,0,0,1,0,0
2000035,,,0,0,0,1,0,0
2000036,,,0,0,0,0,0,0
2000037,Toto-Rak-Barriere,Toto-Rak-Barrieren,3,1,0,1,1,0
2000038,Toto-Rak-Teleporter,Toto-Rak-Teleporter,4,2,0,1,0,0
2000039,Magitek-Photozelle,Magitek-Photozellen,3,1,0,1,1,0
2000040,,,0,0,0,1,0,0
2000041,,,0,0,0,1,0,0
2000042,Zielort,Zielorte,4,2,0,1,0,0
2000043,feucht[a] Grube,feucht[a] Gruben,3,1,0,1,1,0
2000044,feucht[a] Grube,feucht[a] Gruben,3,1,0,1,1,0
2000045,feucht[a] Grube,feucht[a] Gruben,3,1,0,1,1,0
2000046,Ausgang,Ausgänge,4,2,0,1,0,0
2000047,,,0,0,0,1,0,0
2000048,Omega-Transportvorrichtung,Omega-Transportvorrichtungen,3,1,0,1,1,0
2000049,,,0,0,0,0,0,0
2000050,,,0,0,0,0,0,0
2000051,,,0,0,0,1,0,0
2000052,,,0,0,0,1,0,0
2000053,warm[a] Ei,warm[a] Eier,2,2,0,1,2,0
2000054,,,0,0,0,1,0,0
2000055,Kleinod[p] des Ketzers,Kleinodien[p] des Ketzers,4,1,0,1,2,0
2000056,Kleinod[p] des Ketzers,Kleinodien[p] des Ketzers,4,1,0,1,2,0
2000057,Kleinod[p] des Ketzers,Kleinodien[p] des Ketzers,4,1,0,1,2,0
2000058,magisch[a] Barriere,magisch[a] Barrieren,3,1,0,1,1,0
2000059,magisch[a] Barriere,magisch[a] Barrieren,3,1,0,1,1,0
2000060,magisch[a] Barriere,magisch[a] Barrieren,3,1,0,1,1,0
2000061,Sphärolith[p] des Ketzers,Sphärolithen[p] des Ketzers,4,1,0,1,0,0
2000062,Sphärolith[p] des Ketzers,Sphärolithen[p] des Ketzers,4,1,0,1,0,0
2000063,Sphärolith[p] des Ketzers,Sphärolithen[p] des Ketzers,4,1,0,1,0,0
2000064,Kokon,Kokons,4,1,0,1,0,0
2000065,Steinbrücke,Steinbrücken,3,1,0,1,1,0
2000066,Ausgang,Ausgänge,4,2,0,1,0,0
2000067,Sphärolith[p] des Ketzers,Sphärolithen[p] des Ketzers,4,1,0,1,0,0
2000068,,,0,0,0,1,0,0
2000069,,,0,0,0,1,0,0
2000070,Duftlampe,Duftlampen,3,1,0,1,1,0
2000071,Duftlampe,Duftlampen,3,1,0,1,1,0
2000072,Krämerklingel,Krämerklingeln,3,1,0,1,1,0
2000073,Marktbrett,Marktbretter,4,2,0,1,2,0
2000074,,,0,0,0,0,0,0
2000075,Zielort,Zielorte,4,2,0,1,0,0
2000076,Zielort,Zielorte,4,2,0,1,0,0
2000077,Zielort,Zielorte,4,2,0,1,0,0
2000078,Zielort,Zielorte,4,2,0,1,0,0
2000079,,,0,0,0,0,0,0
2000080,,,0,0,0,0,0,0
2000081,,,0,0,0,0,0,0
2000082,,,0,0,0,0,0,0
2000083,,,0,0,0,0,0,0
2000084,,,0,0,0,0,0,0
2000085,,,0,0,0,0,0,0
2000086,,,0,0,0,0,0,0
2000087,Ausgang,Ausgänge,4,2,0,1,0,0
2000088,gemacht[a] Bett,gemacht[a] Betten,4,1,0,1,2,0
2000089,zertrampelt[a] Pfad,zertrampelt[a] Pfade,4,2,0,1,0,0
2000090,,,0,0,0,0,0,0
2000091,,,0,0,0,0,0,0
2000092,,,0,0,0,0,0,0
2000093,verwaschen[a] Notiz,verwaschen[a] Notizen,3,1,0,1,1,0
2000094,verwaschen[a] Notiz,verwaschen[a] Notizen,3,1,0,1,1,0
2000095,verwaschen[a] Notiz,verwaschen[a] Notizen,3,1,0,1,1,0
2000096,verwaschen[a] Notiz,verwaschen[a] Notizen,3,1,0,1,1,0
2000097,verwaschen[a] Notiz,verwaschen[a] Notizen,3,1,0,1,1,0
2000098,verwaschen[a] Notiz,verwaschen[a] Notizen,3,1,0,1,1,0
2000099,verwaschen[a] Notiz,verwaschen[a] Notizen,3,1,0,1,1,0
2000100,Magitek-Photozelle,Magitek-Photozellen,3,1,0,1,1,0
2000101,Magitek-Photozelle,Magitek-Photozellen,3,1,0,1,1,0
2000102,Magitek-Photozelle,Magitek-Photozellen,3,1,0,1,1,0
2000103,Magitek-Photozelle,Magitek-Photozellen,3,1,0,1,1,0
2000104,Magitek-Photozelle,Magitek-Photozellen,3,1,0,1,1,0
2000105,Magitek-Photozelle,Magitek-Photozellen,3,1,0,1,1,0
2000106,Magitek-Photozelle,Magitek-Photozellen,3,1,0,1,1,0
2000107,Magitek-Photozelle,Magitek-Photozellen,3,1,0,1,1,0
2000108,Magitek-Photozelle,Magitek-Photozellen,3,1,0,1,1,0
2000109,Magitek-Photozelle,Magitek-Photozellen,3,1,0,1,1,0
2000110,Magitek-Photozelle,Magitek-Photozellen,3,1,0,1,1,0
2000111,,,0,0,0,1,0,0
2000112,,,0,0,0,1,0,0
2000113,,,0,0,0,1,0,0
2000114,,,0,0,0,1,0,0
2000115,,,0,0,0,1,0,0
2000116,Magitek-Terminal,Magitek-Terminals,4,1,0,1,2,0
2000117,,,0,0,0,1,0,0
2000118,Magitek-Terminal,Magitek-Terminals,4,1,0,1,2,0
