#,Singular,Plural,Adjective,PossessivePronoun,StartsWithVowel,Unknown0,Pronoun,Article,Model,Action,Icon,Transient,Order,AttachmentPoint,Unknown3,Unknown4
0,,,0,0,0,1,0,0,0,0,0,0,-1,0,0,0
1,Parasol,Parasols,0,0,0,1,0,0,2939,2,8001,1,0,1,1,1
2,Sky Blue Parasol,Sky Blue Parasols,0,0,0,1,0,0,2940,2,8002,2,1,1,1,1
3,Vermilion Paper Parasol,Vermilion Paper Parasols,0,0,0,1,0,0,3007,2,8003,3,2,1,1,1
4,Plum Paper Parasol,Plum Paper Parasols,0,0,0,1,0,0,3008,2,8004,4,3,1,1,1
5,Gold Paper Parasol,Gold Paper Parasols,0,0,0,1,0,0,3009,2,8005,5,4,1,1,1
6,Calming Checkered Parasol,Calming Checkered Parasols,0,0,0,1,0,0,3010,2,8006,6,5,1,1,1
7,Cheerful Checkered Parasol,Cheerful Checkered Parasols,0,0,0,1,0,0,3011,2,8007,7,6,1,1,1
8,Classy Checkered Parasol,Classy Checkered Parasols,0,0,0,1,0,0,3012,2,8008,8,7,1,1,1
9,Angel Wings,Angel Wings,0,0,1,1,0,1,3042,0,8013,100,8,2,0,2
10,Gold Parasaucer,Gold Parasaucers,0,0,0,1,0,0,3169,2,8012,9,9,1,1,1
11,Pleasant Dot Parasol,Pleasant Dot Parasols,0,0,0,1,0,0,3166,2,8009,10,10,1,1,1
12,Prim Dot Parasol,Prim Dot Parasols,0,0,0,1,0,0,3167,2,8010,11,11,1,1,1
13,Pastoral Dot Parasol,Pastoral Dot Parasols,0,0,0,1,0,0,3168,2,8011,12,12,1,1,1
14,Fat Cat Parasol,Fat Cat Parasols,0,0,0,1,0,0,3286,2,8014,13,13,1,1,1
15,Great Paraserpent,Great Paraserpents,0,0,0,1,0,0,3287,2,8015,14,14,1,1,1
16,Red Moon Parasol,Red Moon Parasols,0,0,0,1,0,0,3288,2,8016,15,15,1,1,1
17,Fallen Angel Wings,Fallen Angel Wings,0,0,0,1,0,1,3426,0,8017,100,16,2,0,2
18,Archangel Wings,Archangel Wings,0,0,1,1,0,1,3427,0,8018,100,17,2,0,2
19,Diabolos Wings,Diabolos Wings,0,0,0,1,0,1,3428,0,8019,101,18,3,0,2
20,Pixie Wings,Pixie Wings,0,0,0,1,0,1,3429,0,8020,102,19,6,0,2
21,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,False Spectacles,False Spectacles,0,0,0,1,0,1,3431,0,786,200,21,5,0,2
23,White Lace Parasol,White Lace Parasols,0,0,0,1,0,0,3611,2,8023,16,22,1,1,1
24,Blue Blossom Parasol,Blue Blossom Parasols,0,0,0,1,0,0,3612,2,8024,17,23,1,1,1
25,False Shaded Spectacles,False Shaded Spectacles,0,0,0,1,0,1,3613,0,786,201,24,5,0,2
26,False Classic Spectacles,False Classic Spectacles,0,0,0,1,0,1,3614,0,786,202,25,7,0,2
27,Sabotender Parasol,Sabotender Parasols,0,0,0,1,0,1,3701,2,8027,18,26,1,1,1
28,Bluepowder Pixie Wings,Bluepowder Pixie Wings,0,0,0,1,0,1,3702,0,8028,102,27,6,0,2
29,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Felicitous Furball Umbrella,Felicitous Furball Umbrellas,0,0,0,1,0,0,3815,2,8029,19,28,1,1,1
31,Raindrop Defense System,Raindrop Defense Systems,0,0,0,1,0,0,3816,2,8030,20,29,1,1,1
32,Rose-colored Spectacles,Rose-colored Spectacles,0,0,0,1,0,0,3884,0,786,203,30,8,0,2
