#,Name,Image,Icon,UnlockCondition,Unknown_70_1,Unknown_70_2,Unknown0,SortKey,Category
0,None,0,82092,0,0,0,0,0,0
1,None,191001,82092,1,0,0,0,1,1
2,Fade to Black,191002,82092,1,0,0,0,3,1
3,Fade to White,191003,82092,1,0,0,0,2,1
4,Solid White,191004,82092,1,0,0,0,7,1
5,Metallic Silver,191005,82092,1,0,0,0,5,1
6,Metallic Gold,191006,82092,1,0,0,0,4,1
7,Journal,191007,82092,1,0,0,0,10,1
8,Plain,191008,82092,1,0,0,0,8,1
9,Beveled,191009,82092,1,0,0,0,9,1
10,Antique,191010,82092,1,0,0,0,20,1
11,Corner Accent,191011,82092,1,0,0,0,21,1
12,Paladin,191301,82092,124,0,0,0,2150,2
13,Warrior,191302,82092,125,0,0,0,2151,2
14,Dark Knight,191303,82092,126,0,0,0,2152,2
15,Gunbreaker,191304,82092,127,0,0,0,2153,2
16,White Mage,191305,82092,128,0,0,0,2154,2
17,Scholar,191306,82092,129,0,0,0,2155,2
18,Astrologian,191307,82092,130,0,0,0,2156,2
19,Sage,191308,82092,131,0,0,0,2157,2
20,Monk,191309,82092,132,0,0,0,2158,2
21,Dragoon,191310,82092,133,0,0,0,2159,2
22,Ninja,191311,82092,134,0,0,0,2160,2
23,Samurai,191312,82092,135,0,0,0,2161,2
24,Reaper,191313,82092,136,0,0,0,2162,2
25,Bard,191314,82092,137,0,0,0,2164,2
26,Machinist,191315,82092,138,0,0,0,2165,2
27,Dancer,191316,82092,139,0,0,0,2166,2
28,Black Mage,191317,82092,140,0,0,0,2167,2
29,Summoner,191318,82092,141,0,0,0,2168,2
30,Red Mage,191319,82092,142,0,0,0,2169,2
31,Team Astra,191401,82092,143,0,0,0,3000,10
32,Team Umbra,191402,82092,144,0,0,0,3001,10
33,Final Conflict 1,191403,82092,145,0,0,0,3200,5
34,Endless Conflict 1,191404,82092,146,0,0,0,3201,5
35,Rising Conflict 1,191405,82092,147,0,0,0,3202,5
36,Bronze Conflict 1,191406,82092,148,0,0,0,3208,5
37,Silver Conflict 1,191407,82092,149,0,0,0,3207,5
38,Gold Conflict 1,191408,82092,150,0,0,0,3206,5
39,Platinum Conflict 1,191409,82092,151,0,0,0,3205,5
40,Diamond Conflict 1,191410,82092,152,0,0,0,3204,5
41,Crystal Conflict 1,191411,82092,153,0,0,0,3203,5
42,Companion 1,191901,82092,154,1032,1034,1036,4000,7
43,Companion 2,191902,82092,155,1033,1035,1037,4001,7
44,Unending Coil of Bahamut,191701,82092,319,0,0,0,2500,4
45,Weapon's Refrain,191702,82092,320,0,0,0,2501,4
46,Epic of Alexander,191703,82092,321,0,0,0,2502,4
47,Dragonsong's Reprise,191704,82092,322,0,0,0,2503,4
48,Final Conflict 2,191412,82092,323,0,0,0,3209,5
49,Endless Conflict 2,191413,82092,324,0,0,0,3210,5
50,Rising Conflict 2,191414,82092,325,0,0,0,3211,5
51,Bronze Conflict 2,191415,82092,326,0,0,0,3217,5
52,Silver Conflict 2,191416,82092,327,0,0,0,3216,5
53,Gold Conflict 2,191417,82092,328,0,0,0,3215,5
54,Platinum Conflict 2,191418,82092,329,0,0,0,3214,5
55,Diamond Conflict 2,191419,82092,330,0,0,0,3213,5
56,Crystal Conflict 2,191420,82092,331,0,0,0,3212,5
57,Final Conflict 3,191421,82092,332,0,0,0,3218,5
58,Endless Conflict 3,191422,82092,333,0,0,0,3219,5
59,Rising Conflict 3,191423,82092,334,0,0,0,3220,5
60,Bronze Conflict 3,191424,82092,335,0,0,0,3226,5
61,Silver Conflict 3,191425,82092,336,0,0,0,3225,5
62,Gold Conflict 3,191426,82092,337,0,0,0,3224,5
63,Platinum Conflict 3,191427,82092,338,0,0,0,3223,5
64,Diamond Conflict 3,191428,82092,339,0,0,0,3222,5
65,Crystal Conflict 3,191429,82092,340,0,0,0,3221,5
66,Azure Conflict,191430,82092,341,0,0,0,3002,10
67,Crimson Conflict,191431,82092,342,0,0,0,3003,10
68,Sil'dihn Subterrane (Variant),191705,82092,343,0,0,0,2400,4
69,Comic Panel,191016,82092,1,0,0,0,32,1
70,Metallic Arch,191019,82092,1,0,0,0,6,1
71,Film,191020,82092,1,0,0,0,33,1
72,Focus Lines,191012,82092,1,0,0,0,31,1
73,Fog,191013,82092,1,0,0,0,30,1
74,Black Lace,191017,82092,1,0,0,0,22,1
75,White Lace,191018,82092,1,0,0,0,23,1
76,NQ Item,191014,82092,1,0,0,0,11,1
77,HQ Item,191015,82092,1,0,0,0,12,1
78,Final Conflict 4,191432,82092,409,0,0,0,3227,5
79,Endless Conflict 4,191433,82092,410,0,0,0,3228,5
80,Rising Conflict 4,191434,82092,411,0,0,0,3229,5
81,Crystal Conflict 4,191440,82092,412,0,0,0,3230,5
82,Diamond Conflict 4,191439,82092,413,0,0,0,3231,5
83,Platinum Conflict 4,191438,82092,414,0,0,0,3232,5
84,Gold Conflict 4,191437,82092,415,0,0,0,3233,5
85,Silver Conflict 4,191436,82092,416,0,0,0,3234,5
86,Bronze Conflict 4,191435,82092,417,0,0,0,3235,5
87,Final Conflict 5,191441,82092,418,0,0,0,3236,5
88,Endless Conflict 5,191442,82092,419,0,0,0,3237,5
89,Rising Conflict 5,191443,82092,420,0,0,0,3238,5
90,Crystal Conflict 5,191449,82092,421,0,0,0,3239,5
91,Diamond Conflict 5,191448,82092,422,0,0,0,3240,5
92,Platinum Conflict 5,191447,82092,423,0,0,0,3241,5
93,Gold Conflict 5,191446,82092,424,0,0,0,3242,5
94,Silver Conflict 5,191445,82092,425,0,0,0,3243,5
95,Bronze Conflict 5,191444,82092,426,0,0,0,3244,5
96,Falcons,191450,82092,427,0,0,0,3004,10
97,Ravens,191451,82092,428,0,0,0,3005,10
98,Omega Protocol,191706,82092,434,0,0,0,2504,4
99,Four Lords,191707,82092,467,0,0,0,2251,3
100,Island Vacation,191708,82092,468,0,0,0,2340,8
101,Island Memories,191709,82092,469,0,0,0,2341,8
102,Final Conflict 6,191452,82092,502,0,0,0,3245,5
103,Endless Conflict 6,191453,82092,503,0,0,0,3246,5
104,Rising Conflict 6,191454,82092,504,0,0,0,3247,5
105,Crystal Conflict 6,191460,82092,505,0,0,0,3248,5
106,Diamond Conflict 6,191459,82092,506,0,0,0,3249,5
107,Platinum Conflict 6,191458,82092,507,0,0,0,3250,5
108,Gold Conflict 6,191457,82092,508,0,0,0,3251,5
109,Silver Conflict 6,191456,82092,509,0,0,0,3252,5
110,Bronze Conflict 6,191455,82092,510,0,0,0,3253,5
111,Final Conflict 7,191461,82092,511,0,0,0,3254,5
112,Endless Conflict 7,191462,82092,512,0,0,0,3255,5
113,Rising Conflict 7,191463,82092,513,0,0,0,3256,5
114,Crystal Conflict 7,191469,82092,514,0,0,0,3257,5
115,Diamond Conflict 7,191468,82092,515,0,0,0,3258,5
116,Platinum Conflict 7,191467,82092,516,0,0,0,3259,5
117,Gold Conflict 7,191466,82092,517,0,0,0,3260,5
118,Silver Conflict 7,191465,82092,518,0,0,0,3261,5
119,Bronze Conflict 7,191464,82092,519,0,0,0,3262,5
120,Aramitama,191470,82092,520,0,0,0,3006,10
121,Nigimitama,191471,82092,521,0,0,0,3007,10
122,Blue Mage,191320,82092,522,0,0,0,2171,2
123,Ten Year Anniversary,191710,82092,523,0,0,0,3950,7
124,Mount Rokkon (Variant),191711,82092,528,0,0,0,2401,4
125,Adventurous Angling,191712,82092,529,0,0,0,2346,8
126,Big Fish,191713,82092,530,0,0,0,2347,8
127,Mahjong Mastery,191714,82092,531,0,0,0,2350,8
128,End of an Era,191715,82092,527,0,0,0,2250,3
129,Palaistra,191490,82092,578,0,0,0,3008,10
130,Cloud Nine,191491,82092,579,0,0,0,3009,10
131,Final Conflict 8,191472,82092,580,0,0,0,3263,5
132,Endless Conflict 8,191473,82092,581,0,0,0,3264,5
