#,Unknown0,Unknown1,Unknown2
0,,,0
1,,,0
2,Archives,,5
3,New Game+,,6
4,Lost Actions,,13
5,Portraits,,21
6,Adventurer Plate,,22
7,Island Sanctuary,,23
8,Isleworks Beginner's Guide,,24
9,Deep Dungeons,,25
10,Deep Dungeons,,26
11,Deep Dungeons,,27
12,Fashion Accessories,,28
13,Gear Sets,,29
14,PvP,,19
15,Rival Wings,,3
16,Frontline,,7
17,Crystalline Conflict,,20
18,Moogle Treasure Trove,,30
19,Glamour Guide,,32
20,Combat Guide,,33
21,Mahjong Rules,,2
22,Deep Dungeons,,37
23,The Occult Crescent,,35
24,Cosmic Exploration,,36
25,Strategy Board,,38
