#,Name,Icon,UnlockLink,SGB[0],SGB[1],SGB[2],SGB[3],SGB[4],SGB[5],SGB[6],Material[0],Material[1],Material[2],Material[3],Material[4],Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Amount[0],Amount[1],Amount[2],Amount[3],Amount[4]
0,0,0,0,0,0,0,0,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,20,53914,0,30118,35164,35165,30266,30267,30268,30118,9,14,10,11,13,57,2,0,31,27,28,29,30,12,10,4,0,12,15,15,10,5,5
2,21,53911,0,30121,35164,35165,30272,30281,30282,30121,10,9,14,7,11,58,2,0,36,32,33,34,35,12,10,4,0,12,15,15,10,5,5
3,22,53910,0,30120,35164,35165,30269,30270,30271,30120,9,14,19,0,4,59,3,0,41,37,38,39,40,12,10,4,0,12,15,15,10,10,3
4,23,53913,0,30119,35164,35165,30263,30264,30265,30119,23,18,9,19,31,60,5,0,46,42,43,44,45,12,10,4,0,12,20,10,10,10,3
5,24,53912,326,30117,35164,35165,30260,30261,30262,30117,23,14,19,7,27,61,5,0,51,47,48,49,50,12,10,4,0,12,15,15,10,10,3
6,67,53927,0,31553,35164,35165,32317,32318,32319,31553,9,71,23,11,27,68,0,12,96,92,93,94,95,12,10,4,0,12,20,10,10,10,5
7,80,53931,462,32560,35164,35165,32557,32558,32559,32560,10,21,17,11,83,81,6,0,101,102,98,99,100,12,10,4,0,12,20,10,10,10,5
8,82,53932,0,32528,35164,35165,32651,32648,32649,32528,80,23,70,9,31,83,6,0,106,102,103,104,105,12,10,4,0,12,15,15,10,10,5
9,91,53943,467,32963,35164,35165,32960,32961,32962,32963,9,23,96,11,27,92,6,0,125,102,122,123,124,12,10,4,0,12,15,15,10,10,5
10,93,53942,0,34485,35164,35165,33952,34874,34875,34485,79,96,23,82,31,94,0,19,129,102,126,127,128,12,10,4,0,12,15,15,10,10,5
