#,Quest,BGM,BGMSystemDefine,Unknown0
50000.0,0,0,0,0
50001.0,0,1202,1,0
50001.1,68062,1202,3,0
50001.2,67999,1232,3,0
50001.3,67999,1232,4,2
50002.0,0,1222,1,0
50002.1,68089,1234,3,0
50003.0,0,1222,1,0
50003.1,68089,1236,3,0
50004.0,0,165,1,0
50004.1,69917,459,3,0
50004.2,68508,458,3,0
50004.3,68508,458,4,4
50005.0,0,1204,1,0
50005.1,68572,1242,3,0
50006.0,0,1222,1,0
50006.1,68610,1247,3,0
50007.0,0,1209,1,0
50007.1,68633,1248,3,0
50008.0,0,541,1,0
50008.1,68610,459,4,4
50009.0,0,659,1,0
50009.1,69314,1259,3,0
50009.2,69314,1259,4,255
50009.3,69313,1308,3,0
50009.4,69313,1308,4,5
50009.5,69313,1302,4,3
50009.6,69190,1259,3,0
50009.7,69190,1259,4,11
50009.8,69182,659,3,0
50009.9,69182,659,4,2
50009.10,69179,649,3,0
50009.11,69145,1259,3,0
50009.12,69142,649,3,0
50009.13,69142,649,4,255
50009.14,68878,578,3,0
50009.15,68836,1259,3,0
50009.16,68836,1259,4,5
50009.17,68815,659,3,0
50009.18,68815,659,4,255
50009.19,68815,1,4,5
50010.0,0,711,1,0
50010.1,69314,1258,3,0
50010.2,69314,1258,4,255
50010.3,69313,1301,3,0
50010.4,69313,1301,4,3
50010.5,69190,1258,3,0
50010.6,69190,1258,4,11
50010.7,69168,661,3,0
50010.8,69167,662,3,0
50010.9,69167,662,4,255
50010.10,69158,488,3,0
50011.0,0,1287,1,0
50011.1,69314,1260,3,0
50011.2,69314,1260,4,255
50011.3,69313,1309,3,0
50011.4,69313,1309,4,5
50011.5,69313,1303,4,3
50011.6,69190,1260,3,0
50011.7,69190,1260,4,11
50011.8,69179,1287,3,0
50011.9,69145,1260,3,0
50011.10,69142,649,3,0
50011.11,69142,649,4,255
50011.12,69142,161,4,5
50011.13,68836,1260,3,0
50011.14,68836,1260,4,5
50012.0,0,1261,1,0
50012.1,69314,1261,3,0
50012.2,69314,1261,4,255
50012.3,69313,1304,3,0
50012.4,69313,1304,4,3
50012.5,0,1288,5,0
50013.0,0,1262,1,0
50013.1,69314,1262,3,0
50013.2,69314,1262,4,255
50013.3,69313,1305,3,0
50013.4,69313,1305,4,3
50013.5,0,1289,5,0
50014.0,0,1263,1,0
50014.1,69314,1263,3,0
50014.2,69314,1263,4,255
50014.3,69313,1306,3,0
50014.4,69313,1306,4,3
50014.5,68841,1290,4,255
50014.6,68841,653,4,5
50014.7,0,1290,5,0
50015.0,0,1264,1,0
50015.1,69314,1264,3,0
50015.2,69314,1264,4,255
50015.3,69313,1307,3,0
50015.4,69313,1307,4,3
50015.5,0,1291,5,0
50016.0,0,1265,1,0
50016.1,0,673,5,0
50017.0,0,1288,1,0
50017.1,69167,1267,3,0
50017.2,69167,1267,4,255
50017.3,69158,488,3,0
50018.0,0,1288,1,0
50018.1,69314,1261,3,0
50018.2,69314,1261,4,255
50018.3,69313,1304,3,0
50018.4,69313,1304,4,3
50018.5,69190,1261,3,0
50018.6,69190,1261,4,11
50018.7,69179,1288,3,0
50018.8,69176,650,3,0
50018.9,69176,650,4,2
50019.0,0,1288,1,0
50019.1,69314,1261,3,0
50019.2,69314,1261,4,255
50019.3,69313,1304,3,0
50019.4,69313,1304,4,3
50019.5,69190,1261,3,0
50019.6,69190,1261,4,11
50019.7,69179,1288,3,0
50019.8,69179,650,4,2
50019.9,69169,651,3,0
50020.0,0,1269,1,0
50020.1,68835,1269,3,0
50020.2,68834,1,3,0
50020.3,68834,1,4,5
50021.0,0,1273,1,0
50021.1,68876,1273,3,0
50021.2,68867,488,3,0
50021.3,68867,488,4,255
50022.0,0,669,1,0
50022.1,68842,1270,3,0
50023.0,0,1289,1,0
50023.1,69314,1262,3,0
50023.2,69314,1262,4,255
50023.3,69313,1305,3,0
50023.4,69313,1305,4,3
50023.5,69190,1262,3,0
50023.6,69190,1262,4,11
50023.7,69179,1289,3,0
50023.8,69157,1262,3,0
50023.9,69157,1262,4,3
50023.10,68835,1289,3,0
50023.11,68834,1,3,0
50023.12,68834,1,4,5
50024.0,0,1267,1,0
50024.1,69179,1267,3,0
50024.2,69179,650,4,2
50024.3,69172,651,3,0
50025.0,0,222,1,0
50025.1,69266,721,3,0
50025.2,69266,721,4,1
50025.3,69168,222,3,0
50025.4,69158,662,3,0
50026.0,0,696,1,0
50026.1,69514,742,3,0
50026.2,69514,1,4,4
50026.3,68796,696,3,0
50026.4,68796,696,4,1
50026.5,68795,1,3,0
50027.0,0,1276,1,0
50027.1,69190,1276,4,8
50027.2,69190,653,4,7
50028.0,0,1266,1,0
50028.1,69179,1266,3,0
50028.2,69179,650,4,2
50028.3,69169,651,3,0
50029.0,0,1266,1,0
50029.1,69585,1266,3,0
50029.2,69572,823,3,0
50029.3,69534,1266,3,0
50029.4,69534,1266,4,4
50029.5,69488,782,3,0
50029.6,69488,782,4,3
50029.7,69179,1266,3,0
50029.8,69179,650,4,2
50029.9,69169,651,3,0
50030.0,0,1286,1,0
50030.1,69514,1286,3,0
50030.2,69514,1286,4,4
50030.3,69514,653,4,3
50030.4,69513,590,3,0
50030.5,69513,590,4,255
50030.6,69512,1286,3,0
50030.7,69512,1286,4,255
50030.8,69512,651,4,2
50030.9,69327,1286,3,0
50030.10,69327,1286,4,2
50030.11,69327,651,4,1
50030.12,69326,1286,3,0
50030.13,69326,1286,4,255
50030.14,69326,578,4,3
50030.15,69325,1286,3,0
50030.16,69325,1286,4,255
50030.17,69325,651,4,5
50030.18,69324,1286,3,0
50030.19,69324,1286,4,255
50030.20,69324,651,4,2
50030.21,68795,1286,3,0
50030.22,68795,1286,4,255
50030.23,68795,651,4,2
50030.24,68794,1286,3,0
50030.25,68794,1286,4,255
50030.26,68794,651,4,3
50030.27,68793,1286,3,0
50030.28,68793,1286,4,2
50030.29,68793,578,4,1
50031.0,0,1281,1,0
50031.1,69145,1281,3,0
50031.2,69142,649,3,0
50031.3,69142,649,4,255
50032.0,0,732,1,0
50032.1,69257,737,4,1
50032.2,69256,737,4,1
50032.3,69256,737,3,0
50033.0,0,77,1,0
50033.1,69297,504,3,0
50034.0,0,1264,1,0
50034.1,69330,1299,3,0
50034.2,0,1291,5,0
50035.0,0,732,1,0
50035.1,69572,1,4,255
50035.2,69572,825,4,5
50035.3,69572,1,4,3
50035.4,69570,732,4,5
50035.5,69570,824,4,4
50035.6,69570,783,4,2
50035.7,69490,732,3,0
50035.8,69490,732,4,6
50035.9,69490,1,4,5
50035.10,69490,780,4,1
50035.11,69489,732,3,0
50035.12,69489,732,4,3
50035.13,69489,781,4,2
50035.14,69488,781,3,0
50035.15,69488,1,4,255
50036.0,0,1260,1,0
50036.1,69432,1300,3,0
50037.0,0,783,1,0
50037.1,69489,783,4,255
50037.2,69489,1,4,2
50038.0,0,732,1,0
50038.1,69490,1,4,8
50038.2,69490,732,4,7
50038.3,69490,780,4,2
50038.4,69490,732,4,1
50039.0,0,807,1,0
50039.1,69567,1,4,7
50040.0,0,847,1,0
50040.1,69945,847,3,0
50040.2,69944,488,3,0
50041.0,0,847,1,0
50041.1,69945,847,3,0
50041.2,69944,488,3,0
50042.0,0,1,1,0
50042.1,70058,1,4,7
50042.2,70058,173,4,6
50042.3,70058,1,4,5
50042.4,70058,76,4,4
50043.0,0,1315,1,0
50043.1,69945,1315,3,0
50043.2,69944,488,3,0
50044.0,0,1316,1,0
50044.1,70000,1317,3,0
50044.2,70000,1317,4,7
50045.0,0,1318,1,0
50045.1,70000,1318,3,0
50045.2,70000,1318,4,7
50045.3,69977,1340,3,0
50046.0,0,1319,1,0
50046.1,70000,1319,3,0
50046.2,70000,1319,4,7
50046.3,69977,1340,3,0
50047.0,0,1321,1,0
50047.1,70213,1321,3,0
50047.2,70213,1321,4,255
50047.3,70212,578,3,0
50047.4,70212,578,4,2
50047.5,70000,1321,3,0
50047.6,70000,1321,4,7
50047.7,69951,1324,3,0
50047.8,69951,1324,4,255
50047.9,69945,1322,3,0
50047.10,69945,1322,4,3
50048.0,0,1323,1,0
50048.1,70213,1323,3,0
50048.2,70213,1323,4,255
50048.3,70212,578,3,0
50048.4,70212,578,4,2
50048.5,70000,1323,3,0
50048.6,70000,1323,4,7
50048.7,69951,1324,3,0
50048.8,69951,1324,4,255
50048.9,69945,1322,3,0
50048.10,69945,1322,4,3
50049.0,0,1001,1,0
50049.1,70213,1323,3,0
50049.2,70213,1323,4,255
50049.3,70212,578,3,0
50049.4,70212,578,4,2
50049.5,70000,1323,3,0
50049.6,70000,1323,4,7
50049.7,69951,1324,3,0
50049.8,69951,1324,4,255
50049.9,69945,1322,3,0
50049.10,69945,1322,4,3
50049.11,69913,1323,3,0
50049.12,69911,1001,3,0
50049.13,69911,1001,4,255
50049.14,69908,1323,3,0
50049.15,69908,1323,4,2
50050.0,0,1325,1,0
50050.1,69931,1325,3,0
50050.2,69931,1325,4,255
50050.3,69931,1320,4,1
50051.0,0,1323,1,0
50051.1,69931,1323,3,0
50051.2,69931,1323,4,255
50051.3,69931,1320,4,1
50052.0,0,1001,1,0
50052.1,69928,1338,3,0
50052.2,69928,1338,4,255
50053.0,0,1328,1,0
50053.1,69973,1328,3,0
50053.2,69973,1328,4,3
50053.3,69971,1327,3,0
50053.4,69971,1327,4,1
50053.5,69964,1328,3,0
50053.6,69964,1328,4,255
50053.7,69964,488,4,2
50054.0,0,1329,1,0
50054.1,69973,1329,3,0
50054.2,69973,1329,4,3
50054.3,69971,1327,3,0
50054.4,69971,1327,4,1
50055.0,0,0,0,0
50056.0,0,1331,1,0
50056.1,69934,1331,3,0
50056.2,69934,1331,4,3
50056.3,69933,1332,3,0
50057.0,0,1001,1,0
50057.1,69943,1334,3,0
50057.2,69943,1334,4,255
50057.3,69943,1339,4,2
50057.4,69936,1334,3,0
50058.0,0,860,1,0
50058.1,69997,862,3,0
50058.2,69997,862,4,255
50058.3,69991,861,3,0
50058.4,69991,861,4,3
50059.0,0,1001,1,0
50059.1,69999,862,3,0
50059.2,69999,862,4,4
50060.0,0,1321,1,0
50060.1,70081,1348,3,0
50060.2,70000,1321,3,0
50060.3,70000,1321,4,7
50060.4,69951,1324,3,0
50060.5,69951,1324,4,255
50060.6,69945,1322,3,0
50060.7,69945,1322,4,3
50061.0,0,1001,1,0
50061.1,70137,929,3,0
50061.2,69999,862,3,0
50061.3,69999,862,4,4
50062.0,0,1001,1,0
50062.1,70217,1356,3,0
50062.2,69943,1334,3,0
50062.3,69943,1334,4,255
50062.4,69943,1339,4,2
50062.5,69936,1334,3,0
50063.0,0,884,1,0
50063.1,70296,573,3,0
50063.2,70296,573,4,1
50063.3,70295,1,3,0
50063.4,70295,1,4,2
50064.0,0,838,1,0
50064.1,70293,884,3,0
50064.2,70293,884,4,4
50065.0,0,965,1,0
50065.1,70284,1,3,0
50065.2,70284,1,4,6
50066.0,0,1358,1,0
50066.1,70462,1358,3,0
50066.2,70462,1358,4,3
50066.3,70455,1359,3,0
50066.4,70455,1359,4,255
50067.0,0,1360,1,0
50067.1,70907,1360,3,0
50067.2,70907,1360,4,6
50067.3,70906,20196,3,0
50067.4,70906,20196,4,3
50067.5,70906,20108,4,1
50067.6,70902,1360,3,0
50067.7,70902,1360,4,3
50067.8,70901,20031,3,0
50067.9,70901,20031,4,255
50067.10,70900,488,3,0
50067.11,70900,488,4,255
50067.12,70495,1360,3,0
50067.13,70495,1360,4,255
50067.14,70478,1361,3,0
50067.15,70478,1361,4,3
50068.0,0,1367,1,0
50068.1,70909,1367,3,0
50068.2,70909,1367,4,2
50068.3,70907,1368,3,0
50068.4,70907,20190,4,6
50068.5,70907,20081,4,2
50068.6,70495,1368,3,0
50068.7,70495,1368,4,255
50068.8,70495,20072,4,2
50068.9,70494,1368,3,0
50068.10,70494,1368,4,255
50069.0,0,1367,1,0
50069.1,70909,1367,3,0
50069.2,70909,1367,4,2
50069.3,70907,1368,3,0
50069.4,70907,20190,4,6
50069.5,70907,20081,4,2
50069.6,70495,1368,3,0
50069.7,70495,1368,4,255
50069.8,70486,1377,3,0
50069.9,70486,1377,4,255
50070.0,0,1367,1,0
50070.1,70909,1367,3,0
50070.2,70909,1367,4,2
50070.3,70907,1368,3,0
50070.4,70907,20190,4,6
50070.5,70907,20081,4,2
50070.6,70495,1368,3,0
50070.7,70495,1368,4,255
50070.8,70488,1377,3,0
50070.9,70488,1377,4,255
50071.0,0,1367,1,0
50071.1,70909,1367,3,0
50071.2,70909,1367,4,2
50071.3,70907,1368,3,0
50071.4,70907,20190,4,6
50071.5,70907,20081,4,2
50071.6,70495,1368,3,0
50071.7,70495,1368,4,255
50071.8,70491,1377,3,0
50071.9,70491,1377,4,255
50072.0,0,1367,1,0
50072.1,70909,1367,3,0
50072.2,70909,1367,4,2
50072.3,70907,1368,3,0
50072.4,70907,20190,4,6
50072.5,70907,20081,4,2
50072.6,70495,1368,3,0
50072.7,70495,1368,4,255
50072.8,70494,1377,3,0
50072.9,70494,1377,4,255
50073.0,0,1,1,0
50073.1,70457,20029,3,0
50073.2,70457,20029,4,3
50073.3,70456,20031,3,0
50073.4,70456,20031,4,1
50074.0,0,20029,1,0
50074.1,70495,573,3,0
50074.2,70495,573,4,255
50075.0,0,20073,1,0
50075.1,70481,577,3,0
50075.2,70481,577,4,5
50076.0,0,1362,1,0
50076.1,70430,1362,3,0
50076.2,70430,1362,4,5
50076.3,70427,578,3,0
50076.4,70427,578,4,2
50077.0,0,1370,1,0
50077.1,70430,1370,3,0
50077.2,70430,1370,4,5
50077.3,70427,578,3,0
50077.4,70427,578,4,2
50078.0,0,1363,1,0
50078.1,70729,1382,3,0
50079.0,0,20124,1,0
50079.1,70865,20139,3,0
50079.2,70862,20124,3,0
50079.3,70862,20124,4,1
50079.4,70772,20139,3,0
50080.0,0,573,1,0
