#,RewardItem[0],RewardItem[1],RewardItem[2],RewardItem[3],RequiredItem[0],RequiredItem[1],RequiredItem[2],RequiredItem[3],Unknown8,Unknown9,ClassJobCategory,RewardAmount[0],RewardAmount[1],RewardAmount[2],RewardAmount[3],RequiredAmount[0],RequiredAmount[1],RequiredAmount[2],RequiredAmount[3],Unknown10,Unknown11,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown12,Unknown13,Unknown14,Unknown15
0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False
1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False
1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False
2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False
2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False
2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False
3.0,13611,13624,0,0,0,0,0,0,0,0,20,1,1,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
3.1,13612,0,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
3.2,13613,0,0,0,0,0,0,0,0,0,22,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
3.3,13614,0,0,0,0,0,0,0,0,0,23,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
3.4,13615,0,0,0,0,0,0,0,0,0,24,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
3.5,13619,0,0,0,0,0,0,0,0,0,25,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
3.6,13620,0,0,0,0,0,0,0,0,0,26,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
3.7,13621,0,0,0,0,0,0,0,0,0,28,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
3.8,13622,0,0,0,0,0,0,0,0,0,29,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
3.9,13616,0,0,0,0,0,0,0,0,0,92,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
3.10,13617,0,0,0,0,0,0,0,0,0,98,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
3.11,13618,0,0,0,0,0,0,0,0,0,96,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
3.12,13623,0,0,0,0,0,0,0,0,0,99,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
4.0,13597,13610,0,0,13611,13624,0,0,0,0,20,1,1,0,0,1,1,0,0,0,0,True,True,False,False,False,False,True,True,True,True,True,True
4.1,13598,0,0,0,13612,0,0,0,0,0,21,1,0,0,0,1,0,0,0,0,0,True,False,False,False,False,False,True,True,True,True,True,True
4.2,13599,0,0,0,13613,0,0,0,0,0,22,1,0,0,0,1,0,0,0,0,0,True,False,False,False,False,False,True,True,True,True,True,True
4.3,13600,0,0,0,13614,0,0,0,0,0,23,1,0,0,0,1,0,0,0,0,0,True,False,False,False,False,False,True,True,True,True,True,True
