#,SatisfactionNpcParams[0].SupplyIndex,SatisfactionNpcParams[0].Item[0],SatisfactionNpcParams[0].Item[1],SatisfactionNpcParams[0].Item[2],SatisfactionNpcParams[0].SatisfactionRequired,SatisfactionNpcParams[0].ItemCount[0],SatisfactionNpcParams[0].ItemCount[1],SatisfactionNpcParams[0].ItemCount[2],SatisfactionNpcParams[0].IsHQ[0],SatisfactionNpcParams[0].IsHQ[1],SatisfactionNpcParams[0].IsHQ[2],SatisfactionNpcParams[1].SupplyIndex,SatisfactionNpcParams[1].Item[0],SatisfactionNpcParams[1].Item[1],SatisfactionNpcParams[1].Item[2],SatisfactionNpcParams[1].SatisfactionRequired,SatisfactionNpcParams[1].ItemCount[0],SatisfactionNpcParams[1].ItemCount[1],SatisfactionNpcParams[1].ItemCount[2],SatisfactionNpcParams[1].IsHQ[0],SatisfactionNpcParams[1].IsHQ[1],SatisfactionNpcParams[1].IsHQ[2],SatisfactionNpcParams[2].SupplyIndex,SatisfactionNpcParams[2].Item[0],SatisfactionNpcParams[2].Item[1],SatisfactionNpcParams[2].Item[2],SatisfactionNpcParams[2].SatisfactionRequired,SatisfactionNpcParams[2].ItemCount[0],SatisfactionNpcParams[2].ItemCount[1],SatisfactionNpcParams[2].ItemCount[2],SatisfactionNpcParams[2].IsHQ[0],SatisfactionNpcParams[2].IsHQ[1],SatisfactionNpcParams[2].IsHQ[2],SatisfactionNpcParams[3].SupplyIndex,SatisfactionNpcParams[3].Item[0],SatisfactionNpcParams[3].Item[1],SatisfactionNpcParams[3].Item[2],SatisfactionNpcParams[3].SatisfactionRequired,SatisfactionNpcParams[3].ItemCount[0],SatisfactionNpcParams[3].ItemCount[1],SatisfactionNpcParams[3].ItemCount[2],SatisfactionNpcParams[3].IsHQ[0],SatisfactionNpcParams[3].IsHQ[1],SatisfactionNpcParams[3].IsHQ[2],SatisfactionNpcParams[4].SupplyIndex,SatisfactionNpcParams[4].Item[0],SatisfactionNpcParams[4].Item[1],SatisfactionNpcParams[4].Item[2],SatisfactionNpcParams[4].SatisfactionRequired,SatisfactionNpcParams[4].ItemCount[0],SatisfactionNpcParams[4].ItemCount[1],SatisfactionNpcParams[4].ItemCount[2],SatisfactionNpcParams[4].IsHQ[0],SatisfactionNpcParams[4].IsHQ[1],SatisfactionNpcParams[4].IsHQ[2],SatisfactionNpcParams[5].SupplyIndex,SatisfactionNpcParams[5].Item[0],SatisfactionNpcParams[5].Item[1],SatisfactionNpcParams[5].Item[2],SatisfactionNpcParams[5].SatisfactionRequired,SatisfactionNpcParams[5].ItemCount[0],SatisfactionNpcParams[5].ItemCount[1],SatisfactionNpcParams[5].ItemCount[2],SatisfactionNpcParams[5].IsHQ[0],SatisfactionNpcParams[5].IsHQ[1],SatisfactionNpcParams[5].IsHQ[2],RankParams[0].ImageId,RankParams[0].Unknown1,RankParams[0].Quest,RankParams[1].ImageId,RankParams[1].Unknown1,RankParams[1].Quest,RankParams[2].ImageId,RankParams[2].Unknown1,RankParams[2].Quest,RankParams[3].ImageId,RankParams[3].Unknown1,RankParams[3].Quest,RankParams[4].ImageId,RankParams[4].Unknown1,RankParams[4].Quest,RankParams[5].ImageId,RankParams[5].Unknown1,RankParams[5].Quest,Level,Npc,QuestRequired,Icon,LevelUnlock,DeliveriesPerWeek,GlamourIndex,Unknown19,Unknown20
0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,False,False,False,1,5703,12868,12865,90,1,1,1,False,True,True,2,5688,14140,14139,480,1,1,1,False,True,True,3,5698,5708,12870,780,1,1,1,False,False,True,4,5693,5713,12863,1080,1,1,1,False,False,True,5,0,0,0,0,0,0,0,False,False,False,0,0,65536,61661,101,65536,61661,101,65536,61661,101,65536,61661,101,65536,61661,101,65536,6679133,1019615,67087,61661,55,6,1,0,0
2,0,0,0,0,0,0,0,0,False,False,False,6,18025,12868,12865,90,1,3,3,False,True,True,7,18022,14140,14139,480,1,3,3,False,True,True,8,18024,18026,12870,780,1,1,3,False,False,True,9,18023,18027,12863,1080,1,1,3,False,False,True,10,0,0,0,0,0,0,0,False,False,False,0,0,65536,61662,102,65536,61662,102,65536,61662,102,65536,61662,102,65536,61662,102,65536,6829441,1020337,68541,61662,60,6,99,0,0
3,0,0,0,0,0,0,0,0,False,False,False,11,18025,12868,12865,90,1,3,3,False,True,True,12,18022,14140,14139,480,1,3,3,False,True,True,13,18024,18026,12870,780,1,1,3,False,False,True,14,18023,18027,12863,1080,1,1,3,False,False,True,15,0,0,0,0,0,0,0,False,False,False,0,0,65536,61663,103,65536,61663,103,65536,61663,103,65536,61663,103,65536,61663,103,65536,7443185,1025878,68675,61663,62,6,0,0,0
4,0,0,0,0,0,0,0,0,False,False,False,16,18025,19826,19830,90,1,3,3,False,True,True,17,18022,19834,19839,480,1,3,3,False,True,True,18,18024,18026,23187,780,1,1,3,False,False,True,19,18023,18027,23185,1080,1,1,3,False,False,True,20,0,0,0,0,0,0,0,False,False,False,0,0,65536,61664,104,65536,61664,104,65536,61664,104,65536,61664,104,65536,61664,104,65536,6563184,1018393,68713,61664,66,6,2,0,0
5,0,0,0,0,0,0,0,0,False,False,False,21,18025,27864,27865,90,1,3,3,False,True,True,22,18022,27870,27871,480,1,3,3,False,True,True,23,18024,18026,27876,780,1,1,3,False,False,True,24,18023,18027,27878,1080,1,1,3,False,False,True,25,0,0,0,0,0,0,0,False,False,False,0,0,65536,61665,105,65536,61665,105,65536,61665,105,65536,61665,105,65536,61665,105,65536,8139756,1031801,69265,61665,70,6,3,0,0
6,0,0,0,0,0,0,0,0,False,False,False,26,18025,27864,27865,90,1,3,3,False,True,True,27,18022,27870,27871,480,1,3,3,False,True,True,28,18024,18026,27876,780,1,1,3,False,False,True,29,18023,18027,27878,1080,1,1,3,False,False,True,30,0,0,0,0,0,0,0,False,False,False,0,0,65536,61666,106,65536,61666,106,65536,61667,107,65536,61667,107,65536,61668,108,69426,8370121,1033543,69425,0,70,6,99,3,4
7,0,0,0,0,0,0,0,0,False,False,False,31,18025,27864,27865,90,1,3,3,False,True,True,32,18022,27870,27871,480,1,3,3,False,True,True,33,18024,18026,27876,780,1,1,3,False,False,True,34,18023,18027,27878,1080,1,1,3,False,False,True,35,0,0,0,0,0,0,0,False,False,False,0,0,65536,61669,109,65536,61669,109,65536,61669,109,65536,61669,109,65536,61669,109,65536,8658159,1035211,69615,61669,70,6,4,5,5
8,0,0,0,0,0,0,0,0,False,False,False,36,26735,36046,36047,90,1,3,3,False,True,True,37,26732,36053,36054,480,1,3,3,False,True,True,38,26734,26736,36060,780,1,1,3,False,False,True,39,26733,26737,36061,1080,1,1,3,False,False,True,40,0,0,0,0,0,0,0,False,False,False,0,0,65536,61670,110,65536,61670,110,65536,61670,110,65536,61670,110,65536,61670,110,65536,9083528,1042241,70059,61670,80,6,5,6,7
9,0,0,0,0,0,0,0,0,False,False,False,41,26735,36046,36047,90,1,3,3,False,True,True,42,26732,36053,36054,480,1,3,3,False,True,True,43,26734,26736,36060,780,1,1,3,False,False,True,44,26733,26737,36061,1080,1,1,3,False,False,True,45,0,0,0,0,0,0,0,False,False,False,0,0,65536,61671,111,65536,61671,111,65536,61671,111,65536,61671,111,65536,61672,112,70252,9562746,1044547,70251,0,80,6,6,8,9
