#,Max[0],Max[1],Max[2],MaxHQ[0],MaxHQ[1],MaxHQ[2],EXPBonusPercent,BaseParam[0],BaseParam[1],BaseParam[2],Value[0],Value[1],Value[2],ValueHQ[0],ValueHQ[1],ValueHQ[2],IsRelative[0],IsRelative[1],IsRelative[2]
0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,False,False,False
1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,False,False,False
2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,False,False,False
3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,False,False,False
4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,False,False,False
5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,False,False,False
6,12,0,0,15,0,0,3,5,0,0,16,0,0,20,0,0,True,False,False
7,12,0,0,15,0,0,3,4,0,0,16,0,0,20,0,0,True,False,False
8,12,0,0,15,0,0,3,2,0,0,16,0,0,20,0,0,True,False,False
9,12,0,0,15,0,0,3,3,0,0,16,0,0,20,0,0,True,False,False
10,12,0,0,15,0,0,3,1,0,0,16,0,0,20,0,0,True,False,False
11,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,False,False,False
12,27,0,0,34,0,0,3,5,0,0,16,0,0,20,0,0,True,False,False
13,27,0,0,34,0,0,3,4,0,0,16,0,0,20,0,0,True,False,False
14,27,0,0,34,0,0,3,2,0,0,16,0,0,20,0,0,True,False,False
15,28,0,0,35,0,0,3,3,0,0,16,0,0,20,0,0,True,False,False
16,27,0,0,34,0,0,3,1,0,0,16,0,0,20,0,0,True,False,False
17,22,0,0,27,0,0,3,37,0,0,16,0,0,20,0,0,True,False,False
18,22,0,0,27,0,0,3,42,0,0,16,0,0,20,0,0,True,False,False
19,22,0,0,27,0,0,3,39,0,0,16,0,0,20,0,0,True,False,False
20,22,0,0,27,0,0,3,40,0,0,16,0,0,20,0,0,True,False,False
21,22,0,0,27,0,0,3,41,0,0,16,0,0,20,0,0,True,False,False
22,22,0,0,27,0,0,3,38,0,0,16,0,0,20,0,0,True,False,False
23,34,34,34,34,34,34,3,1,2,4,20,20,20,20,20,20,True,True,True
24,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,False,False,False
25,49,0,0,61,0,0,3,5,0,0,16,0,0,20,0,0,True,False,False
26,49,0,0,61,0,0,3,4,0,0,16,0,0,20,0,0,True,False,False
27,49,0,0,61,0,0,3,2,0,0,16,0,0,20,0,0,True,False,False
28,50,0,0,62,0,0,3,3,0,0,16,0,0,20,0,0,True,False,False
29,49,0,0,61,0,0,3,1,0,0,16,0,0,20,0,0,True,False,False
30,37,0,0,46,0,0,3,37,0,0,16,0,0,20,0,0,True,False,False
31,37,0,0,46,0,0,3,42,0,0,16,0,0,20,0,0,True,False,False
32,37,0,0,46,0,0,3,39,0,0,16,0,0,20,0,0,True,False,False
33,37,0,0,46,0,0,3,40,0,0,16,0,0,20,0,0,True,False,False
34,37,0,0,46,0,0,3,41,0,0,16,0,0,20,0,0,True,False,False
35,37,0,0,46,0,0,3,38,0,0,16,0,0,20,0,0,True,False,False
36,67,0,0,84,0,0,3,5,0,0,16,0,0,20,0,0,True,False,False
37,67,0,0,84,0,0,3,4,0,0,16,0,0,20,0,0,True,False,False
38,67,0,0,84,0,0,3,2,0,0,16,0,0,20,0,0,True,False,False
39,70,0,0,87,0,0,3,3,0,0,16,0,0,20,0,0,True,False,False
40,67,0,0,84,0,0,3,1,0,0,16,0,0,20,0,0,True,False,False
41,64,0,0,80,0,0,3,37,0,0,16,0,0,20,0,0,True,False,False
42,64,0,0,80,0,0,3,42,0,0,16,0,0,20,0,0,True,False,False
43,64,0,0,80,0,0,3,39,0,0,16,0,0,20,0,0,True,False,False
44,64,0,0,80,0,0,3,40,0,0,16,0,0,20,0,0,True,False,False
45,64,0,0,80,0,0,3,41,0,0,16,0,0,20,0,0,True,False,False
46,64,0,0,80,0,0,3,38,0,0,16,0,0,20,0,0,True,False,False
47,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,False,False,False
48,0,0,0,0,0,0,3,3,0,0,1,0,0,1,0,0,False,False,False
49,0,0,0,0,0,0,3,3,0,0,1,0,0,1,0,0,False,False,False
50,2,0,0,3,0,0,3,3,0,0,8,0,0,10,0,0,True,False,False
51,2,0,0,3,0,0,3,3,0,0,8,0,0,10,0,0,True,False,False
52,8,0,0,10,0,0,3,3,0,0,8,0,0,10,0,0,True,False,False
53,10,0,0,12,0,0,3,3,0,0,8,0,0,10,0,0,True,False,False
54,0,0,0,0,0,0,3,44,3,22,1,1,1,1,1,1,False,False,False
55,3,3,3,4,4,4,3,44,3,22,8,8,8,10,10,10,True,True,True
56,6,6,5,7,7,6,3,44,3,22,8,8,8,10,10,10,True,True,True
57,8,9,7,10,11,9,3,44,3,22,8,8,8,10,10,10,True,True,True
58,10,10,9,13,13,11,3,44,3,22,8,8,8,10,10,10,True,True,True
59,13,12,10,16,15,13,3,44,3,27,8,8,8,10,10,10,True,True,True
60,14,15,11,17,19,14,3,44,3,27,8,8,8,10,10,10,True,True,True
61,0,0,0,0,0,0,3,6,3,22,1,1,1,1,1,1,False,False,False
62,3,3,3,4,4,4,3,6,3,46,8,8,8,10,10,10,True,True,True
63,4,4,4,5,5,5,3,6,3,46,8,8,8,10,10,10,True,True,True
64,8,9,7,10,11,9,3,6,3,46,8,8,8,10,10,10,True,True,True
