#,Unknown0,Unknown1,Unknown2,Category,Unknown3
0,3,0,1,0,1
1,3,1,1,0,11
2,3,2,1,0,2
3,3,3,1,0,3
4,3,4,1,0,4
5,3,5,1,0,5
6,3,6,1,0,6
7,3,7,1,0,7
8,3,8,1,0,8
9,3,9,1,0,12
10,3,10,1,0,13
11,3,11,1,0,9
12,3,12,1,0,10
13,3,13,1,0,14
14,3,14,1,0,15
15,3,15,1,0,16
16,3,16,1,0,19
17,3,17,1,0,20
18,3,18,1,0,21
19,3,19,1,0,17
20,3,20,1,0,18
21,3,21,1,0,25
22,3,22,1,0,26
23,3,23,1,0,27
24,3,24,1,0,22
25,3,25,1,0,23
26,3,26,1,0,24
27,25,27,0,1,100
28,25,28,0,1,101
29,25,29,0,1,102
30,25,30,0,1,103
31,25,31,0,1,104
32,5,42,0,2,150
33,4,43,0,2,151
34,6,44,0,2,152
35,4,45,0,2,153
36,6,46,0,2,154
37,6,47,0,2,155
38,6,48,0,2,156
39,6,49,0,2,157
40,5,50,0,2,158
41,6,51,0,2,159
42,12,52,0,3,200
43,12,53,0,3,201
44,12,54,0,3,202
45,12,55,0,3,203
46,12,56,0,3,204
47,12,57,0,3,205
48,12,58,0,3,206
49,12,59,0,3,207
50,12,60,0,3,208
51,3,67,1,0,29
52,3,68,1,0,30
53,3,69,1,0,31
54,3,70,1,0,32
55,3,71,1,0,28
56,6,74,0,2,160
57,6,75,0,2,161
58,3,76,1,0,33
59,3,77,1,0,36
60,3,78,1,0,34
61,3,79,1,0,37
62,3,80,1,0,38
63,3,81,1,0,35
64,3,82,1,0,39
65,25,83,0,1,105
66,6,88,0,2,162
67,6,89,0,2,163
68,6,90,0,2,164
69,6,91,0,2,165
70,3,92,1,0,40
71,3,93,1,0,41
72,3,94,1,0,42
73,3,95,1,0,43
74,3,96,1,0,44
75,6,101,0,2,166
76,6,102,0,2,167
77,6,103,0,2,168
78,6,104,0,2,169
