#,Quality,SuggestedCraftsmanship,Difficulty,Durability,ConditionsFlag,ClassJobLevel,Stars,ProgressDivider,QualityDivider,ProgressModifier,QualityModifier
0,100,10000,100,100,15,0,0,50,30,100,100
1,100,22,19,60,15,1,0,50,30,100,100
2,110,22,20,60,15,2,0,50,30,100,100
3,120,22,20,60,15,3,0,50,30,100,100
4,130,22,21,60,15,4,0,50,30,100,100
5,150,50,33,60,15,5,0,50,30,100,100
6,170,50,36,60,15,6,0,50,30,100,100
7,190,50,37,60,15,7,0,50,30,100,100
8,210,59,41,60,15,8,0,50,30,100,100
9,230,59,42,60,15,9,0,50,30,100,100
10,250,59,45,60,15,10,0,50,30,100,100
11,270,67,48,60,15,11,0,50,30,100,100
12,290,67,53,60,15,12,0,50,30,100,100
13,310,67,54,60,15,13,0,50,30,100,100
14,330,67,54,60,15,14,0,50,30,100,100
15,360,67,55,70,15,15,0,50,30,100,100
16,390,78,63,70,15,16,0,50,30,100,100
17,420,78,66,70,15,17,0,50,30,100,100
18,450,78,67,70,15,18,0,50,30,100,100
19,480,82,68,70,15,19,0,50,30,100,100
20,510,94,74,70,15,20,0,50,30,100,100
21,540,94,75,70,15,21,0,50,30,100,100
22,570,94,75,70,15,22,0,50,30,100,100
23,600,99,79,70,15,23,0,50,30,100,100
24,630,99,85,70,15,24,0,50,30,100,100
25,660,99,89,70,15,25,0,50,30,100,100
26,690,99,90,70,15,26,0,50,30,100,100
27,720,99,91,70,15,27,0,50,30,100,100
28,760,106,100,70,15,28,0,50,30,100,100
29,800,106,101,70,15,29,0,50,30,100,100
30,850,106,102,70,15,30,0,50,30,100,100
31,900,121,106,80,15,31,0,50,30,100,100
32,950,121,110,80,15,32,0,50,30,100,100
33,1000,121,111,80,15,33,0,50,30,100,100
34,1050,129,115,80,15,34,0,50,30,100,100
35,1110,129,123,80,15,35,0,50,30,100,100
36,1160,129,124,80,15,36,0,50,30,100,100
37,1220,129,128,80,15,37,0,50,30,100,100
38,1280,129,129,80,15,38,0,50,30,100,100
39,1340,136,137,80,15,39,0,50,30,100,100
40,1400,136,138,80,15,40,0,50,30,100,100
41,1460,136,143,80,15,41,0,50,30,100,100
42,1520,150,144,80,15,42,0,50,30,100,100
43,1580,150,155,80,15,43,0,50,30,100,100
44,1640,150,156,80,15,44,0,50,30,100,100
45,1700,150,158,80,15,45,0,50,30,100,100
46,1760,150,159,80,15,46,0,50,30,100,100
47,1820,161,167,80,15,47,0,50,30,100,100
48,1880,161,172,80,15,48,0,50,30,100,100
49,1940,161,174,80,15,49,0,50,30,100,100
50,2000,176,180,80,15,50,0,50,30,100,100
51,2040,281,185,80,15,50,0,50,30,100,100
52,2080,291,190,80,15,50,0,50,30,100,100
53,2120,302,195,80,15,50,0,50,30,100,100
54,2160,314,200,80,15,50,0,50,30,100,100
55,2200,325,210,80,15,50,1,50,30,100,100
56,2220,325,212,80,15,50,1,50,30,100,100
57,2240,325,214,80,15,50,1,50,30,100,100
58,2260,325,216,80,15,50,1,50,30,100,100
59,2280,325,218,80,15,50,1,50,30,100,100
60,2300,325,220,80,15,50,1,50,30,100,100
61,2320,325,223,80,15,50,1,50,30,100,100
62,2340,325,226,80,15,50,1,50,30,100,100
63,2360,325,229,80,15,50,1,50,30,100,100
64,2380,325,232,80,15,50,1,50,30,100,100
65,2400,325,235,80,15,50,1,50,30,100,100
66,2420,325,238,80,15,50,1,50,30,100,100
67,2440,325,241,80,15,50,1,50,30,100,100
68,2460,325,244,80,15,50,1,50,30,100,100
69,2480,325,247,80,15,50,1,50,30,100,100
70,2500,325,250,80,15,50,2,50,30,80,70
71,2512,329,258,80,15,50,2,50,30,80,70
72,2524,332,266,80,15,50,2,50,30,80,70
73,2536,335,274,80,15,50,2,50,30,80,70
74,2548,339,282,80,15,50,2,50,30,80,70
75,2560,342,290,80,15,50,2,50,30,80,70
76,2572,345,298,80,15,50,2,50,30,80,70
77,2584,349,306,80,15,50,2,50,30,80,70
78,2596,352,314,80,15,50,2,50,30,80,70
79,2608,355,322,80,15,50,2,50,30,80,70
