#,Name,Description,Icon,Value,ChocoboRaceAbilityType
0,,,0,0,0
1,Choco Dash,"Temporarily boosts speed without depleting stamina.
**Duration: ** 1s",70001,1,1
2,Choco Dash II,"Temporarily boosts speed without depleting stamina.
**Duration: ** 2s",70002,2,1
3,Choco Dash III,"Temporarily boosts speed without depleting stamina.
**Duration: ** 3s",70003,3,1
4,Choco Cure,Restores 6% of total stamina.,70004,6,2
5,Choco Cure II,Restores 9% of total stamina.,70005,9,2
6,Choco Cure III,Restores 12% of total stamina.,70006,12,2
7,Choco Esuna,Removes all current enfeeblements with a 75% success rate.,70007,75,3
8,Choco Esuna II,Removes all current enfeeblements with a 90% success rate.,70008,90,3
9,Choco Esuna III,Removes all current enfeeblements with a 100% success rate.,70009,100,3
10,Choco Ease,Cures Heavy status while restoring stamina by 80.,70010,80,4
11,Choco Ease II,Cures Heavy status while restoring stamina by 130.,70011,130,4
12,Choco Ease III,Cures Heavy status while restoring stamina by 180.,70012,180,4
13,Choco Calm,Cures Frenzied status while restoring stamina by 100.,70013,100,5
14,Choco Calm II,Cures Frenzied status while restoring stamina by 150.,70014,150,5
15,Choco Calm III,Cures Frenzied status while restoring stamina by 200.,70015,200,5
16,Choco Reflect,"Repels any non-area of effect enfeeblement back to its point of origin.
**Duration: ** 10s",70016,10,6
17,Choco Reflect II,"Repels any non-area of effect enfeeblement back to its point of origin.
**Duration: ** 15s",70017,15,6
18,Choco Reflect III,"Repels any non-area of effect enfeeblement back to its point of origin.
**Duration: ** 20s",70018,20,6
19,Choco Steal,Take an item from the satchel of the forerunning jockey with a 50% success rate.,70019,50,7
20,Choco Steal II,Take an item from the satchel of the forerunning jockey with a 70% success rate.,70020,70,7
21,Choco Steal III,Take an item from the satchel of the forerunning jockey with a 90% success rate.,70021,90,7
22,Choco Silence,"Creates a vacuum of silence preventing any nearby chocobo from using abilities.
**Duration: ** 35s",70022,35,8
23,Choco Silence II,"Creates a vacuum of silence preventing any nearby chocobo from using abilities.
**Duration: ** 40s",70023,40,8
24,Choco Silence III,"Creates a vacuum of silence preventing any nearby chocobo from using abilities.
**Duration: ** 45s",70024,45,8
