#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10
0,,0,0,0,0,0,0,0,0,0,0
1,,0,0,0,0,0,0,0,0,0,0
2,,12122044,180,300,63990,0,0,45127,42039,42038,1
3,,12122046,0,300,63990,0,0,45127,42039,42038,1
4,,12122047,0,300,63990,0,0,45127,42039,42038,1
5,,12122048,0,300,63990,0,0,45127,42039,42038,1
6,,12122049,0,300,63990,0,0,45127,42039,42038,1
7,,12122050,0,300,63990,0,0,45127,42039,42038,1
8,,12122051,0,300,63990,0,0,45127,42039,42038,1
9,,12122053,0,300,63990,0,0,45127,42039,42038,1
10,,12122054,0,300,63990,0,0,45127,42039,42038,1
