#,MapOffsetX,MapOffsetY,Location
0.0,0,0,0
1.0,0,0,4512071
1.1,0,0,4520393
1.2,0,0,4520394
1.3,0,0,4512095
1.4,0,0,4520424
1.5,0,0,4520426
1.6,0,0,4512105
1.7,0,0,4520449
1.8,0,0,4520451
1.9,0,0,4512117
1.10,0,0,4520460
1.11,0,0,4520462
1.12,0,0,4512320
1.13,0,0,4520494
1.14,0,0,4520504
1.15,0,0,4517195
1.16,0,0,4520505
1.17,0,0,4520506
1.18,0,0,4512323
1.19,0,0,4520517
1.20,0,0,4520518
1.21,0,0,4512324
1.22,0,0,4520525
1.23,0,0,4520526
1.24,0,0,4512325
1.25,0,0,4520535
1.26,0,0,4520540
1.27,0,0,4512326
1.28,0,0,4520566
1.29,0,0,4520567
1.30,0,0,4512327
1.31,0,0,4520608
1.32,0,0,4520609
1.33,0,0,4512328
1.34,0,0,4520619
1.35,0,0,4520618
1.36,0,0,4512329
1.37,0,0,4520628
1.38,0,0,4520629
1.39,0,0,4515973
1.40,0,0,4520638
1.41,0,0,4520639
1.42,0,0,4512332
1.43,0,0,4520585
1.44,0,0,4520586
2.0,0,0,4515589
2.1,0,0,4520395
2.2,0,0,4520396
2.3,0,0,4515574
2.4,0,0,4520428
2.5,0,0,4520430
2.6,0,0,4515559
2.7,0,0,4520452
2.8,0,0,4520453
2.9,0,0,4515549
2.10,0,0,4520463
2.11,0,0,4520465
2.12,0,0,4517140
2.13,0,0,4520496
2.14,0,0,4520497
2.15,0,0,4517187
2.16,0,0,4520513
2.17,0,0,4520514
2.18,0,0,4517210
2.19,0,0,4520515
2.20,0,0,4520516
2.21,0,0,4517214
2.22,0,0,4520527
2.23,0,0,4520528
2.24,0,0,4517328
2.25,0,0,4520541
2.26,0,0,4520544
2.27,0,0,4517358
2.28,0,0,4520568
2.29,0,0,4520569
2.30,0,0,4515924
2.31,0,0,4520610
2.32,0,0,4520611
2.33,0,0,4515958
2.34,0,0,4520621
2.35,0,0,4520620
2.36,0,0,4515556
2.37,0,0,4520630
2.38,0,0,4520631
2.39,0,0,4512331
2.40,0,0,4520640
2.41,0,0,4520641
2.42,0,0,4517368
2.43,0,0,4520587
2.44,0,0,4520588
3.0,0,0,4515590
3.1,0,0,4520398
3.2,0,0,4520403
3.3,0,0,4515575
3.4,0,0,4520434
3.5,0,0,4520435
3.6,0,0,4515560
3.7,0,0,4520454
3.8,0,0,4520455
3.9,0,0,4515551
3.10,0,0,4520466
3.11,0,0,4520467
3.12,0,0,4517144
3.13,0,0,4520498
3.14,0,0,4520499
3.15,0,0,4517188
3.16,0,0,4520507
3.17,0,0,4520508
3.18,0,0,4517211
3.19,0,0,4520519
3.20,0,0,4520520
3.21,0,0,4517215
3.22,0,0,4520529
3.23,0,0,4520530
3.24,0,0,4517329
3.25,0,0,4520545
3.26,0,0,4520549
3.27,0,0,4517360
3.28,0,0,4520571
3.29,0,0,4520572
3.30,0,0,4515929
3.31,0,0,4520614
3.32,0,0,4520612
