key,0,1,2,3,4,5,6
#,Item,Sort,Tool,X,Y,Radius,Map
int32,Item,byte,MJIGatheringTool,int16,int16,uint16,byte
0,0,0,0,0,0,0,0
1,37551,0,0,20,0,100,0
2,37552,21,1,194,72,100,0
3,37553,6,0,215,82,100,0
4,37554,8,0,-22,-46,80,0
5,37555,9,0,-58,-694,150,0
6,37556,10,0,765,16,100,0
7,37557,11,0,765,16,100,0
8,37558,2,0,-248,-592,100,0
9,37559,5,0,236,88,75,0
10,37560,23,1,215,82,100,0
11,37561,24,1,20,0,100,0
12,37562,1,0,194,72,100,0
13,37563,7,0,144,11,100,0
14,37564,42,2,619,213,80,0
15,37565,41,2,-22,-46,80,0
16,37566,43,2,685,-156,75,0
17,37567,81,4,-9,-344,75,0
18,37568,82,4,476,246,75,0
19,37569,83,4,556,-11,100,0
20,37570,61,3,236,89,75,0
21,37571,62,3,12,-140,75,0
22,37572,121,6,489,-249,100,0
23,37573,123,6,392,-360,200,0
24,37574,122,6,603,-667,125,0
25,37575,101,5,-58,-694,150,0
26,37576,102,5,765,16,100,0
27,37577,103,5,765,16,100,0
28,37583,63,3,-248,-592,100,0
29,37584,3,0,-25,-198,75,0
30,37591,64,3,-224,-460,100,0
31,37586,4,0,35,110,75,0
32,39224,140,7,215,82,100,0
33,39225,141,7,20,0,100,0
34,39226,142,7,194,72,100,0
35,39227,143,7,144,11,100,0
36,39228,130,0,194,-384,75,0
37,39887,151,2,405,-238,80,1
38,39888,155,8,405,-238,80,1
39,39889,150,0,458,-370,80,1
40,39890,153,8,-22,-46,80,0
41,39891,154,8,619,213,80,0
42,39892,152,2,304,-269,80,1
43,39893,156,8,304,-269,80,1
44,41630,161,9,489,-249,100,0
45,41631,160,6,276,-133,75,1
46,41632,162,9,276,-133,75,1
47,41633,163,0,276,-133,75,1
48,41634,164,10,276,-133,75,1
