key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
#,,,,,,,,,,,,,,,,,,,,,,,
int32,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint32,uint32,uint32
0,800,230,239,240,231,232,233,236,237,238,234,219,219,219,220,220,220,220,220,220,7585386,7585387,7585388
1,800,230,239,240,231,232,233,236,237,238,234,219,219,219,220,220,220,220,220,220,7585386,7585387,7585388
2,800,230,239,240,231,232,233,236,237,238,234,219,219,219,220,220,220,220,220,220,7585386,7585387,7585388
3,800,230,239,240,231,232,233,236,237,238,234,219,219,219,220,220,220,220,220,220,7583672,7583673,7583674
4,800,230,239,240,231,232,233,236,237,238,234,219,219,219,220,220,220,220,220,220,7583672,7583673,7583674
5,800,230,239,240,231,232,233,236,237,238,234,219,219,219,220,220,220,220,220,220,7583672,7583673,7583674
6,800,230,239,240,231,232,233,236,237,238,234,219,219,219,220,220,220,220,220,220,11483821,11483819,11483820
7,800,230,239,240,231,232,233,236,237,238,234,219,219,219,220,220,220,220,220,220,11483821,11483819,11483820
8,800,230,239,240,231,232,233,236,237,238,234,219,219,219,220,220,220,220,220,220,11483821,11483819,11483820
9,800,230,239,240,231,232,233,236,237,238,234,219,219,219,722,722,722,722,722,722,8141384,8141385,8141386
10,800,230,239,240,231,232,233,236,237,238,234,219,219,219,722,722,722,722,722,722,12119293,12119294,12119295
