#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6
0.0,0,0,0,0,0,0,0
0.65535,0,0,0,0,0,0,0
1.0,1052585,73279,0,1007,3,6,1
1.1,1052585,73279,0,1008,3,6,1
1.2,1052585,73279,0,1009,3,6,1
1.10,1052585,73279,0,1006,3,6,1
1.20,1052585,73279,0,1010,3,6,1
1.21,1052585,73279,0,1082,3,6,1
1.30,1052585,73279,0,1011,3,6,1
1.40,1052585,73279,0,1012,3,6,1
1.50,1052585,73279,0,1013,3,6,1
1.60,1052585,73279,0,1014,3,6,1
1.70,1052585,73279,0,1015,3,6,1
1.100,1052585,73279,0,1114,3,6,1
1.101,1052585,73279,0,1115,3,6,1
1.102,1052585,73279,0,1116,3,6,1
2.0,0,0,0,0,0,0,0
3.0,0,0,0,0,0,0,0
4.0,1052585,73279,0,1039,3,6,1
4.1,1052585,73279,0,1040,3,6,1
4.2,1052585,73279,0,1041,3,6,1
4.10,1052585,73279,0,1042,3,6,1
4.20,1052585,73279,0,1043,3,6,1
4.21,1052585,73279,0,1083,3,6,1
4.30,1052585,73279,0,1044,3,6,1
4.40,1052585,73279,0,1045,3,6,1
4.50,1052585,73279,0,1046,3,6,1
4.60,1052585,73279,0,1047,3,6,1
4.70,1052585,73279,0,1048,3,6,1
4.100,1052585,73279,0,1117,3,6,1
4.101,1052585,73279,0,1118,3,6,1
4.102,1052585,73279,0,1119,3,6,1
5.0,0,0,0,0,0,0,0
6.0,0,0,0,1007,3,4,1
7.0,0,0,0,0,0,0,0
8.0,0,0,0,0,0,0,0
9.0,0,0,0,0,0,0,0
10.0,0,0,0,0,0,0,0
11.0,1050574,0,0,1024,3,12,1
12.0,1050574,0,0,1025,3,12,1
13.0,1050574,0,0,101,3,12,1
14.0,1050574,0,0,102,3,12,1
15.0,1050574,0,0,103,3,12,1
16.0,1050574,0,0,1029,3,12,1
17.0,1050574,0,0,1030,3,12,1
18.0,1052594,0,0,1056,3,6,1
18.1,1052594,0,0,1057,3,6,1
18.2,1052594,0,0,1058,3,6,1
18.3,1052594,0,0,1059,3,6,1
18.4,1052594,0,0,1060,3,6,1
18.5,1052594,0,0,1061,3,6,1
18.6,1052594,0,0,1062,3,6,1
18.7,1052594,0,0,1063,3,6,1
18.8,1052594,0,0,1064,3,6,1
18.9,1052594,0,0,1065,3,6,1
18.10,1052594,0,0,1066,3,6,1
18.11,1052594,0,0,1067,3,6,1
18.12,1052594,0,0,1068,3,6,1
18.13,1052594,0,0,1069,3,6,1
18.14,1052594,0,0,1070,3,6,1
18.15,1052594,0,0,1071,3,6,1
18.16,1052594,0,0,1072,3,6,1
18.17,1052594,0,0,1073,3,6,1
18.18,1052594,0,0,1074,3,6,1
19.0,1050574,0,0,1024,3,12,1
20.0,1050574,0,0,1077,3,12,1
21.0,1050574,0,0,101,3,12,1
22.0,1050574,0,0,102,3,12,1
23.0,1050574,0,0,103,3,12,1
24.0,1050574,0,0,1075,3,12,1
25.0,1050574,0,0,1078,3,12,1
26.0,1050574,0,0,101,3,12,1
27.0,1050574,0,0,102,3,12,1
28.0,1050574,0,0,103,3,12,1
29.0,1050574,0,0,1075,3,12,1
30.0,1050574,0,0,1079,3,12,1
31.0,1050574,0,0,101,3,12,1
32.0,1050574,0,0,102,3,12,1
33.0,1050574,0,0,103,3,12,1
34.0,1050574,0,0,1076,3,12,1
35.0,1050574,0,0,1080,3,12,1
36.0,1050574,0,0,101,3,12,1
37.0,1050574,0,0,102,3,12,1
38.0,1050574,0,0,103,3,12,1
39.0,1050574,0,0,1076,3,12,1
40.0,1050574,0,0,1081,3,12,1
41.0,1050574,0,0,101,3,12,1
42.0,1050574,0,0,102,3,12,1
43.0,1050574,0,0,103,3,12,1
