#,Name,InclusionShopSeries,ClassJobCategory
0,,0,0
1,Tank,1,75
2,Melee DPS (DRG/RPR),2,76
3,Melee DPS (MNK/SAM),3,77
4,Physical Ranged DPS,4,78
5,Melee DPS (NIN/VPR),5,104
6,Healer,6,80
7,Magical Ranged DPS,7,79
8,Combat Supplies,8,0
9,Crafter,9,33
10,Crafting Supplies,10,0
11,Gatherer,11,32
12,Gathering Supplies,12,0
13,Tank,13,75
14,Melee DPS (DRG/RPR),14,76
15,Melee DPS (MNK/SAM),15,77
16,Physical Ranged DPS,16,78
17,Melee DPS (NIN/VPR),17,104
18,Healer,18,80
19,Magical Ranged DPS,19,79
20,Combat Supplies,20,0
21,Crafter,21,33
22,Crafting Supplies,22,0
23,Gatherer,23,32
24,Gathering Supplies,24,0
25,Tank,25,75
26,Melee DPS (DRG/RPR),26,76
27,Melee DPS (MNK/SAM),27,77
28,Physical Ranged DPS,28,78
29,Melee DPS (NIN/VPR),29,104
30,Healer,30,80
31,Magical Ranged DPS,31,79
32,Combat Supplies,32,0
33,Crafter,33,33
34,Crafting Supplies,34,0
35,Gatherer,35,32
36,Gathering Supplies,36,0
37,Tank,37,75
38,Melee DPS (DRG/RPR),38,76
39,Melee DPS (MNK/SAM),39,77
40,Physical Ranged DPS,40,78
41,Melee DPS (NIN/VPR),41,104
42,Healer,42,80
43,Magical Ranged DPS,43,79
44,Combat Supplies,44,0
45,Crafter,45,33
46,Crafting Supplies,46,0
47,Gatherer,47,32
48,Gathering Supplies,48,0
49,Crafters' Scrip (Gear),49,0
50,Crafters' Scrip (Master Recipes/Materials/Misc.),50,33
51,Gatherers' Scrip (Gear),51,0
52,Gatherers' Scrip (Regional Folklore/Materials/Misc.),52,32
53,Crafters' Scrip (Materia),53,33
54,Gatherers' Scrip (Materia),54,32
55,Crafters' Scrip (Gear),55,0
56,Crafters' Scrip (Master Recipes/Materials/Misc.),56,0
57,Gatherers' Scrip (Gear),57,0
58,Gatherers' Scrip (Regional Folklore/Materials/Misc.),58,0
59,Crafters' Scrip (Gear),59,0
60,Crafters' Scrip (Master Recipes/Materials/Misc.),60,0
61,Gatherers' Scrip (Gear),61,0
62,Gatherers' Scrip (Regional Folklore/Materials/Misc.),62,0
63,Wolf Marks (DoW Weapons),63,0
64,Wolf Marks (DoM Weapons),64,0
65,Wolf Marks (DoW Gear),65,0
66,Wolf Marks (DoM Gear),66,0
67,Wolf Marks (Other),67,1
68,,0,0
69,,0,0
70,Crafters' Scrip (Gear),70,0
71,Crafters' Scrip (Master Recipes/Materials/Misc.),71,0
72,Gatherers' Scrip (Gear),72,0
73,Gatherers' Scrip (Regional Folklore/Materials/Misc.),73,0
74,Tank,74,75
75,Melee DPS (DRG/RPR),75,76
76,Melee DPS (MNK/SAM),76,77
77,Melee DPS (NIN/VPR),77,104
78,Physical Ranged DPS,78,78
79,Healer,80,80
80,Magical Ranged DPS,79,79
81,Combat Supplies,81,0
82,Crafter,82,33
83,Crafting Supplies,83,0
84,Gatherer,84,32
85,Gathering Supplies,85,0
86,,0,0
