#,Name,TextString,Unknown0,Unknown1,Unknown2,Unknown3,Color,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8
0,,,-1,-1,0,0,0,0,0,1,1,True
1,,,0,0,0,0,0,0,0,0,0,False
2,,,0,0,0,0,0,0,0,0,0,False
3,Corrupted Aether,ContentGaugeMax_negative,80,-1,0,0,4,2,0,1,1,True
4,Aether Transfer,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
5,Earthen Accord,ContentGaugeMax_negative,-1,-1,0,0,3,0,0,1,1,True
6,Funds,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
7,Alluring Embrace,ContentGaugeMax_negative,-1,-1,0,0,4,0,0,1,1,True
8,Mana,ContentGaugeMax_negative,-1,-1,0,0,3,0,0,1,1,True
9,Aethertrail Attunement,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
10,Emptiness,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
11,Fordola's Aether,ContentGaugeMax_negative,-1,-1,0,0,1,0,0,1,1,True
12,Mateus's Aether,ContentGaugeMax_negative,-1,-1,0,0,1,0,0,1,1,True
13,Aetherial Acceleration,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
14,Genbu's Focus,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
15,Affinity,,60,90,0,0,2,3,1,1,1,False
16,Down Gauge,ContentGaugeMax_positive,30,-1,0,0,3,2,0,-1,1,False
17,Suffering,ContentGaugeMax_negative,50,80,0,0,1,3,2,1,1,True
18,Monkey Magicks,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
19,Ultima Aether,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
20,Mana,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
21,Mana,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
22,Divine Epicness,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
23,Scarlet Melody,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
24,Midgardsormr's Aether,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
25,Meteor Impact,ContentGaugeMax_negative,80,-1,0,0,3,2,0,1,1,True
26,Dark Aether,ContentGaugeMax_negative,50,80,0,0,1,3,2,1,1,False
27,Electromagnetic Induction,ContentGaugeMax_negative,-1,-1,0,0,1,0,0,1,1,True
28,Holy Blade,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
29,Seiryu's Focus,ContentGaugeMax_negative,60,80,0,0,1,3,2,1,1,True
30,Barrier Strength,,30,50,0,0,2,3,1,1,1,False
31,Aether Transfer,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
32,Swordplay,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
33,Titania's Power,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
34,Immaculate Authority,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
35,Fervor of the Ancients,ContentGaugeMax_negative,100,-1,0,0,1,2,0,1,1,True
36,Charge,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
