#,Dialogue[0],Dialogue[1],Dialogue[2],Dialogue[3],Image,Level,UnlockQuest,UnlockLink,ContentFinderCondition,ContentType,Unknown6
0,0,0,0,0,0,0,0,0,0,0,False
1,15938,15916,15922,0,0,0,0,0,0,2,False
2,15938,15916,15922,0,0,0,0,0,0,4,False
3,15938,15916,15922,0,0,0,0,0,0,5,False
4,15938,15916,15923,15934,0,0,0,0,0,6,False
5,15905,15939,15958,0,0,0,0,0,0,21,False
6,15905,15939,15925,15959,112383,8267820,69379,0,0,31,False
7,15905,15939,15928,0,111044,0,65973,0,0,32,False
8,15905,15939,15946,0,111042,0,66747,0,0,9,False
9,15905,15939,15929,0,111041,0,0,99,0,33,False
10,15905,15939,15930,0,111043,0,66643,0,0,34,False
11,15905,15939,15924,15935,111046,0,65970,0,0,35,True
12,15905,15939,15927,0,111045,0,0,0,0,8,False
13,0,0,0,0,0,0,0,0,0,0,False
14,15944,15945,15943,0,111047,0,0,0,179,9,False
15,15905,15939,15948,0,0,0,0,0,283,26,False
16,15905,15939,15949,0,0,0,0,0,735,29,False
17,15953,15954,15947,0,112332,7735774,68734,0,610,27,False
18,15905,15939,15950,0,101184,9323110,70179,0,0,36,False
19,15905,15939,15961,0,111042,0,0,0,0,30,False
20,15905,15939,15967,0,111048,0,67634,0,0,25,False
21,15905,15939,15966,0,111049,0,66488,0,0,13,False
22,17033,17034,15913,0,112471,0,0,0,835,6,False
23,17031,17032,15969,0,112295,0,66101,0,0,19,False
24,15905,15939,15968,0,111050,6526530,67928,0,0,24,False
25,17035,17036,17037,0,112336,0,68737,0,0,19,False
26,15905,15939,17038,0,111051,0,0,0,0,11,False
27,15905,15939,17040,0,112593,0,0,0,1018,38,False
