#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5
0.0,0,0,0,0,0,0
1.0,0,0,0,0,0,0
2.0,0,0,0,0,0,0
2.1,0,0,0,0,0,0
3.0,0,0,0,0,0,0
3.1,0,0,0,0,0,0
3.2,0,0,0,0,0,0
4.0,0,0,0,0,0,0
4.1,0,0,0,0,0,0
4.2,0,0,0,0,0,0
4.3,0,0,0,0,0,0
5.0,0,0,0,0,0,0
5.1,0,0,0,0,0,0
5.2,0,0,0,0,0,0
5.3,0,0,0,0,0,0
5.4,0,0,0,0,0,0
6.0,-110.567,51,731.985,90.3793,1049007,34594
6.1,-122.789,54.2207,762.635,-101.554,1049008,34594
6.2,-221.424,51.06,742.485,133.74,1049009,34594
6.3,-108.477,51,736.138,-186.603,1049010,34884
6.4,-259.566,51,743.343,-175.078,1053200,0
6.5,-260.578,51.06,742.427,158.398,1053201,0
7.0,-110.567,51,731.985,90.3793,1049007,34595
7.1,-122.789,54.2207,762.635,-101.554,1049008,34596
7.2,-221.424,51.06,742.485,133.74,1049009,34597
7.3,-108.477,51,736.138,-186.603,1049010,34884
7.4,-259.566,51,743.343,-175.078,1053200,0
7.5,-260.578,51.06,742.427,158.398,1053201,0
8.0,-135.177,50.9737,750.054,-101.079,1048811,34629
8.1,-175.528,51,743.516,169.63,1049007,34598
8.2,-185.621,51.06,757.085,-4.87626,1049008,34598
8.3,-230.202,51.06,757.138,-7.0113,1049009,34598
8.4,-231.969,51.06,756.592,-7.07262,1049010,34885
8.5,-209.07,51.06,756.945,-77.1648,1048813,34599
8.6,-145.316,51,743.347,122.378,1048814,34599
8.7,-130.007,51,754.566,0,1049017,34621
8.8,-125.025,51.06,757.275,-6.00366,1048966,34599
8.9,-263.441,51,746.939,-69.4175,1048967,34600
8.10,-202.017,51,745.238,0,1049018,34622
8.11,-300.938,51,756.801,53.5572,1048968,34599
8.12,-238.118,50.9817,752.956,103.573,1048969,34600
8.13,-274.044,50.97,754.696,0,1049019,34623
8.14,-84.9692,51,768.053,-128.223,1049005,34638
8.15,-455.187,37.2904,-57.316,-179.547,1048812,34630
8.16,-472.295,38.0623,-70.0826,-162.598,1049006,34638
9.0,-107.025,51,769.093,186.259,1048811,34640
9.1,-456.485,37.7775,-72.2698,-124.446,1048812,34641
9.2,-110.567,51,731.985,90.3793,1049007,34594
9.3,-122.789,54.2207,762.635,-101.554,1049008,34594
9.4,-221.424,51.06,742.485,133.74,1049009,34594
9.5,-108.477,51,736.138,-186.603,1049010,34884
9.6,-104.309,51,766.051,-50.4878,1048813,34567
9.7,-106.028,51,765.484,-23.5955,1048814,34568
9.8,-103.869,51,768.714,-124.257,1048966,34569
9.9,-111.513,51,766.263,65.7526,1048967,34570
9.10,-111.702,51,768.637,105.96,1048968,34571
9.11,-108.931,51,765.401,36.5258,1048969,34572
10.0,-107.025,51,769.093,186.259,1048811,34643
10.1,-456.485,37.7775,-72.2698,-124.446,1048812,34644
