#,Quest,SatisfactionLevel,SatisfactionNpc,Unknown0
0.0,0,0,3,0
1.0,68714,4,6,1
1.1,68714,4,3,1
1.2,68714,4,3,2
1.3,68714,4,7,3
2.0,69266,4,6,1
2.1,69266,4,3,2
2.2,69266,4,7,3
3.0,69426,5,6,0
3.1,69426,5,3,3
4.0,69426,5,6,0
4.1,69426,5,3,1
4.2,69426,5,3,3
5.0,69616,4,6,1
5.1,69616,4,3,1
5.2,69616,4,3,2
5.3,69616,4,7,3
6.0,70060,4,6,0
6.1,70060,4,7,3
7.0,70060,4,6,0
7.1,70060,4,3,1
7.2,70060,4,7,3
8.0,70252,5,6,0
8.1,70252,5,3,3
9.0,70252,5,6,0
9.1,70252,5,3,1
9.2,70252,5,3,3
10.0,70352,5,6,0
10.1,70352,5,3,3
11.0,70352,5,6,0
11.1,70352,5,3,1
11.2,70352,5,3,3
12.0,70776,5,6,0
12.1,70776,5,3,3
13.0,70776,5,6,0
13.1,70776,5,3,1
13.2,70776,5,3,3
