#,Item[0],Item[1],Item[2],Item[3],Item[4],Item[5],Item[6],Item[7],Item[8],Count[0],Count[1],Count[2],Count[3],Count[4],Count[5],Count[6],Count[7],Count[8],IsHQ[0],IsHQ[1],IsHQ[2],IsHQ[3],IsHQ[4],IsHQ[5],IsHQ[6],IsHQ[7],IsHQ[8]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False
1,4,3,5380,0,0,0,0,0,0,3,3,2,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False
2,4,3,5380,0,0,0,0,0,0,7,7,5,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False
3,4,3,0,0,0,0,0,0,0,24,24,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False
4,4,3,5380,0,0,0,0,0,0,3,3,2,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False
5,4,3,5380,0,0,0,0,0,0,8,8,6,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False
6,4,3,0,0,0,0,0,0,0,28,28,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False
7,4,3,5383,0,0,0,0,0,0,4,4,3,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False
8,4,3,5383,0,0,0,0,0,0,10,10,7,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False
9,4,3,0,0,0,0,0,0,0,32,32,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False
10,4,3,5385,0,0,0,0,0,0,4,4,3,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False
11,4,3,5385,0,0,0,0,0,0,11,11,8,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False
12,4,3,0,0,0,0,0,0,0,36,36,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False
13,4,3,5386,0,0,0,0,0,0,5,5,4,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False
14,4,3,5386,0,0,0,0,0,0,12,12,10,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False
15,4,3,0,0,0,0,0,0,0,40,40,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False
16,4,3,5388,0,0,0,0,0,0,5,5,4,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False
