#,UsageParameter,CustomTalk,Item,ModelKey,HousingItemCategory,UsageType,Unknown0,Unknown1,Unknown2,Unknown3,DestroyOnRemoval,Unknown4,Unknown5,Unknown6,Unknown7
131072,0,0,0,0,17,0,0,0,0,0,False,False,True,False,False
131073,0,0,6686,1,17,0,0,0,0,0,False,False,True,False,True
131074,0,0,6476,2,17,0,0,0,0,0,False,False,True,False,True
131075,0,0,6479,3,17,0,0,0,0,0,False,False,True,False,True
131076,0,720898,6475,4,17,0,2,0,0,0,False,False,True,False,False
131077,0,0,6481,5,17,0,0,0,0,0,False,False,True,False,True
131078,0,0,6482,6,17,0,0,0,0,0,False,False,True,False,True
131079,0,0,6483,7,17,0,0,0,0,0,False,False,True,False,True
131080,0,0,6484,8,17,0,0,0,0,0,False,False,True,False,True
131081,0,0,6485,9,17,0,0,0,0,0,False,False,True,False,True
131082,0,0,6486,10,17,0,0,0,0,0,False,False,True,False,True
131083,0,0,6487,11,17,0,0,0,0,0,False,False,True,False,True
131084,0,0,6502,12,17,0,20,0,0,0,False,False,True,False,True
131085,0,0,6488,13,17,0,0,0,0,0,False,False,True,False,True
131086,0,0,6489,14,17,0,0,0,0,0,False,False,True,False,True
131087,0,0,6477,15,17,0,0,0,0,0,False,False,True,False,True
131088,0,0,6478,16,17,0,0,0,0,0,False,False,True,False,True
131089,0,0,6480,17,17,0,0,0,0,0,False,False,True,False,True
131090,0,0,6490,18,17,0,0,0,0,0,False,False,True,False,True
131091,0,0,6491,19,17,0,0,0,0,0,False,False,True,False,True
131092,0,0,6687,20,17,0,0,0,0,0,False,False,True,False,True
131093,0,0,6492,21,17,0,0,0,0,0,False,False,True,False,True
131094,0,0,6600,22,17,0,1,0,1,1,True,False,False,False,False
131095,0,0,6494,23,17,0,0,0,0,0,False,False,True,False,True
131096,0,0,6495,24,17,0,0,0,0,0,False,False,True,False,True
131097,0,0,6496,25,17,0,0,0,0,0,False,False,True,False,True
131098,0,721037,6497,26,17,0,11,0,0,0,False,False,True,False,True
131099,0,0,6503,27,17,0,0,0,0,0,False,False,True,False,True
131100,0,721037,6498,28,17,0,12,0,0,0,False,False,True,False,True
131101,0,0,6499,29,17,0,13,0,0,0,False,False,True,False,True
131102,0,721037,6500,30,17,0,14,0,0,0,False,False,True,False,True
131103,0,0,6501,31,17,0,15,0,0,0,False,False,True,False,True
131104,0,0,6504,32,17,0,0,0,0,0,False,False,True,False,True
131105,0,0,6505,33,17,0,0,0,0,0,False,False,True,False,True
131106,0,721037,6506,34,17,0,0,0,0,0,False,False,True,False,True
131107,0,0,6507,35,17,0,0,0,0,0,False,False,True,False,True
131108,0,0,6508,36,17,0,0,0,0,0,False,False,True,False,True
131109,0,0,6509,37,17,0,0,0,0,0,False,False,True,False,True
131110,0,0,6510,38,17,0,0,0,0,0,False,False,True,False,True
131111,0,0,6511,39,17,0,0,0,0,0,False,False,True,False,True
131112,0,721037,6512,40,17,0,0,0,0,0,False,False,True,False,True
131113,0,720898,7115,41,17,0,24,0,0,0,False,False,True,False,False
131114,0,0,7116,42,17,0,0,0,0,0,False,False,True,False,True
131115,0,0,7117,43,17,0,0,0,0,0,False,False,True,False,True
131116,2,0,7118,44,17,16,30,0,0,0,False,False,True,False,False
131117,2,0,7119,45,17,16,30,0,0,0,False,False,True,False,False
131118,2,0,7120,46,17,16,30,0,0,0,False,False,True,False,False
131119,2,0,7121,47,17,16,30,0,0,0,False,False,True,False,False
