#,Recipe[0],Recipe[1],Recipe[2],Recipe[3],Recipe[4],Unknown0
0,0,0,0,0,0,False
1,0,0,0,0,0,False
2,36165,0,0,0,0,False
3,36166,0,0,0,0,False
4,36167,0,0,0,0,False
5,36168,0,0,0,0,False
6,36169,0,0,0,0,False
7,36170,0,0,0,0,False
8,36171,0,0,0,0,False
9,36172,0,0,0,0,False
10,36173,0,0,0,0,False
11,36174,36175,0,0,0,False
12,36176,36177,0,0,0,False
13,36178,36179,0,0,0,False
14,36180,36181,0,0,0,False
15,36182,0,0,0,0,False
16,36183,0,0,0,0,False
17,36184,0,0,0,0,False
18,36185,0,0,0,0,False
19,36186,0,0,0,0,False
20,36187,0,0,0,0,False
21,36188,36189,0,0,0,False
22,36190,36191,0,0,0,False
23,36192,0,0,0,0,False
24,36193,0,0,0,0,False
25,36194,0,0,0,0,True
26,36195,0,0,0,0,True
27,36196,36197,36198,0,0,True
28,36199,0,0,0,0,False
29,36200,0,0,0,0,True
30,36201,0,0,0,0,True
31,36202,36203,36204,0,0,True
32,36205,36206,0,0,0,True
33,36207,36208,0,0,0,True
34,36209,0,0,0,0,False
35,36210,0,0,0,0,False
36,36211,0,0,0,0,False
37,36212,0,0,0,0,False
38,36213,0,0,0,0,False
39,36214,0,0,0,0,False
40,36215,0,0,0,0,False
41,36216,0,0,0,0,False
42,36217,0,0,0,0,False
43,36218,0,0,0,0,False
44,36219,36220,0,0,0,True
45,36222,36223,0,0,0,True
46,36225,36227,0,0,0,True
47,36228,0,0,0,0,False
48,36229,0,0,0,0,False
49,36230,0,0,0,0,False
50,36231,0,0,0,0,False
51,36232,0,0,0,0,False
52,36233,0,0,0,0,False
53,36234,0,0,0,0,False
54,36235,0,0,0,0,False
55,36236,0,0,0,0,False
56,36237,36238,0,0,0,False
57,36239,36240,0,0,0,False
58,36241,36242,0,0,0,False
59,36243,36244,0,0,0,False
60,36245,0,0,0,0,False
61,36246,0,0,0,0,False
62,36247,0,0,0,0,False
63,36248,0,0,0,0,False
64,36249,0,0,0,0,False
65,36250,0,0,0,0,False
66,36251,36252,0,0,0,False
67,36253,36254,0,0,0,False
68,36255,0,0,0,0,False
69,36256,0,0,0,0,False
70,36257,0,0,0,0,True
71,36258,0,0,0,0,True
72,36259,36260,36261,0,0,True
73,36262,0,0,0,0,False
74,36263,0,0,0,0,True
75,36264,0,0,0,0,True
76,36265,36266,36267,0,0,True
77,36268,36269,0,0,0,True
78,36270,36271,0,0,0,True
79,36272,0,0,0,0,False
80,36273,0,0,0,0,False
81,36274,0,0,0,0,False
82,36275,0,0,0,0,False
83,36276,0,0,0,0,False
84,36277,0,0,0,0,False
85,36278,0,0,0,0,False
86,36279,0,0,0,0,False
87,36280,0,0,0,0,False
88,36281,0,0,0,0,False
89,36282,36283,0,0,0,True
90,36285,36286,0,0,0,True
91,36288,36290,0,0,0,True
92,36291,0,0,0,0,False
93,36292,0,0,0,0,False
94,36293,0,0,0,0,False
95,36294,0,0,0,0,False
96,36295,0,0,0,0,False
97,36296,0,0,0,0,False
98,36297,0,0,0,0,False
99,36298,0,0,0,0,False
100,36299,0,0,0,0,False
101,36300,36301,0,0,0,False
102,36302,36303,0,0,0,False
