#,EventItem,MonsterNoteTargetCommon[0],MonsterNoteTargetCommon[1],MonsterNoteTargetCommon[2],MonsterNoteTargetCommon[3],MonsterNoteTargetCommon[4],MonsterNoteTargetCommon[5],MonsterNoteTargetCommon[6],MonsterNoteTargetCommon[7],MonsterNoteTargetCommon[8],MonsterNoteTargetCommon[9],MonsterNoteTargetNM[0],MonsterNoteTargetNM[1],MonsterNoteTargetNM[2],Unknown0,Fate[0],Fate[1],Fate[2],PlaceNameFate[0],PlaceNameFate[1],PlaceNameFate[2],Leve[0],Leve[1],Leve[2],MonsterCount[0],MonsterCount[1],MonsterCount[2],MonsterCount[3],MonsterCount[4],MonsterCount[5],MonsterCount[6],MonsterCount[7],MonsterCount[8],MonsterCount[9]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2001298,357,358,359,360,361,362,363,371,364,365,446,447,448,0,480,589,611,155,180,152,644,849,868,3,3,3,3,3,3,3,3,3,3
2,2001299,366,396,367,368,369,370,372,373,374,375,449,450,451,0,571,424,633,138,146,154,645,853,875,3,3,3,3,3,3,3,3,3,3
3,2001300,376,377,356,378,379,380,381,383,384,385,452,453,454,0,521,620,430,156,152,146,646,860,863,3,3,3,3,3,3,3,3,3,3
4,2001301,386,387,388,389,390,391,392,393,394,395,455,456,457,0,475,577,540,155,138,145,646,649,865,3,3,3,3,3,3,3,3,3,3
5,2001302,397,398,400,401,402,403,382,413,404,405,458,459,453,0,569,516,616,138,156,152,647,652,870,3,3,3,3,3,3,3,3,3,3
6,2001303,406,407,408,409,399,410,411,412,414,415,460,461,448,0,632,642,499,154,147,155,650,643,873,3,3,3,3,3,3,3,3,3,3
7,2001304,416,417,418,419,420,421,422,423,424,425,462,463,454,0,317,604,517,139,148,156,643,658,848,3,3,3,3,3,3,3,3,3,3
8,2001305,426,427,428,429,430,431,432,433,434,435,464,451,457,0,552,486,628,146,155,153,644,659,855,3,3,3,3,3,3,3,3,3,3
9,2001306,436,437,438,439,440,441,442,443,444,445,465,459,461,0,493,587,543,155,180,145,645,657,859,3,3,3,3,3,3,3,3,3,3
