#,Name0,Name1,Name2,PlaceName,Location,SortKey
0,無効,無効,無効,0,0,0
1,world,world,world,0,0,1
2,Limsa Lominsa,Limsa Lominsa,Limsa Lominsa,500,1,2
3,La Noscea,La Noscea,La Noscea,502,1,3
4,The Wolves' Den,The Wolves' Den,The Wolves' Den,501,1,4
5,Gridania,Gridania,Gridania,506,2,5
6,The Black Shroud,The Black Shroud,Black Shroud,507,2,6
7,Ul'dah,Ul'dah,Ul'dah,504,3,7
8,Thanalan,Thanalan,Thanalan,505,3,8
9,The Gold Saucer,The Gold Saucer,Gold Saucer,503,3,9
10,Ishgard,Ishgard,Ishgard,512,4,10
11,Coerthas,Coerthas,Coerthas,508,4,11
12,Abalathia's Spine,Abalathia's Spine,Abalathia's Spine,510,4,12
13,Idyllshire,Idyllshire,Idyllshire,4136,4,13
14,Dravania,Dravania,Dravania,511,4,14
15,Rhalgr's Reach,Rhalgr's Reach,Rhalgr's Reach,4137,5,15
16,Gyr Abania,Gyr Abania,Gyr Abania,514,5,16
17,Kugane,Kugane,Kugane,513,6,17
18,Othard,Othard,Othard,515,6,18
19,Radz-at-Han,Radz-at-Han,Radz-at-Han,3745,7,19
20,Thavnair,Thavnair,Thavnair,3741,7,20
21,Garlemald,Garlemald,Garlemald,4138,7,21
22,The Crystarium,The Crystarium,Crystarium,516,8,22
23,Eulmore,Eulmore,Eulmore,517,8,23
24,Norvrandt,Norvrandt,Norvrandt,518,8,24
25,Mor Dhona,Mor Dhona,Mor Dhona,509,9,25
26,Old Sharlayan,Old Sharlayan,Old Sharlayan,3744,11,26
27,Labyrinthos,Labyrinthos,Labyrinthos,3740,11,27
28,The Sea of Stars,The Sea of Stars,Sea of Stars,3742,9,28
29,The World Unsundered,The World Unsundered,World Unsundered,3743,9,29
30,Elsewhere,Elsewhere,Elsewhere,519,9,35
31,Tuliyollal,Tuliyollal,Tuliyollal,4515,10,30
32,Yok Tural,Yok Tural,Yok Tural,4511,10,31
33,Xak Tural,Xak Tural,Xak Tural,4512,10,32
34,Solution Nine,Solution Nine,Solution Nine,4514,10,33
35,Unlost World,Unlost World,Unlost World,4513,9,34
