#,Item,Unknown0,Unknown1,Unknown2
0,0,0,0,0
1,14071,101,4,0
2,14072,101,4,1
3,14073,101,4,2
4,14074,101,4,3
5,14075,101,4,4
6,14076,101,4,5
7,14077,101,4,6
8,14078,101,4,7
9,14079,101,4,8
10,16017,102,4,0
11,16018,102,4,1
12,16019,102,4,2
13,16020,102,4,3
14,16021,102,4,4
15,16022,102,4,5
16,16023,102,4,6
17,16024,102,4,7
18,16025,102,4,8
19,17048,106,4,0
20,17049,106,4,1
21,17050,106,4,2
22,17051,106,4,3
23,17052,106,4,4
24,17053,106,4,5
25,17054,106,4,6
26,17055,106,4,7
27,17056,106,4,8
28,17997,107,4,0
29,17998,107,4,1
30,17999,107,4,2
31,18000,107,4,3
32,18001,107,4,4
33,18002,107,4,5
34,18003,107,4,6
35,18004,107,4,7
36,18005,107,4,8
37,20796,105,4,0
38,20797,105,4,1
39,20798,105,4,2
40,20799,105,4,3
41,20800,105,4,4
42,20801,105,4,5
43,20802,105,4,6
44,20803,105,4,7
45,20804,105,4,8
46,21876,103,4,0
47,21877,103,4,1
48,21878,103,4,2
49,21879,103,4,3
50,21880,103,4,4
51,21881,103,4,5
52,21882,103,4,6
53,21883,103,4,7
54,21884,103,4,8
55,22590,109,4,0
56,22591,109,4,1
57,22592,109,4,2
58,22593,109,4,3
59,22594,109,4,4
60,22595,109,4,5
61,22596,109,4,6
62,22597,109,4,7
63,22598,109,4,8
64,24166,104,4,0
65,24167,104,4,1
66,24168,104,4,2
67,24169,104,4,3
68,24170,104,4,4
69,24171,104,4,5
70,24172,104,4,6
71,24173,104,4,7
72,24174,104,4,8
73,24542,108,4,0
74,24543,108,4,1
75,24544,108,4,2
76,24545,108,4,3
77,24546,108,4,4
78,24547,108,4,5
79,24548,108,4,6
80,24549,108,4,7
81,24550,108,4,8
82,27321,110,4,0
83,27322,110,4,1
84,27323,110,4,2
85,27324,110,4,3
86,27325,110,4,4
87,27326,110,4,5
88,27327,110,4,6
89,27328,110,4,7
90,27329,110,4,8
91,28176,112,4,0
92,28177,112,4,1
93,28178,112,4,2
94,28179,112,4,3
95,28180,112,4,4
96,28181,112,4,5
97,28182,112,4,6
98,28183,112,4,7
99,28184,112,4,8
100,28948,113,4,0
101,28949,113,4,1
