#,Name,Image,Icon,UnlockCondition,Unknown_70_1,Unknown_70_2,Unknown0,SortKey,Category
0,None,0,82091,0,0,0,0,0,0
1,Solid Grey,190002,82091,1,0,0,0,1,1
2,Squares,190003,82091,1,0,0,0,3,1
3,Solid Purple,190004,82091,1,0,0,0,4,1
4,Tank Gradient,190005,82091,1,0,0,0,5,1
5,DPS Gradient,190006,82091,1,0,0,0,7,1
6,Healer Gradient,190007,82091,1,0,0,0,6,1
7,Vellum,190008,82091,1,0,0,0,2,1
8,Aether,190009,82091,1,0,0,0,9,1
9,Wood Panels,190010,82091,1,0,0,0,8,1
10,Void,190011,82091,1,0,0,0,10,1
11,Paladin (Ornate),190301,82091,124,0,0,0,2150,2
12,Warrior (Ornate),190302,82091,125,0,0,0,2151,2
13,Dark Knight (Ornate),190303,82091,126,0,0,0,2152,2
14,Gunbreaker (Ornate),190304,82091,127,0,0,0,2153,2
15,White Mage (Ornate),190305,82091,128,0,0,0,2154,2
16,Scholar (Ornate),190306,82091,129,0,0,0,2155,2
17,Astrologian (Ornate),190307,82091,130,0,0,0,2156,2
18,Sage (Ornate),190308,82091,131,0,0,0,2157,2
19,Monk (Ornate),190309,82091,132,0,0,0,2158,2
20,Dragoon (Ornate),190310,82091,133,0,0,0,2159,2
21,Ninja (Ornate),190311,82091,134,0,0,0,2160,2
22,Samurai (Ornate),190312,82091,135,0,0,0,2161,2
23,Reaper (Ornate),190313,82091,136,0,0,0,2162,2
24,Bard (Ornate),190314,82091,137,0,0,0,2164,2
25,Machinist (Ornate),190315,82091,138,0,0,0,2165,2
26,Dancer (Ornate),190316,82091,139,0,0,0,2166,2
27,Black Mage (Ornate),190317,82091,140,0,0,0,2167,2
28,Summoner (Ornate),190318,82091,141,0,0,0,2168,2
29,Red Mage (Ornate),190319,82091,142,0,0,0,2169,2
30,Team Astra,190401,82091,143,0,0,0,3000,10
31,Team Umbra,190402,82091,144,0,0,0,3001,10
32,Final Conflict 1,190403,82091,145,0,0,0,3200,5
33,Endless Conflict 1,190404,82091,146,0,0,0,3201,5
34,Rising Conflict 1,190405,82091,147,0,0,0,3202,5
35,Bronze Conflict 1,190406,82091,148,0,0,0,3208,5
36,Silver Conflict 1,190407,82091,149,0,0,0,3207,5
37,Gold Conflict 1,190408,82091,150,0,0,0,3206,5
38,Platinum Conflict 1,190409,82091,151,0,0,0,3205,5
39,Diamond Conflict 1,190410,82091,152,0,0,0,3204,5
40,Crystal Conflict 1,190411,82091,153,0,0,0,3203,5
41,Companion 1,190901,82091,154,1032,1034,1036,4000,7
42,Companion 2,190902,82091,155,1033,1035,1037,4001,7
43,Gladiator,190201,82091,156,0,0,0,2000,2
44,Marauder,190202,82091,157,0,0,0,2001,2
45,Conjurer,190203,82091,158,0,0,0,2002,2
46,Pugilist,190204,82091,159,0,0,0,2003,2
47,Lancer,190205,82091,160,0,0,0,2004,2
48,Rogue,190206,82091,161,0,0,0,2005,2
49,Archer,190207,82091,162,0,0,0,2006,2
50,Thaumaturge,190208,82091,163,0,0,0,2007,2
51,Arcanist,190209,82091,164,0,0,0,2008,2
52,Paladin (Simple),190210,82091,165,0,0,0,2050,2
53,Warrior (Simple),190211,82091,166,0,0,0,2051,2
54,Dark Knight (Simple),190212,82091,167,0,0,0,2052,2
55,Gunbreaker (Simple),190213,82091,168,0,0,0,2053,2
56,White Mage (Simple),190214,82091,169,0,0,0,2054,2
57,Scholar (Simple),190215,82091,170,0,0,0,2055,2
58,Astrologian (Simple),190216,82091,171,0,0,0,2056,2
59,Sage (Simple),190217,82091,172,0,0,0,2057,2
60,Monk (Simple),190218,82091,173,0,0,0,2058,2
61,Dragoon (Simple),190219,82091,174,0,0,0,2059,2
62,Ninja (Simple),190220,82091,175,0,0,0,2060,2
63,Samurai (Simple),190221,82091,176,0,0,0,2061,2
64,Reaper (Simple),190222,82091,177,0,0,0,2062,2
65,Bard (Simple),190223,82091,178,0,0,0,2064,2
66,Machinist (Simple),190224,82091,179,0,0,0,2065,2
67,Dancer (Simple),190225,82091,180,0,0,0,2066,2
68,Black Mage (Simple),190226,82091,181,0,0,0,2067,2
69,Summoner (Simple),190227,82091,182,0,0,0,2068,2
70,Red Mage (Simple),190228,82091,183,0,0,0,2069,2
71,Blue Mage (Simple),190229,82091,184,0,0,0,2071,2
72,Carpenter (Simple),190230,82091,244,0,0,0,2100,2
73,Blacksmith (Simple),190231,82091,245,0,0,0,2101,2
74,Armorer (Simple),190232,82091,246,0,0,0,2102,2
75,Goldsmith (Simple),190233,82091,247,0,0,0,2103,2
76,Leatherworker (Simple),190234,82091,248,0,0,0,2104,2
77,Weaver (Simple),190235,82091,249,0,0,0,2105,2
78,Alchemist (Simple),190236,82091,250,0,0,0,2106,2
79,Culinarian (Simple),190237,82091,251,0,0,0,2107,2
80,Miner (Simple),190238,82091,276,0,0,0,2108,2
81,Botanist (Simple),190239,82091,277,0,0,0,2109,2
82,Fisher (Simple),190240,82091,278,0,0,0,2110,2
83,Gridania,190652,82091,299,0,0,0,1001,9
84,Limsa Lominsa,190651,82091,299,0,0,0,1000,9
85,Ul'dah,190653,82091,299,0,0,0,1002,9
86,Unending Coil of Bahamut,190701,82091,319,0,0,0,2500,4
87,Weapon's Refrain,190702,82091,320,0,0,0,2501,4
88,Epic of Alexander,190703,82091,321,0,0,0,2502,4
89,Dragonsong's Reprise,190704,82091,322,0,0,0,2503,4
90,Final Conflict 2,190412,82091,323,0,0,0,3209,5
91,Endless Conflict 2,190413,82091,324,0,0,0,3210,5
92,Rising Conflict 2,190414,82091,325,0,0,0,3211,5
93,Bronze Conflict 2,190415,82091,326,0,0,0,3217,5
94,Silver Conflict 2,190416,82091,327,0,0,0,3216,5
95,Gold Conflict 2,190417,82091,328,0,0,0,3215,5
96,Platinum Conflict 2,190418,82091,329,0,0,0,3214,5
97,Diamond Conflict 2,190419,82091,330,0,0,0,3213,5
98,Crystal Conflict 2,190420,82091,331,0,0,0,3212,5
99,Final Conflict 3,190421,82091,332,0,0,0,3218,5
100,Endless Conflict 3,190422,82091,333,0,0,0,3219,5
101,Rising Conflict 3,190423,82091,334,0,0,0,3220,5
102,Bronze Conflict 3,190424,82091,335,0,0,0,3226,5
103,Silver Conflict 3,190425,82091,336,0,0,0,3225,5
104,Gold Conflict 3,190426,82091,337,0,0,0,3224,5
105,Platinum Conflict 3,190427,82091,338,0,0,0,3223,5
106,Diamond Conflict 3,190428,82091,339,0,0,0,3222,5
107,Crystal Conflict 3,190429,82091,340,0,0,0,3221,5
108,Azure Conflict,190430,82091,341,0,0,0,3002,10
109,Crimson Conflict,190431,82091,342,0,0,0,3003,10
110,Sil'dihn Subterrane (Variant),190705,82091,343,0,0,0,2403,4
111,Last Dregs,190966,82091,344,0,0,0,2315,3
112,Blue Sky,190012,82091,1,0,0,0,12,1
113,Seashore,190013,82091,1,0,0,0,11,1
114,Starry Sky,190014,82091,1,0,0,0,13,1
115,Brick,190015,82091,1,0,0,0,19,1
116,Comic,190016,82091,1,0,0,0,20,1
117,Quilted Black,190017,82091,1,0,0,0,17,1
118,Quilted White,190018,82091,1,0,0,0,18,1
119,Circular Geometry,190019,82091,1,0,0,0,21,1
120,Aetheric Purple,190020,82091,1,0,0,0,16,1
121,Aetheric Blue,190021,82091,1,0,0,0,14,1
122,Aetheric Red,190022,82091,1,0,0,0,15,1
123,Sheet Music,190023,82091,347,0,0,0,22,7
124,Far Eastern,190024,82091,1,0,0,0,23,1
125,Common Grey,190025,82091,1,0,0,0,900,1
126,Rare Pink,190026,82091,1,0,0,0,901,1
127,Plundered Green,190027,82091,1,0,0,0,902,1
128,Exceptional Blue,190028,82091,1,0,0,0,903,1
129,Legendary Purple,190029,82091,1,0,0,0,904,1
130,Lominsan Flag,190601,82091,346,0,0,0,1010,9
131,Gridanian Flag,190602,82091,346,0,0,0,1011,9
132,Ul'dahn Flag,190603,82091,346,0,0,0,1012,9
133,Final Conflict 4,190432,82091,409,0,0,0,3227,5
134,Endless Conflict 4,190433,82091,410,0,0,0,3228,5
135,Rising Conflict 4,190434,82091,411,0,0,0,3229,5
136,Crystal Conflict 4,190440,82091,412,0,0,0,3230,5
137,Diamond Conflict 4,190439,82091,413,0,0,0,3231,5
138,Platinum Conflict 4,190438,82091,414,0,0,0,3232,5
139,Gold Conflict 4,190437,82091,415,0,0,0,3233,5
140,Silver Conflict 4,190436,82091,416,0,0,0,3234,5
141,Bronze Conflict 4,190435,82091,417,0,0,0,3235,5
142,Final Conflict 5,190441,82091,418,0,0,0,3236,5
143,Endless Conflict 5,190442,82091,419,0,0,0,3237,5
144,Rising Conflict 5,190443,82091,420,0,0,0,3238,5
145,Crystal Conflict 5,190449,82091,421,0,0,0,3239,5
146,Diamond Conflict 5,190448,82091,422,0,0,0,3240,5
147,Platinum Conflict 5,190447,82091,423,0,0,0,3241,5
148,Gold Conflict 5,190446,82091,424,0,0,0,3242,5
149,Silver Conflict 5,190445,82091,425,0,0,0,3243,5
150,Bronze Conflict 5,190444,82091,426,0,0,0,3244,5
151,Falcons,190450,82091,427,0,0,0,3004,10
152,Ravens,190451,82091,428,0,0,0,3005,10
153,Dreamspinners,190962,82091,429,0,0,0,2311,3
154,Stewards,190963,82091,430,0,0,0,2312,3
155,Watts's Anvil,190964,82091,431,0,0,0,2313,3
156,Hippo Riders,190965,82091,432,0,0,0,2314,3
157,Dreaming Ways,190967,82091,433,0,0,0,2316,3
158,Omega Protocol,190706,82091,434,0,0,0,2504,4
159,Eureka Orthos,190711,82091,465,0,0,0,2358,4
160,Enaretos,190712,82091,466,0,0,0,2359,4
161,Four Lords,190713,82091,467,0,0,0,2251,3
162,Island Vacation,190714,82091,468,0,0,0,2340,8
163,Island Memories,190715,82091,469,0,0,0,2341,8
164,Final Conflict 6,190452,82091,502,0,0,0,3245,5
165,Endless Conflict 6,190453,82091,503,0,0,0,3246,5
166,Rising Conflict 6,190454,82091,504,0,0,0,3247,5
167,Crystal Conflict 6,190460,82091,505,0,0,0,3248,5
168,Diamond Conflict 6,190459,82091,506,0,0,0,3249,5
169,Platinum Conflict 6,190458,82091,507,0,0,0,3250,5
170,Gold Conflict 6,190457,82091,508,0,0,0,3251,5
171,Silver Conflict 6,190456,82091,509,0,0,0,3252,5
172,Bronze Conflict 6,190455,82091,510,0,0,0,3253,5
173,Final Conflict 7,190461,82091,511,0,0,0,3254,5
174,Endless Conflict 7,190462,82091,512,0,0,0,3255,5
175,Rising Conflict 7,190463,82091,513,0,0,0,3256,5
176,Crystal Conflict 7,190469,82091,514,0,0,0,3257,5
177,Diamond Conflict 7,190468,82091,515,0,0,0,3258,5
178,Platinum Conflict 7,190467,82091,516,0,0,0,3259,5
179,Gold Conflict 7,190466,82091,517,0,0,0,3260,5
180,Silver Conflict 7,190465,82091,518,0,0,0,3261,5
181,Bronze Conflict 7,190464,82091,519,0,0,0,3262,5
182,Aramitama Waves,190470,82091,520,0,0,0,3006,10
183,Nigimitama Waves,190471,82091,521,0,0,0,3007,10
