#,Name,Description,Icon,Category,MainCommandCategory,Unknown0,SortID
0,,,0,0,0,0,0
1,Stance,Sheathe/unsheathe your main arm.,16,1,1,1,-5
2,Character,"Displays vital information about your character, including attributes, currently equipped gear, titles, and more.",1,6,1,6,0
3,Actions & Traits,"View and manage the actions and traits available to your character, as well as set them to your hotbars.",4,2,1,2,-4
4,Journal,"Displays a list of all current and completed quests, levequests, and company missions. From this list, objectives and locations can be confirmed, and duty can be abandoned.",5,4,2,22,0
5,Timers,Displays time remaining for various duties such as allied society dailies and levequest allowance allotment.,47,13,2,31,9
6,Achievements,"Displays a list of in-game achievements, as well as the conditions for obtaining them.",6,18,1,18,12
7,Gathering Log,"Displays information on items previously gathered, as well as mining and logging locations categorized by area.",23,4,3,35,1
8,Hunting Log,"Displays a list of hunting objectives for Disciples of War and Magic. Information on monster habitat, kills recorded, and experience earned is also available.",21,1,3,32,-2
9,Crafting Log,Opens the crafting interface from which you can select items to synthesize.,22,3,3,34,0
10,Inventory,"Displays a list of all crystals and items in your inventory. From this list, items can be equipped, used, discarded, or sorted.",2,8,1,8,2
11,Key Items,"Displays a list of items used only in specific quests. If a quest is abandoned, all key items associated with it will be discarded.",3,3,2,21,-1
12,Party Members,"Displays a list of your current party members. From this list you can change member order, and if you are leader, kick other players or dissolve the party altogether.",17,1,5,46,0
13,Friend List,Displays a list of players on your friend list. From this list you can send /tell messages or invite players to a party.,18,10,6,62,7
14,Blacklist,"Displays a list of players you have added to your blacklist. Not only will their characters and messages be hidden, but they will be unable to trade with you or invite you to parties.",19,12,6,64,9
15,Player Search,"Search for other players using variables such as name, class, level, and online status.",20,1,6,53,-2
16,Map,"Opens the map of your current location. Maps contain information on party members, aetherytes, shops, guilds, and quest destinations. Maps can also be zoomed in or out, or swapped with region or world maps.",7,4,4,43,0
17,Emotes,"Displays a list of available emote commands which can be executed from the list, or set to your hotbar.",9,3,6,55,0
18,Signs,Mark targets with various different signs to make them easier for party and alliance members to distinguish.,10,3,5,48,2
19,System Configuration,"Adjust system-related settings such as graphics, sound, controller functionality, and more.",29,6,7,72,1
20,Keybind,Map various in-game functions to your keyboard to better suit your play style.,28,9,7,75,4
21,User Macros,Create and save multi-step macros to execute complex commands with a single button press. Macros can be assigned icons and set to your hotbar for easy access.,30,8,7,74,3
22,HUD Layout,"Adjust the location, size, and display status of all user-interface components and save them to templates.",31,7,7,73,2
23,Log Out,Log out and return to the title screen.,27,10,7,77,7
24,Exit Game,Log out and exit the game.,26,11,7,78,8
25,Armoury Chest,"Displays gear stored in your Armoury Chest. All gear obtained is automatically moved to the chest and sorted by type. From here it can be equipped, repaired, or returned to your inventory.",32,7,1,7,1
26,,,0,0,0,0,0
27,Free Company,"Opens the Free Company interface, where you can access company information, view and leave messages, and execute company commands.",8,4,6,56,1
28,Linkshells,Displays a list of all linkshell members for all your linkshells.,11,7,6,59,4
29,Fishing Log,"Displays information on your previous catches, as well as fishing hole locations categorized by area.",24,5,3,36,2
30,Active Help,Displays a list of all previously viewed active help tutorials.,33,4,7,70,-1
31,Recommendations,Displays a list of nearby quests and duties currently available.,25,1,2,19,-3
32,Support Desk,"Search for answers to frequently asked questions, report issues, and confirm messages from the FINAL FANTASY XIV support team.",13,1,7,67,-4
33,Duty Finder,Discover and join solo and party-based duties such as instanced raids and guildhests without having to gather a party yourself.,46,5,2,23,1
34,Character Configuration,"Adjust character-related settings such as camera type, targeting functionality, hotbar commands, and chat log preferences.",48,5,7,71,0
35,Teleport,Instantly travel to any aetheryte to which you have previously attuned. A fee will be collected upon your arrival.,0,0,4,44,1
36,Return,"Instantly return to your current home point (or dungeon starting point). No aetheryte usage fee is required, but you can only use the spell once every 15 minutes (Earth time).",0,0,4,45,2
37,License,Displays the FINAL FANTASY XIV end user license agreement.,0,0,7,76,6
38,Logs,（ヘルプ無し）,0,0,0,0,0
39,Social,（ヘルプ無し）,0,0,0,0,0
40,System,（ヘルプ無し）,0,0,0,0,0
41,Fish Guide,"Displays details on all the fish you have caught, where you caught them, as well as your personal records.",50,6,3,37,3
42,Companion,"Displays information on your summonable companions, including level, class, and available actions.",49,10,1,10,4
43,Duty,（ヘルプ無し）,0,0,0,0,0
44,Housing,"Opens the Housing interface, where you can view and manage your estate.",52,5,6,57,2
45,Display Settings,Adjust display settings such as screen mode and resolution.,35,0,0,0,0
46,Sound Settings,"Adjust various sound settings such as music and effects volume, and listening position.",36,0,0,0,0
47,Graphics Settings,Adjust various graphics settings in order to optimize performance on your system.,37,0,0,0,0
48,Mouse Settings,Adjust various mouse settings such as camera sensitivity.,38,0,0,0,0
49,Controller Settings,Adjust various controller settings such as vibration.,39,0,0,0,0
50,Other Settings,Adjust miscellaneous settings such as screenshot format and cutscene language.,51,0,0,0,0
51,Control Settings,Adjust various control settings such as movement and targeting.,41,0,0,0,0
52,UI Settings,Adjust various UI settings such as HUD layout.,42,0,0,0,0
53,Display Name Settings,Adjust various settings pertaining to the information displayed above each character.,43,0,0,0,0
54,Hotbar Settings,Adjust various settings for the hotbar.,44,0,0,0,0
55,Log Window Settings,Adjust various log window settings such as font size and log filters.,45,0,0,0,0
56,PvP Profile,"View PvP information for your character such as rank and performance records, and set PvP actions to your hotbars.",53,16,1,16,10
57,Party Finder,Find and recruit party members based on the specified conditions.,54,2,5,47,1
58,Waymarks,Place markers to guide your party and alliance members to a destination.,55,4,5,49,3
59,Ready Check,Confirm the readiness of other party and/or alliance members.,56,7,5,51,6
60,Challenge Log,Displays a list of challenges that you can undertake. Information on progress and rewards is also available. Progress in each category is reset every Tuesday at 5 p.m. (Earth time).,57,8,3,39,5
61,Mount Guide,Displays detailed information on the mounts you have acquired.,58,11,1,11,5
62,Minion Guide,Displays detailed information on the minions you have collected.,59,12,1,12,6
63,Accessibility Settings,"Adjust various gameplay and UI settings to make the game easier to hear, see, and use.",60,0,0,0,0
64,Sightseeing Log,Displays information on sightseeing vistas.,61,2,3,33,-1
65,Gold Saucer,"Displays various information pertaining to the Gold Saucer, including MGP in possession, Cactpot draw times, Triple Triad tournament results, personal deck makeup, Lord of Verminion hotbar and Doman mahjong settings, and race chocobo status.",62,17,1,17,11
66,Currency,Displays information on all currencies in possession.,63,5,1,5,-1
67,Aether Currents,Displays attunement information for aether currents.,64,1,4,40,-3
68,Playguide,"Opens a menu granting access to the official FINAL FANTASY XIV website, the Lodestone.",65,3,7,69,-2
69,Orchestrion List,Displays information on orchestrion rolls obtained.,67,7,3,38,4
70,Hall of the Novice,"Grants entrance to the Hall of the Novice and access to their regimen of training exercises designed to teach new Disciples of War and Magic the basics of combat for tank, healer, and DPS roles.",66,12,2,30,8
71,Item Settings,Adjust various item and inventory settings.,68,0,0,0,0
72,Raid Finder,Challenge the latest high-level raids. Adjustable search settings allow for solo players or parties under the minimum member requirements to be matched with players with the same goals.,69,6,2,24,2
73,Countdown,Set and display a numerical countdown visible by all party and alliance members.,70,8,5,52,7
74,Contacts,Displays a list of players with whom you have most recently partied. Players on the list can be added to your friend list.,71,11,6,63,8
75,Mount Speed,Displays mount movement speed for every area.,72,2,4,41,-2
76,Duty Recorder,View recorded duties and adjust Duty Recorder settings.,73,10,2,28,6
77,Chocobo Saddlebag,"Displays a list of all items in your chocobo saddlebag. From this list, items can be transferred to your inventory, or that of a retainer. Cannot be accessed while participating in instanced duties.",74,9,1,9,3
78,PvP Team,Displays information on your PvP team.,75,6,6,58,3
79,Record Ready Check,Confirm the readiness of other party and/or alliance members before recording a duty. Can only be used while on a recordable duty.,76,6,5,50,5
80,Cross-world Linkshells,"Create cross-world linkshells, confirm cross-world linkshell status, and invite players to join cross-world parties.",77,8,6,60,5
81,Blue Magic Spellbook,"Displays all learned blue magic spells. Here, spells can be added to and removed from your Active Actions.",78,15,1,15,9
82,Trust,Assemble a party of phantasmal NPC allies to challenge instanced dungeons.,79,9,2,27,5
83,Theme Settings,Select a color scheme for the UI.,80,0,0,0,0
84,Shared FATE,"Displays progress for shared FATEs in applicable regions, including rank and number of FATEs completed with the highest rating possible.",81,3,4,42,-1
85,Fellowships,Create fellowships and confirm fellowship status.,82,9,6,61,6
86,Fellowship Finder,View a list of fellowships currently recruiting members and join them.,83,2,6,54,-1
87,Collection,Displays items of interest gathered during your adventures.,85,2,2,20,-2
88,New Game+,Replay your favorite quests at your current level.,84,11,2,29,7
89,Fashion Accessories,Displays a list of available fashion accessories.,86,14,1,14,8
90,Official Sites,Displays a list of official sites for FINAL FANTASY XIV.,87,2,7,68,-3
91,Duty Support,Assemble a party of NPC supporters to challenge instanced dungeons.,89,8,2,26,4
92,Portraits,View your portrait gallery or edit portraits for each of your gear sets.,88,4,1,3,-2
93,Adventurer Plate,Edit the appearance and content of your profile to share with other adventurers.,90,3,1,4,-3
94,V&C Dungeon Finder,"Join variant and criterion dungeons, and adjust dungeon settings. View entries for story elements discovered in variant dungeons.",91,7,2,25,3
95,Facewear,Select the type and style of facewear to be equipped by your character.,92,13,1,13,7
96,Mute List,Displays a list of players you have added to your mute list. Messages from these characters will be hidden.,93,13,6,65,10
97,Term Filter,"Displays a list of words added to the Term Filter. From this list you can add, remove, or edit terms to be filtered from the chat log.",94,14,6,66,11
