#,Item,Unknown0,AquariumWater,Size
0,0,0,0,0
1,0,0,0,0
2,4948,40,1,1
3,4876,49,2,1
4,4886,7,2,2
5,4979,54,1,2
6,4959,31,1,2
7,4951,13,1,2
8,12721,52,1,3
9,8776,61,1,3
10,4918,98,2,3
11,4903,3,2,4
12,4917,28,2,4
13,7941,7,2,4
14,12803,41,1,4
15,4926,19,1,1
16,4874,46,2,1
17,7940,19,1,2
18,7902,41,1,2
19,4883,42,2,2
20,5000,2,1,3
21,12749,57,1,3
22,4908,127,2,3
23,4922,10,2,4
24,8774,23,1,4
25,12739,118,1,1
26,20048,151,2,1
27,5011,6,1,2
28,7699,28,1,2
29,4973,73,1,2
30,4898,8,2,2
31,4905,85,1,2
32,7924,3,2,3
33,4924,13,2,4
34,20018,67,2,4
35,4970,21,1,1
36,4879,63,2,1
37,12743,101,1,2
38,5023,131,1,2
39,20052,153,1,2
40,20220,217,1,2
41,20221,218,1,2
42,5025,40,1,3
43,20054,156,2,3
44,4923,12,2,4
45,20021,132,1,1
46,20162,200,2,1
47,5007,78,1,2
48,20051,152,1,2
49,20053,154,1,2
50,20145,194,2,2
51,20186,207,2,2
52,20228,194,1,3
53,20171,174,2,3
54,20211,216,1,1
55,21178,227,1,1
56,20038,149,2,2
57,20100,175,2,2
58,20183,205,1,2
59,20193,209,1,2
60,21177,226,1,2
61,4893,29,2,3
62,7943,132,1,3
63,23054,2,2,4
64,8762,17,1,4
65,17590,125,1,1
66,4986,68,1,2
67,12750,107,1,2
68,12768,110,1,2
69,12764,117,1,2
70,12741,129,1,2
71,20185,206,1,2
72,20204,186,1,3
73,21176,199,2,3
74,12752,18,1,4
75,21175,226,1,1
76,7685,1,2,2
77,7709,35,1,2
78,5013,79,1,2
79,20020,144,1,2
80,20090,171,1,2
81,20180,203,2,2
82,20157,170,2,3
83,20184,179,1,3
84,7690,11,2,4
85,12742,117,1,1
86,4999,30,1,2
87,12781,96,1,2
88,4987,143,1,2
89,20229,221,1,2
90,7693,59,2,2
91,4895,81,2,2
92,20192,181,1,3
93,20226,192,2,3
94,17579,60,1,4
95,27423,287,2,1
96,27481,305,1,1
97,22397,233,1,2
98,22398,234,1,2
99,23059,236,1,2
100,27415,266,1,2
101,27531,300,1,2
102,22389,204,1,3
103,24994,71,1,4
104,27503,78,2,4
105,20233,222,1,1
106,27543,319,1,1
107,20110,180,2,2
108,27454,272,2,2
109,27474,280,1,2
110,27490,285,1,2
111,27559,248,1,3
112,27534,252,1,3
113,27437,75,1,4
114,27424,76,2,4
115,24995,255,1,1
116,27494,306,1,1
117,27430,262,1,2
118,27536,295,1,2
119,27530,299,1,2
120,29785,348,2,2
121,27560,249,1,3
122,29787,285,2,3
123,24990,72,1,4
124,29790,88,2,4
125,24203,244,1,1
126,24204,245,1,1
127,20218,216,1,2
128,27546,303,1,2
129,27557,306,1,2
130,29719,326,2,2
131,27436,218,1,3
132,27579,257,1,3
133,12830,42,1,4
134,29784,85,2,4
135,28065,335,1,1
136,32052,378,1,1
137,32063,396,2,1
138,27566,315,1,2
139,27563,312,1,2
140,27525,298,1,2
141,27486,278,1,2
142,28940,325,2,2
143,30434,288,1,3
144,29782,84,2,4
145,27468,289,1,1
146,27483,298,1,1
147,32049,377,1,1
148,28926,350,1,2
149,20045,349,1,2
150,27577,311,1,2
151,27422,267,2,2
152,29755,338,2,2
153,27532,241,1,3
154,33244,99,2,4
155,36460,434,1,1
156,36481,441,1,1
157,36450,430,2,1
158,36443,411,1,2
159,36418,401,1,2
160,36571,447,2,2
161,36563,440,2,2
162,36425,404,2,2
163,36453,322,2,3
164,36454,100,2,4
165,36444,428,1,1
166,36387,414,2,1
167,36535,473,2,1
168,36448,412,1,2
169,36499,424,1,2
170,33240,389,2,2
171,36679,454,2,2
172,36557,438,2,2
173,36533,346,2,3
174,7684,6,2,4
175,27475,290,1,1
176,36447,429,1,1
177,36549,455,2,1
178,36388,390,2,2
179,36400,394,1,2
180,36441,410,1,2
181,36539,444,2,2
182,36568,453,2,2
183,37845,363,1,3
184,29789,87,2,4
185,36410,423,1,1
186,38939,487,1,1
187,36575,469,2,1
188,36461,416,1,2
189,36543,446,1,2
190,38832,465,2,2
191,36426,405,2,2
192,36525,434,2,2
193,36580,359,2,3
194,29788,86,2,4
195,36436,427,1,1
196,38830,479,1,1
197,36537,463,2,1
198,36407,397,1,2
199,36434,408,1,2
200,36577,450,2,2
201,40570,481,2,2
202,40525,477,2,2
203,40589,395,1,3
204,40540,109,2,4
205,36541,465,1,1
206,41410,528,1,1
207,40549,520,2,1
208,27501,307,2,1
209,36392,392,1,2
210,36405,396,1,2
211,36398,393,1,2
212,32100,366,2,2
213,36485,329,1,3
214,41408,113,2,4
215,43666,531,1,1
216,43738,558,1,1
217,43741,559,1,1
218,43669,534,2,1
219,43707,523,1,2
220,43754,544,1,2
221,43672,506,2,2
222,43794,555,2,2
223,43785,429,1,3
224,43792,115,2,4
225,43684,539,1,1
226,43698,544,1,1
227,43724,552,1,1
228,43789,578,2,1
229,43713,526,1,2
230,43739,538,1,2
231,43782,553,1,2
232,44342,579,2,2
233,43808,434,1,3
234,43795,116,2,4
235,43667,532,2,1
236,43772,572,1,1
237,43815,586,1,1
238,43829,590,1,1
239,43701,521,1,2
240,43734,536,1,2
241,43790,554,2,2
242,44344,582,1,2
243,43711,412,1,3
244,47993,117,1,4
245,43746,562,2,1
246,43704,545,1,1
247,43766,570,1,1
248,43777,574,1,1
249,43710,524,1,2
250,46190,591,1,2
251,43812,561,1,2
252,44345,580,1,2
253,47988,451,2,3
254,46191,118,1,4
