key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
int32,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,byte
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,16.96,-23.93,-48.38,-55.44,-16.96,23.93,48.38,55.44,36.5,16.25,15.5,27.75,36.5,16.25,15.5,27.75,48.91,22.56,71.38,-22.78,-48.91,-22.56,-71.38,22.78,-2.867,-2.575,2.541,-0.997,0.2745,0.5665,-0.6005,2.1445,-0.671,-0.598,-0.644,-0.556,-0.671,-0.598,-0.644,-0.556,1
2,16.96,-23.93,-31.64,-55.44,-16.96,23.93,31.64,55.44,36.5,16.25,23.91,27.75,36.5,16.25,23.91,27.75,48.91,22.56,28.17,-22.78,-48.91,-22.56,-28.17,22.78,-2.867,-2.575,-2.124,-0.997,0.2745,0.5665,1.0175,2.1445,-0.671,-0.598,-0.619,-0.556,-0.671,-0.598,-0.619,-0.556,0
3,13.04,-80.65,-75.98,-39.83,54.62,13.03,75.98,12.38,44.59,25.91,28.69,30.71,31.83,25.91,28.69,31.38,82.36,-23.27,44.8,0.16,59.51,-78.17,-44.8,-39.2,-3.012,1.385,1.791,-1.242,-2.521,-0.324,-0.848,1.958,-0.483,-0.319,-0.535,-0.677,-0.528,-0.39,-0.405,-0.734,1
4,13.04,-58.68,-75.98,-39.83,54.62,32.6,75.98,17.29,44.59,32.55,28.69,30.71,31.83,25.61,28.69,26.59,82.36,13.73,44.8,0.16,59.51,-28.76,-44.8,-41.2,-3.012,1.465,1.791,-1.242,-2.521,-0.621,-0.848,1.958,-0.483,-0.365,-0.535,-0.677,-0.528,-0.348,-0.405,-0.734,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,34.1,-4.4,-61.79,-72.13,-34.1,4.4,61.79,72.13,16.59,22.63,27.96,20.13,16.59,22.63,27.96,20.13,13.16,39.93,37.55,8.94,-13.16,-39.93,-37.55,-8.94,-1.903,-2.575,2.317,1.921,1.097,0.425,-0.683,-1.079,-0.494,-0.647,-0.74,-0.673,-0.494,-0.647,-0.74,-0.673,0
7,34.1,-4.4,-61.79,-72.13,-34.1,4.4,61.79,72.13,16.59,22.63,27.96,20.13,16.59,22.63,27.96,20.13,13.16,39.93,37.55,8.94,-13.16,-39.93,-37.55,-8.94,-1.903,-2.575,2.317,1.921,1.097,0.425,-0.683,-1.079,-0.494,-0.647,-0.74,-0.673,-0.494,-0.647,-0.74,-0.673,0
8,34.1,-4.4,-61.79,-72.13,-34.1,4.4,61.79,72.13,16.59,22.63,27.96,20.13,16.59,22.63,27.96,20.13,13.16,39.93,37.55,8.94,-13.16,-39.93,-37.55,-8.94,-1.903,-2.575,2.317,1.921,1.097,0.425,-0.683,-1.079,-0.494,-0.647,-0.74,-0.673,-0.494,-0.647,-0.74,-0.673,0
9,34.1,-4.4,-61.79,-72.13,-34.1,4.4,61.79,72.13,16.59,22.63,27.96,20.13,16.59,22.63,27.96,20.13,13.16,39.93,37.55,8.94,-13.16,-39.93,-37.55,-8.94,-1.903,-2.575,2.317,1.921,1.097,0.425,-0.683,-1.079,-0.494,-0.647,-0.74,-0.673,-0.494,-0.647,-0.74,-0.673,0
10,34.1,-4.4,-61.79,-72.13,-34.1,4.4,61.79,72.13,16.59,22.63,27.96,20.13,16.59,22.63,27.96,20.13,13.16,39.93,37.55,8.94,-13.16,-39.93,-37.55,-8.94,-1.903,-2.575,2.317,1.921,1.097,0.425,-0.683,-1.079,-0.494,-0.647,-0.74,-0.673,-0.494,-0.647,-0.74,-0.673,0
11,34.1,-4.4,-61.79,-72.13,-34.1,4.4,61.79,72.13,16.59,22.63,27.96,20.13,16.59,22.63,27.96,20.13,13.16,39.93,37.55,8.94,-13.16,-39.93,-37.55,-8.94,-1.903,-2.575,2.317,1.921,1.097,0.425,-0.683,-1.079,-0.494,-0.647,-0.74,-0.673,-0.494,-0.647,-0.74,-0.673,0
12,134.1,95.6,38.21,27.87,65.9,104.4,161.79,172.13,16.59,22.63,27.96,20.13,16.59,22.63,27.96,20.13,113.16,139.93,137.55,108.94,86.84,60.07,62.45,91.06,-1.903,-2.575,2.317,1.921,1.097,0.425,-0.683,-1.079,-0.494,-0.647,-0.74,-0.673,-0.494,-0.647,-0.74,-0.673,0
