#,Unknown0,Unknown1,ListName,UnlockOnQuest,Unknown4,Title,Icon,Subtitle,Text
0.0,0,0,0,0,0,0,0,0,0
0.1,0,0,0,0,0,0,0,0,0
0.2,0,0,0,0,0,0,0,0,0
0.3,0,0,0,0,0,0,0,0,0
0.4,0,0,0,0,0,0,0,0,0
0.5,0,0,0,0,0,0,0,0,0
0.6,0,0,0,0,0,0,0,0,0
0.7,0,0,0,0,0,0,0,0,0
1.0,10,0,1,70062,0,2,73072,3,4
1.1,0,0,0,0,0,0,0,0,0
1.2,0,0,0,0,0,0,0,0,0
1.3,0,0,0,0,0,0,0,0,0
1.4,0,0,0,0,0,0,0,0,0
1.5,0,0,0,0,0,0,0,0,0
1.6,0,0,0,0,0,0,0,0,0
1.7,0,0,0,0,0,0,0,0,0
2.0,20,0,5,70062,0,6,0,0,7
2.1,0,0,0,0,0,0,0,0,0
2.2,0,0,0,0,0,0,0,0,0
2.3,0,0,0,0,0,0,0,0,0
2.4,0,0,0,0,0,0,0,0,0
2.5,0,0,0,0,0,0,0,0,0
2.6,0,0,0,0,0,0,0,0,0
2.7,0,0,0,0,0,0,0,0,0
3.0,30,0,8,70062,0,9,0,0,10
3.1,0,0,0,0,0,0,0,0,0
3.2,0,0,0,0,0,0,0,0,0
3.3,0,0,0,0,0,0,0,0,0
3.4,0,0,0,0,0,0,0,0,0
3.5,0,0,0,0,0,0,0,0,0
3.6,0,0,0,0,0,0,0,0,0
3.7,0,0,0,0,0,0,0,0,0
4.0,40,0,11,70063,3,12,73007,13,14
4.1,0,0,0,0,0,0,0,0,0
4.2,0,0,0,0,0,0,0,0,0
4.3,0,0,0,0,0,0,0,0,0
4.4,0,0,0,0,0,0,0,0,0
4.5,0,0,0,0,0,0,0,0,0
4.6,0,0,0,0,0,0,0,0,0
4.7,0,0,0,0,0,0,0,0,0
5.0,50,0,15,70064,1,16,73012,17,18
5.1,0,0,0,0,0,0,0,0,0
5.2,0,0,0,0,0,0,0,0,0
5.3,0,0,0,0,0,0,0,0,0
5.4,0,0,0,0,0,0,0,0,0
5.5,0,0,0,0,0,0,0,0,0
5.6,0,0,0,0,0,0,0,0,0
5.7,0,0,0,0,0,0,0,0,0
6.0,60,0,19,70064,1,20,73071,21,22
6.1,60,0,19,70288,2,20,73257,120,22
6.2,0,0,0,0,0,0,0,0,0
6.3,0,0,0,0,0,0,0,0,0
6.4,0,0,0,0,0,0,0,0,0
6.5,0,0,0,0,0,0,0,0,0
6.6,0,0,0,0,0,0,0,0,0
6.7,0,0,0,0,0,0,0,0,0
7.0,70,0,23,70064,2,24,73025,25,26
7.1,0,0,0,0,0,0,0,0,0
7.2,0,0,0,0,0,0,0,0,0
7.3,0,0,0,0,0,0,0,0,0
7.4,0,0,0,0,0,0,0,0,0
7.5,0,0,0,0,0,0,0,0,0
7.6,0,0,0,0,0,0,0,0,0
7.7,0,0,0,0,0,0,0,0,0
8.0,80,0,27,70064,2,28,73073,29,30
8.1,0,0,0,0,0,0,0,0,0
8.2,0,0,0,0,0,0,0,0,0
8.3,0,0,0,0,0,0,0,0,0
8.4,0,0,0,0,0,0,0,0,0
8.5,0,0,0,0,0,0,0,0,0
8.6,0,0,0,0,0,0,0,0,0
8.7,0,0,0,0,0,0,0,0,0
