#,PercentOfLevelLow,PercentOfLevelMid,PercentOfLevelHigh
0.0,0,0,0
1.55,16,16,16
1.56,16,16,16
1.57,16,16,16
1.58,16,16,16
1.59,16,16,16
1.60,16,16,16
1.61,16,16,16
1.62,16,16,16
1.63,16,16,16
1.64,16,16,16
1.65,16,16,16
1.66,16,16,16
1.67,15,15,15
1.68,14,14,14
1.69,13,13,13
1.70,12,12,12
1.71,12,12,12
1.72,12,12,12
1.73,12,12,12
1.74,12,12,12
1.75,12,12,12
1.76,12,12,12
1.77,12,12,12
1.78,12,12,12
1.79,12,12,12
1.80,12,12,12
1.81,12,12,12
1.82,12,12,12
1.83,12,12,12
1.84,12,12,12
1.85,12,12,12
1.86,12,12,12
1.87,12,12,12
1.88,12,12,12
1.89,12,12,12
1.90,12,12,12
1.91,12,12,12
1.92,12,12,12
1.93,12,12,12
1.94,12,12,12
1.95,12,12,12
1.96,12,12,12
1.97,12,12,12
1.98,12,12,12
1.99,12,12,12
2.60,16,16,16
2.61,16,16,16
2.62,16,16,16
2.63,16,16,16
2.64,16,16,16
2.65,16,16,16
2.66,16,16,16
2.67,15,15,15
2.68,14,14,14
2.69,13,13,13
2.70,12,12,12
2.71,12,12,12
2.72,12,12,12
2.73,12,12,12
2.74,12,12,12
2.75,12,12,12
2.76,12,12,12
2.77,12,12,12
2.78,12,12,12
2.79,12,12,12
2.80,12,12,12
2.81,12,12,12
2.82,12,12,12
2.83,12,12,12
2.84,12,12,12
2.85,12,12,12
2.86,12,12,12
2.87,12,12,12
2.88,12,12,12
2.89,12,12,12
2.90,12,12,12
2.91,12,12,12
2.92,12,12,12
2.93,12,12,12
2.94,12,12,12
2.95,12,12,12
2.96,12,12,12
2.97,12,12,12
2.98,12,12,12
2.99,12,12,12
3.62,16,16,16
3.63,16,16,16
3.64,16,16,16
3.65,16,16,16
3.66,16,16,16
3.67,15,15,15
3.68,14,14,14
3.69,13,13,13
3.70,12,12,12
3.71,12,12,12
3.72,12,12,12
3.73,12,12,12
3.74,12,12,12
3.75,12,12,12
3.76,12,12,12
3.77,12,12,12
3.78,12,12,12
3.79,12,12,12
3.80,12,12,12
3.81,12,12,12
3.82,12,12,12
3.83,12,12,12
3.84,12,12,12
3.85,12,12,12
3.86,12,12,12
3.87,12,12,12
3.88,12,12,12
3.89,12,12,12
3.90,12,12,12
3.91,12,12,12
3.92,12,12,12
3.93,12,12,12
3.94,12,12,12
3.95,12,12,12
3.96,12,12,12
3.97,12,12,12
3.98,12,12,12
3.99,12,12,12
4.66,16,16,16
4.67,15,15,15
4.68,14,14,14
4.69,13,13,13
4.70,12,12,12
4.71,12,12,12
4.72,12,12,12
4.73,12,12,12
4.74,12,12,12
4.75,12,12,12
