#,BNpcBase,Reward[0],Reward[1],Icon,Size,Unknown0,Unknown1
0,0,0,0,0,0,0,0
1,14906,37603,37611,70121,1,1,1
2,14907,37611,37603,70122,1,2,1
3,14908,37604,37605,70123,1,1,2
4,14909,37605,37604,70124,1,2,2
5,14910,37603,37607,70125,1,1,3
6,14911,37607,37603,70126,1,2,3
7,14912,37604,37605,70127,1,1,4
8,14913,37605,37604,70128,1,2,4
9,14914,37609,37608,70129,1,1,5
10,14915,37608,37609,70130,1,2,5
11,14916,37607,37606,70131,2,1,6
12,14917,37606,37607,70132,2,2,6
13,14918,37605,37611,70133,2,1,7
14,14919,37605,37610,70134,2,2,7
15,14920,37605,37606,70135,2,1,8
16,14921,37606,37605,70136,2,2,8
17,14922,37608,37604,70137,2,1,9
18,14923,37604,37608,70138,2,2,9
19,14924,37611,37610,70139,3,1,10
20,14925,37610,37611,70140,3,2,10
21,14926,37611,37610,70141,3,1,13
22,14927,37610,37603,70142,3,2,13
23,14928,37607,37606,70143,3,1,11
24,14929,37606,37607,70144,3,2,11
25,14930,37603,37605,70145,1,3,12
26,14931,37608,37604,70146,1,3,14
27,14932,37604,37603,70147,2,3,15
28,14933,37604,37609,70148,3,3,16
29,14934,37609,37604,70149,3,3,17
30,14935,37606,37604,70150,3,3,18
31,16068,37609,37605,70151,2,3,21
32,16069,37608,37609,70152,1,3,22
33,14936,37609,37605,70153,1,1,19
34,14937,37605,37609,70154,1,2,19
35,14938,37609,37610,70155,3,1,20
36,14939,37610,37609,70156,3,2,20
37,14940,37609,37605,70157,3,3,19
38,16340,37603,37605,70158,1,3,23
39,16341,37606,37607,70159,2,3,24
40,16628,37609,37608,70163,3,3,22
41,16629,37608,37604,70160,3,3,25
42,16630,37604,37610,70162,3,3,26
43,16631,37609,37608,70161,3,3,5
