key,0,1,2,3,4,5,6,7,8,9,10,11
#,,,,,,,ItemRewardType,RewardAmount,,,,
int32,uint16,uint16,uint16,uint16,uint16,uint16,Item,byte,byte,uint32,byte,byte
0,0,0,0,0,0,0,0,0,0,0,0,0
1,500,2500,42000,0,0,0,43944,1,6,43942,2,6
2,500,1500,0,0,0,0,0,0,0,0,0,0
3,500,1500,0,0,0,0,0,0,0,0,0,0
4,125,375,2650,0,0,0,0,0,0,0,0,0
5,500,1500,0,0,0,0,0,0,0,0,0,0
6,500,900,0,0,0,0,0,0,0,0,0,0
7,500,1500,0,0,0,0,0,0,0,0,0,0
8,500,1500,0,0,0,0,0,0,0,0,0,0
9,500,1500,0,0,0,0,43944,1,6,43942,2,6
10,100,300,0,0,0,0,0,0,0,0,0,0
