#,Name,Description,LGBEventObject,LGBMapRange,Quest,Announce,Unknown0,Unknown1,Unknown6,Unknown7,Unknown2,EventType,EnemyType,MaxParticipants,Duration,Unknown5,SingleBattle,Unknown8
0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,Kill It with Fire,"Clarricie's latest ploy is to send the loathsome seedkin Peerifool into the fray. Its cloying stench alone is enough to repel all but the most steadfast of warriors, and even they will struggle to withstand its relentless assault.",8373717,8511877,69477,0,0,0,0,0,0,1,4,48,20,0,0,True
2,The Baying of the Hound(s),"Following a series of resounding defeats, the imperial mages have resorted to desperate measures by summoning the ferocious Canis Dirus. Whether each of its three heads is capable of independent thought is unclear, but they are all equally determined to devour as many Resistance fighters as possible.",8374110,8511881,69477,0,0,0,0,0,0,1,2,48,20,0,0,True
3,Vigil for the Lost,"The experimental magitek soldier Dabog has been assigned to pilot Vigilia, the culmination of the Empire's research into scorpion-type warmachina. This unit alone would level the Resistance's base of operations if allowed to draw too close, so every effort must be made to silence it.",8367113,8511882,69477,0,0,0,0,0,0,1,1,48,20,0,0,True
4,Aces High,"Dabog, the magitek-enhanced pilot, takes to the air in one of the most advanced weapons at the Empire's disposal: the flying warmachina known simply as Gabriel. If allowed to continue strafing the Resistance front line, your comrades will have little hope of reaching the enemy castrum.",8367033,8511886,69477,0,0,0,0,0,0,2,3,1,20,0,1,True
5,The Shadow of Death's Hand,"The Empire has unleashed the dreaded Akbaba, a winged fiend that feasts on the corpses of those slain in battle. It is also not opposed to going the extra malm and creating said corpses itself, specifically from members of the Resistance. ",8342248,8511887,69477,0,0,0,0,0,0,1,4,48,20,0,0,True
6,The Final Furlong,"Llofii has freed the experimental monoceros from her former masters and the unlikely pair are making good their escape. Just as it seems they will finally be able to put the Empire behind them, the deadly Spartoi appears to block their path.",8367316,8511891,69481,0,0,0,0,0,0,1,5,48,20,0,0,True
7,The Hunt for Red Choctober,"Unlike their yellow-plumed cousins, the red chocobo is rarely a welcome sight, least of all on the battlefield. None are more belligerent than the particularly large specimen known as Red Comet, who has been a constant nuisance to both sides of the conflict since he first arrived.",8374867,8511892,69481,0,0,0,0,0,0,1,4,48,20,0,0,True
8,Beast of Man,"Known for his unmatched command of a variety of ferocious beasts, Lyon is one of the most feared adversaries the Bozjan Resistance has faced to date. This formidable foe must be overcome for them to have any chance at victory.",8374963,8511893,69481,0,0,0,0,0,0,2,3,1,20,0,2,True
9,The Fires of War,"The mages serving the Empire have decided to pursue a more explosive means of subduing their foes. As such, they have deployed several pyroboli to quite literally level the playing field.",8375462,8511895,69481,0,0,0,0,0,0,3,2,24,20,0,0,True
10,Patriot Games,"The Empire's magitek soldiers possess a wealth of machina with which to torment their foes, but few are more nightmarish than the Patriot. With its far-reaching appendages and all-seeing optical sensors, it is designed to utterly destroy those who would dare violate the borders of Garlean territory. ",8374781,8511898,69481,0,0,0,0,0,0,1,1,48,20,0,0,True
